attempt,event_sequence,phase,source_status,source_reason,symbol,target_symbol,horizon_ms,signal_ts_ms,source_age_ms,hl_mid_px,binance_mid_px,basis_mid_ticks,lead_move_ticks,fair_mid_px,hl_public_state_seq,hl_l2_state_seq,binance_state_seq,binance_source,inference_scope
1,88,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784188829713,957,,,,,,91,91,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,746,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784188987079,92,64229.5,64206.05,-23.45,-3.8999999999941792,64225.600000000006,750,750,2,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,896,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784189030349,50,64161.5,64145.850000000006,-15.65,-25.0,64136.5,907,907,3,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1213,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784189115339,29,64176.5,64155.05,-21.45,9.19999999999709,64185.7,1226,1226,4,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,1497,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784189203690,1350,,,,,,1511,1511,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,1504,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784189205416,1251,,,,,,1521,1521,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,1694,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784189255924,1031,,,,,,1715,1715,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,1703,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784189259272,861,,,,,,1725,1725,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,1732,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784189269333,77,64146.5,64118.350000000006,-28.15,-19.09999999999127,64127.40000000001,1755,1755,9,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,1734,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784189270081,58,64145.5,64115.850000000006,-29.65,-2.5,64143.0,1758,1758,10,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
