attempt,status,reason,handoff_phase,candidate_source_exchange_time_ms,candidate_age_seconds,max_age_seconds,trigger_candidate_source_exchange_time_ms,trigger_candidate_age_seconds,trigger_candidate_side,trigger_candidate_quote_px,trigger_candidate_size_btc,trigger_candidate_quality_bucket,trigger_candidate_freshness_status,trigger_candidate_skip_reason,current_reprice_allowed,current_reprice_skip_reason,current_reprice_candidate_source_exchange_time_ms,current_reprice_candidate_age_seconds,selected_side,selected_quote_px,current_bid,current_ask,selected_size_btc,max_order_size_btc,quality_bucket,current_same_side_top_qty_btc,current_same_side_top_order_count,current_top_depth_multiple_of_order,post_only_tif,post_only_non_crossing,current_touch_match,source
1,pass,,post_open_orders_inline_reprice,1784188829909,0.744,1.0,1784188829909,0.744,buy,64232,0.00477,quality_a,pass,,True,,1784188829909,0.744,buy,64231.0,64231.0,64232.0,0.00477,0.005,quality_a,0.00021,2,0.04402516,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784188986805,0.355,1.0,1784188986805,0.355,buy,64236,0.00055,quality_a,pass,,True,,1784188986805,0.355,buy,64229.0,64229.0,64230.0,0.00055,0.005,quality_a,0.00016,1,0.29090909,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784188997134,0.337,1.0,1784188997134,0.337,buy,64220,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784188997134,0.337,,,64215.0,64216.0,,0.005,,1.62549,4,,Alo,False,False,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784189026608,0.505,1.0,1784189026608,0.505,buy,64192,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784189026608,0.505,,,64186.0,64187.0,,0.005,,0.48518,5,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784189029811,0.576,1.0,1784189029811,0.576,buy,64185,0.002,quality_b,pass,,True,,1784189029811,0.576,buy,64161.0,64161.0,64162.0,0.005,0.005,quality_a,0.00092,1,0.184,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784189048670,0.42,1.0,1784189048670,0.42,buy,64144,0.00158,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784189048670,0.42,,,64126.0,64131.0,,0.005,,0.20311,2,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784189114836,0.517,1.0,1784189114836,0.517,buy,64179,0.005,quality_a,pass,,True,,1784189114836,0.517,buy,64176.0,64176.0,64177.0,0.005,0.005,quality_a,0.0022,1,0.44,Alo,True,True,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784189204643,0.383,1.0,1784189204643,0.383,buy,64187,0.002,quality_b,pass,,True,,1784189204643,0.383,buy,64184.0,64184.0,64185.0,0.002,0.005,quality_b,0.14931,5,74.655,Alo,True,True,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784189205980,0.675,1.0,1784189205980,0.675,buy,64184,0.005,quality_a,pass,,True,,1784189205980,0.675,buy,64171.0,64171.0,64172.0,0.005,0.005,quality_a,0.00016,1,0.032,Alo,True,True,inline_reprice_current_candidate_guard
2,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784189207845,0.449,1.0,1784189207845,0.449,buy,64170,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784189207845,0.449,,,64165.0,64166.0,,0.005,,1.07262,4,,Alo,False,False,inline_reprice_current_candidate_guard
