attempt,phase,event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,start_unix_seconds,end_unix_seconds,elapsed_seconds,current_bid,current_ask,candidate_age_seconds_at_phase_end,public_state_seq,l2_state_seq,state_observed_after_open_orders_end
1,trigger_to_open_orders_start,88,l2Book,1784188829909,1784188830165847970,1784188830.165848,1784188830.166361,0.000513,,,0.257361,88,88,
1,open_orders_elapsed,88,l2Book,1784188829909,1784188830165847970,1784188830.166361,1784188830.529466,0.363105,64232.0,64233.0,0.620466,88,88,
1,open_orders_end_to_public_state,88,l2Book,1784188829909,1784188830165847970,1784188830.529466,1784188830.6533113,0.123845,64231.0,64232.0,0.744311,91,91,True
1,open_orders_end_to_reprice,88,l2Book,1784188829909,1784188830165847970,1784188830.529466,1784188830.6534455,0.12398,64231.0,64232.0,0.744446,91,91,True
1,trigger_to_open_orders_start,746,trades,1784188986805,1784188987045128205,1784188987.045128,1784188987.0458083,0.00068,,,0.240808,749,748,
1,open_orders_elapsed,746,trades,1784188986805,1784188987045128205,1784188987.0458083,1784188987.0607533,0.014945,64236.0,64237.0,0.255753,749,748,
1,open_orders_end_to_public_state,746,trades,1784188986805,1784188987045128205,1784188987.0607533,1784188987.1607852,0.100032,64229.0,64230.0,0.355785,750,750,True
1,open_orders_end_to_reprice,746,trades,1784188986805,1784188987045128205,1784188987.0607533,1784188987.160909,0.100156,64229.0,64230.0,0.355909,750,750,True
1,trigger_to_open_orders_start,778,trades,1784188997134,1784188997307086747,1784188997.307087,1784188997.307798,0.000711,,,0.173798,782,781,
1,open_orders_elapsed,778,trades,1784188997134,1784188997307086747,1784188997.307798,1784188997.3232734,0.015476,64220.0,64221.0,0.189273,782,781,
1,open_orders_end_to_public_state,778,trades,1784188997134,1784188997307086747,1784188997.3232734,1784188997.4715567,0.148283,64215.0,64216.0,0.337557,783,783,True
1,open_orders_end_to_reprice,778,trades,1784188997134,1784188997307086747,1784188997.3232734,1784188997.4716303,0.148357,64215.0,64216.0,0.33763,783,783,True
1,trigger_to_open_orders_start,882,trades,1784189026608,1784189026827160684,1784189026.8271606,1784189026.8278816,0.000721,,,0.219882,887,884,
1,open_orders_elapsed,882,trades,1784189026608,1784189026827160684,1784189026.8278816,1784189026.8454063,0.017525,64192.0,64193.0,0.237406,887,884,
1,open_orders_end_to_public_state,882,trades,1784189026608,1784189026827160684,1784189026.8454063,1784189027.1129956,0.267589,64186.0,64187.0,0.504996,889,889,True
1,open_orders_end_to_reprice,882,trades,1784189026608,1784189026827160684,1784189026.8454063,1784189027.1130733,0.267667,64186.0,64187.0,0.505073,889,889,True
1,trigger_to_open_orders_start,896,trades,1784189029811,1784189030067114220,1784189030.0671144,1784189030.0678897,0.000775,,,0.25689,903,900,
1,open_orders_elapsed,896,trades,1784189029811,1784189030067114220,1784189030.0678897,1784189030.082465,0.014575,64185.0,64186.0,0.271465,903,900,
