attempt,event_sequence,phase,open_orders_end_unix_seconds,open_orders_end_ns,pre_open_orders_public_state_seq,pre_open_orders_l2_state_seq,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_l2_local_receive_ts_ns,post_open_orders_public_state_channel,post_open_orders_exchange_time_ms,state_observed_after_open_orders_end,wait_timeout_seconds,status,reason,current_bid,current_ask,inference_scope
1,88,post_open_orders_l2_resync,1784188830.529466,1784188830529465856,88,88,91,91,1784188830653215479,l2Book,1784188830425,True,0.75875,pass,,64231.0,64232.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,746,post_open_orders_l2_resync,1784188987.0607533,1784188987060753408,749,748,750,750,1784188987160690466,l2Book,1784188986872,True,0.685,pass,,64229.0,64230.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,778,post_open_orders_l2_resync,1784188997.3232734,1784188997323273472,782,781,783,783,1784188997471477118,l2Book,1784188997199,True,0.745,pass,,64215.0,64216.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,882,post_open_orders_l2_resync,1784189026.8454063,1784189026845406208,887,884,889,889,1784189027112907262,l2Book,1784189026843,True,0.70125,pass,,64186.0,64187.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,896,post_open_orders_l2_resync,1784189030.082465,1784189030082465024,903,900,907,907,1784189030387572294,l2Book,1784189030101,True,0.755,pass,,64161.0,64162.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,969,post_open_orders_l2_resync,1784189048.9564066,1784189048956406528,980,978,981,981,1784189049090201368,l2Book,1784189048867,True,0.775,pass,,64126.0,64131.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1213,post_open_orders_l2_resync,1784189115.0544872,1784189115054487296,1225,1224,1226,1226,1784189115353764921,l2Book,1784189115037,True,0.75625,pass,,64176.0,64177.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1497,post_open_orders_l2_resync,1784189204.864434,1784189204864433920,1510,1508,1511,1511,1784189205026058525,l2Book,1784189204775,True,0.77,pass,,64184.0,64185.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1504,post_open_orders_l2_resync,1784189206.2085536,1784189206208553472,1518,1515,1521,1521,1784189206655767896,l2Book,1784189206381,True,0.77,pass,,64171.0,64172.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1509,post_open_orders_l2_resync,1784189208.0724587,1784189208072458752,1526,1524,1527,1527,1784189208294258053,l2Book,1784189207993,True,0.68625,pass,,64165.0,64166.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1514,post_open_orders_l2_resync,1784189209.6265154,1784189209626515456,1532,1531,1534,1534,1784189209824574858,l2Book,1784189209554,True,0.68625,pass,,64153.0,64154.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1694,post_open_orders_l2_resync,1784189256.657202,1784189256657201920,1714,1712,1715,1715,1784189256944142101,l2Book,1784189256678,True,0.7537499999999999,pass,,64162.0,64163.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1703,post_open_orders_l2_resync,1784189260.029383,1784189260029382912,1724,1722,1725,1725,1784189260122811260,l2Book,1784189259900,True,0.705,pass,,64157.0,64158.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1732,post_open_orders_l2_resync,1784189269.1095076,1784189269109507584,1754,1752,1755,1755,1784189269398083090,l2Book,1784189269090,True,0.6900000000000001,pass,,64146.0,64147.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1734,post_open_orders_l2_resync,1784189269.6864235,1784189269686423552,1757,1755,1758,1758,1784189270127955663,l2Book,1784189269653,True,0.6900000000000001,pass,,64145.0,64146.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1847,post_open_orders_l2_resync,1784189304.39183,1784189304391830016,1871,1870,1872,1872,1784189304589631408,l2Book,1784189304347,True,0.69625,pass,,64142.0,64143.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,1870,post_open_orders_l2_resync,1784189312.3637245,1784189312363724544,1895,1894,1896,1896,1784189312660399939,l2Book,1784189312375,True,0.6937500000000001,pass,,64132.0,64133.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,2062,post_open_orders_l2_resync,1784189367.5647166,1784189367564716544,2088,2086,2089,2089,1784189367820378487,l2Book,1784189367539,True,0.75875,pass,,64124.0,64125.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,2190,post_open_orders_l2_resync,1784189404.4807203,1784189404480720384,2217,2215,2218,2218,1784189404615222347,l2Book,1784189404328,True,0.7525,pass,,64119.0,64120.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,2245,post_open_orders_l2_resync,1784189417.288794,1784189417288794112,2273,2272,2274,2274,1784189417485211953,l2Book,1784189417249,True,0.75125,pass,,64095.0,64096.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,2247,post_open_orders_l2_resync,1784189418.3757963,1784189418375796224,2276,2275,2277,2277,1784189418626118383,l2Book,1784189418348,True,0.75125,pass,,64090.0,64091.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,2249,post_open_orders_l2_resync,1784189418.8821907,1784189418882190592,2279,2277,2280,2280,1784189419115080421,l2Book,1784189418872,True,0.75125,pass,,64089.0,64090.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,2276,post_open_orders_l2_resync,1784189426.0392697,1784189426039269632,2307,2305,2308,2308,1784189426333865874,l2Book,1784189425895,True,0.7037499999999999,pass,,64063.0,64064.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,2396,post_open_orders_l2_resync,1784189447.926797,1784189447926796800,2428,2428,2434,2434,1784189448380677440,l2Book,1784189448107,True,0.6937500000000001,pass,,64010.0,64011.0,requires_l2Book_observed_after_private_open_orders_before_reprice
2,2504,post_open_orders_l2_resync,1784189466.2197354,1784189466219735296,2542,2542,2544,2544,1784189466771298658,l2Book,1784189466457,True,0.685,pass,,64061.0,64062.0,requires_l2Book_observed_after_private_open_orders_before_reprice
