attempt,event_sequence,phase,source_status,source_reason,symbol,target_symbol,horizon_ms,signal_ts_ms,source_age_ms,hl_mid_px,binance_mid_px,basis_mid_ticks,lead_move_ticks,fair_mid_px,hl_public_state_seq,hl_l2_state_seq,binance_state_seq,binance_source,inference_scope
1,112,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784121698554,14,65555.5,65526.95,-28.55,0.0,65555.5,114,114,1,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,182,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784121714684,39,65547.5,65525.149999999994,-22.35,-1.8000000000029104,65545.7,185,185,2,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,508,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784121782474,72,65513.5,65480.25,-33.25,-25.0,65488.5,518,518,3,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,759,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784121832558,142,65441.5,65415.95,-25.55,-25.0,65416.5,772,772,4,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,767,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784121834318,1032,,,,,,781,781,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,768,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784121835519,624,,,,,,784,784,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,774,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784121837281,242,65437.5,65415.649999999994,-21.85,5.099999999991269,65442.59999999999,791,791,7,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1074,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784121901898,616,,,,,,1096,1096,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1078,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784121903044,546,,,,,,1102,1102,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1206,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784121923832,44,65317.5,65290.149999999994,-27.35,-25.0,65292.5,1233,1233,10,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1227,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784121930040,454,,,,,,1257,1257,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1232,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784121931448,102,65295.0,65255.05,-39.95,-16.30000000000291,65278.7,1263,1263,12,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1260,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784121935059,159,65274.5,65250.149999999994,-24.35,-4.900000000008731,65269.59999999999,1292,1292,13,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1487,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784121975333,323,,,,,,1523,1523,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1669,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784122015420,148,65311.5,65282.149999999994,-29.35,-25.0,65286.5,1710,1710,15,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1723,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784122029304,238,65311.5,65285.350000000006,-26.15,3.2000000000116415,65314.70000000001,1766,1766,16,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1908,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784122079085,17,65335.5,65313.850000000006,-21.65,25.0,65360.5,1953,1953,17,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
