attempt,event_sequence,phase,open_orders_end_unix_seconds,open_orders_end_ns,pre_open_orders_public_state_seq,pre_open_orders_l2_state_seq,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_l2_local_receive_ts_ns,post_open_orders_public_state_channel,post_open_orders_exchange_time_ms,state_observed_after_open_orders_end,wait_timeout_seconds,status,reason,current_bid,current_ask,inference_scope
1,112,post_open_orders_l2_resync,1784121698.5462227,1784121698546222592,112,109,114,114,1784121698546598317,l2Book,1784121698152,True,0.7575,pass,,65555.0,65556.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,182,post_open_orders_l2_resync,1784121714.5008008,1784121714500800768,184,183,185,185,1784121714712313005,l2Book,1784121714476,True,0.7474999999999999,pass,,65547.0,65548.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,305,post_open_orders_l2_resync,1784121735.8910158,1784121735891015680,308,307,309,309,1784121736335038296,l2Book,1784121736044,True,0.70875,pass,,65545.0,65546.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,437,post_open_orders_l2_resync,1784121764.872226,1784121764872226048,441,440,442,442,1784121765221010350,l2Book,1784121764980,True,0.755,pass,,65541.0,65542.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,446,post_open_orders_l2_resync,1784121766.4153526,1784121766415352576,451,450,453,453,1784121766914540406,l2Book,1784121766660,True,0.755,pass,,65534.0,65535.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,503,post_open_orders_l2_resync,1784121780.894669,1784121780894669056,510,508,511,511,1784121780990972427,l2Book,1784121780776,True,0.7525,pass,,65518.0,65519.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,508,post_open_orders_l2_resync,1784121782.1262648,1784121782126264832,516,515,518,518,1784121782533268874,l2Book,1784121782308,True,0.75875,pass,,65513.0,65514.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,514,post_open_orders_l2_resync,1784121784.0287132,1784121784028713216,524,522,525,525,1784121784163303995,l2Book,1784121783925,True,0.75875,pass,,65505.0,65506.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,657,post_open_orders_l2_resync,1784121811.5638943,1784121811563894272,668,666,669,669,1784121811658802850,l2Book,1784121811418,True,0.7725,pass,,65441.0,65442.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,759,post_open_orders_l2_resync,1784121832.5443215,1784121832544321536,771,767,772,772,1784121832689963725,l2Book,1784121832437,True,0.7000000000000001,pass,,65441.0,65442.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,767,post_open_orders_l2_resync,1784121835.326459,1784121835326458880,780,777,781,781,1784121835339960731,l2Book,1784121835114,True,0.685,pass,,65439.0,65440.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,768,post_open_orders_l2_resync,1784121835.667028,1784121835667027968,782,781,784,784,1784121836133387386,l2Book,1784121835653,True,0.685,pass,,65437.0,65438.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,774,post_open_orders_l2_resync,1784121837.0239809,1784121837023980800,790,790,791,791,1784121837506300733,l2Book,1784121837264,True,0.6787500000000001,pass,,65437.0,65438.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,775,post_open_orders_l2_resync,1784121837.7541983,1784121837754198272,792,791,793,793,1784121838040679515,l2Book,1784121837802,True,0.6787500000000001,pass,,65437.0,65438.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1038,post_open_orders_l2_resync,1784121891.7719781,1784121891771978240,1056,1055,1057,1057,1784121892090918653,l2Book,1784121891821,True,0.755,pass,,65494.0,65495.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1065,post_open_orders_l2_resync,1784121900.361419,1784121900361419008,1084,1083,1085,1085,1784121900923797480,l2Book,1784121900519,True,0.7074999999999999,pass,,65473.0,65493.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1074,post_open_orders_l2_resync,1784121902.30276,1784121902302759936,1094,1093,1096,1096,1784121902501577707,l2Book,1784121902149,True,0.755,pass,,65424.0,65425.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1078,post_open_orders_l2_resync,1784121903.1664329,1784121903166432768,1100,1099,1102,1102,1784121903578419665,l2Book,1784121903185,True,0.755,pass,,65415.0,65416.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1096,post_open_orders_l2_resync,1784121906.0406246,1784121906040624640,1120,1118,1121,1121,1784121906161318255,l2Book,1784121905889,True,0.7575,pass,,65362.0,65364.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1126,post_open_orders_l2_resync,1784121910.1957722,1784121910195772160,1151,1149,1152,1152,1784121910448659786,l2Book,1784121910161,True,0.6987500000000001,pass,,65327.0,65328.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1206,post_open_orders_l2_resync,1784121923.7671056,1784121923767105536,1232,1228,1233,1233,1784121923863448489,l2Book,1784121923616,True,0.6925000000000001,pass,,65317.0,65318.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1227,post_open_orders_l2_resync,1784121930.1170542,1784121930117054208,1254,1252,1257,1257,1784121930481441956,l2Book,1784121930146,True,0.76875,pass,,65302.0,65303.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1232,post_open_orders_l2_resync,1784121931.5119634,1784121931511963392,1262,1259,1263,1263,1784121931534812528,l2Book,1784121931217,True,0.76875,pass,,65293.0,65297.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1260,post_open_orders_l2_resync,1784121934.9448943,1784121934944894208,1291,1290,1292,1292,1784121935208081112,l2Book,1784121934971,True,0.7625,pass,,65274.0,65275.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1270,post_open_orders_l2_resync,1784121937.0156128,1784121937015612928,1302,1297,1303,1303,1784121937015771594,l2Book,1784121936591,True,0.7625,pass,,65271.0,65272.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1311,post_open_orders_l2_resync,1784121944.2196434,1784121944219643392,1344,1342,1346,1346,1784121944461943390,l2Book,1784121944194,True,0.76125,pass,,65289.0,65290.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1487,post_open_orders_l2_resync,1784121975.4150007,1784121975415000576,1522,1520,1523,1523,1784121975643881681,l2Book,1784121975378,True,0.75125,pass,,65332.0,65333.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1495,post_open_orders_l2_resync,1784121976.466985,1784121976466984960,1531,1526,1532,1532,1784121976683914475,l2Book,1784121976450,True,0.6900000000000001,pass,,65326.0,65327.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1520,post_open_orders_l2_resync,1784121981.3926768,1784121981392676864,1557,1554,1559,1559,1784121981628223754,l2Book,1784121981363,True,0.76625,pass,,65311.0,65312.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1536,post_open_orders_l2_resync,1784121985.1648266,1784121985164826624,1575,1572,1576,1576,1784121985374724334,l2Book,1784121985128,True,0.76625,pass,,65302.0,65303.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1669,post_open_orders_l2_resync,1784122015.4117389,1784122015411738880,1709,1706,1710,1710,1784122015556046830,l2Book,1784122015298,True,0.75125,pass,,65311.0,65312.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1723,post_open_orders_l2_resync,1784122029.3868732,1784122029386873344,1764,1763,1766,1766,1784122029530856348,l2Book,1784122029304,True,0.7525,pass,,65311.0,65312.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1743,post_open_orders_l2_resync,1784122036.2919836,1784122036291983616,1786,1784,1787,1787,1784122036539030921,l2Book,1784122036306,True,0.6975,pass,,65319.0,65320.0,requires_l2Book_observed_after_private_open_orders_before_reprice
