event_sequence,source_channel,source_event_exchange_time_ms,fresh_touch_allowed,trigger_found,guard_status,guard_reason,event_to_guard_start_seconds,target_event_to_guard_seconds,live_window_called,private_or_order_endpoint_called_before_trigger
1,l2Book,1784122219998,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
2,trades,1784122220193,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
3,l2Book,1784122220511,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
4,trades,1784122220594,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
5,trades,1784122220731,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
6,l2Book,1784122221058,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
7,trades,1784122221058,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
8,trades,1784122221130,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
9,l2Book,1784122221605,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
10,trades,1784122221662,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
11,trades,1784122222008,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
12,l2Book,1784122222118,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
13,trades,1784122222204,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
14,l2Book,1784122222671,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
15,trades,1784122223002,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
16,l2Book,1784122223203,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
17,l2Book,1784122223742,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
18,l2Book,1784122224257,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
19,trades,1784122224654,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
20,l2Book,1784122224791,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
21,trades,1784122225057,True,True,edge_gate_block,edge_below_required_buffer,0.00037,0.5,False,False
22,trades,1784122225402,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
23,trades,1784122225477,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
24,trades,1784122225668,True,True,anti_drift_block,adverse_trade_pressure_with_recent_adverse_bbo,0.00036,0.5,False,True
25,l2Book,1784122225884,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
26,l2Book,1784122226409,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
27,trades,1784122226677,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
28,trades,1784122226875,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
29,l2Book,1784122227003,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
30,trades,1784122227003,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
31,trades,1784122227206,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
32,l2Book,1784122227541,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
33,trades,1784122227951,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
34,trades,1784122228021,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
35,l2Book,1784122228089,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
36,trades,1784122228417,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
37,l2Book,1784122228623,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
38,trades,1784122229023,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
39,l2Book,1784122229167,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
40,trades,1784122229434,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
41,l2Book,1784122229705,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
42,trades,1784122230041,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
43,l2Book,1784122230247,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
44,l2Book,1784122230832,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
45,trades,1784122230984,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
46,l2Book,1784122231305,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
47,trades,1784122231665,True,True,anti_drift_block,adverse_trade_pressure_with_recent_adverse_bbo,0.000406,0.5,False,True
48,l2Book,1784122231866,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,True
49,trades,1784122231866,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
50,trades,1784122231975,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
51,l2Book,1784122232464,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
