attempt,event_sequence,phase,source_event_exchange_time_ms,side,limit_px,flow_lookback_ms,trade_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,fill_support_touch_count,adverse_strict_through_count,neutral_or_opposite_flow_count,adverse_flow_ratio,min_pressure_qty_btc,pressure_ratio_threshold,status,reason
1,29,pre_open_orders_public_gate,1784122343715,buy,65389.0,1000,16,0,0,0,0,0,True,0.48196,0,0,16,,0.01,2.0,pass,
1,29,post_open_orders_pre_submit_gate,1784122343715,buy,65389.0,1000,16,0,0,0,0,0,True,0.48196,0,0,16,,0.01,2.0,pass,
1,30,pre_open_orders_public_gate,1784122343987,buy,65389.0,1000,18,0,0.00112,0.00112,0.00112,0,True,0.48196,2,0,16,,0.01,2.0,pass,
1,30,post_open_orders_pre_submit_gate,1784122343987,buy,65383.0,1000,18,0,0,0,0,0,True,0.48308,0,0,18,,0.01,2.0,pass,
1,131,pre_open_orders_public_gate,1784122369493,buy,65436.0,1000,0,0,0,0,0,0,False,0,0,0,0,,0.01,2.0,pass,
1,131,post_open_orders_pre_submit_gate,1784122369493,buy,65436.0,1000,2,0,0.00116,0.00116,0.00116,0,False,0,2,0,0,,0.01,2.0,pass,
1,136,pre_open_orders_public_gate,1784122370810,buy,65429.0,1000,10,0.01285,0.0022,0.0022,0.0022,0.01285,True,0.00324,4,2,4,5.840909090909091,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,137,pre_open_orders_public_gate,1784122371009,buy,65429.0,1000,9,0.01313,0.0022,0.0022,0.0022,0.01313,True,0.00034,4,3,2,5.968181818181818,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,200,pre_open_orders_public_gate,1784122385984,buy,65441.0,1000,7,0.00612,0.00152,0.00152,0.00152,0.00612,True,0.0063,1,3,3,4.026315789473684,0.01,2.0,pass,
1,200,post_open_orders_pre_submit_gate,1784122385984,buy,65435.0,1000,7,0,0,0,0,0,True,0.01394,0,0,7,,0.01,2.0,pass,
1,230,pre_open_orders_public_gate,1784122393462,buy,65451.0,1000,74,0,0.66291,0.66291,0.66291,0,True,6.99947,2,0,72,,0.01,2.0,pass,
1,230,post_open_orders_pre_submit_gate,1784122393462,buy,65459.0,1000,74,7.01502,0,0,0,7.01502,True,0.64736,0,69,5,inf,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,255,pre_open_orders_public_gate,1784122399467,buy,65493.0,1000,4,0,0.002,0.002,0.002,0,True,0.01466,2,0,2,,0.01,2.0,pass,
