attempt,event_sequence,phase,source_channel,source_event_exchange_time_ms,side,limit_px,current_bid,current_ask,status,reason,touch_stability_ms,min_stable_ms,bbo_lookback_ms,recent_bbo_count,last_adverse_bbo_ms,elapsed_since_adverse_bbo_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,adverse_flow_ratio,adverse_flow_status,current_cross_risk,inference_scope
1,29,pre_open_orders_public_gate,trades,1784122343715,buy,65389.0,65389.0,65390.0,pass,,262,250,750,1,1784122343453,262,1,0,0,0,0,0,0,0,0,True,0.48196,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,29,post_open_orders_pre_submit_gate,trades,1784122343715,buy,65389.0,65389.0,65390.0,pass,,262,250,750,1,1784122343453,262,1,0,0,0,0,0,0,0,0,True,0.48196,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,30,pre_open_orders_public_gate,trades,1784122343987,buy,65389.0,65389.0,65390.0,pass,,534,250,750,2,1784122343453,534,1,0,1,0,0,0.00112,0.00112,0.00112,0,True,0.48196,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,30,post_open_orders_pre_submit_gate,trades,1784122343987,buy,65383.0,65383.0,65387.0,pass,,534,250,750,2,1784122343453,534,1,0,1,0,0,0,0,0,0,True,0.48308,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,131,pre_open_orders_public_gate,l2Book,1784122369493,buy,65436.0,65436.0,65437.0,pass,,558,250,750,2,,,0,0,2,0,0,0,0,0,0,False,0,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,131,post_open_orders_pre_submit_gate,l2Book,1784122369493,buy,65436.0,65436.0,65437.0,pass,,558,250,750,2,,,0,0,2,0,0,0.00116,0.00116,0.00116,0,False,0,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,136,pre_open_orders_public_gate,trades,1784122370810,buy,65429.0,65429.0,65433.0,block,adverse_trade_pressure_with_recent_adverse_bbo,256,250,750,1,1784122370554,256,1,0,0,0,0.01285,0.0022,0.0022,0.0022,0.01285,True,0.00324,5.840909090909091,block,False,public_microstructure_gate_not_exchange_validation_guarantee
1,137,pre_open_orders_public_gate,trades,1784122371009,buy,65429.0,65429.0,65433.0,block,adverse_trade_pressure_with_recent_adverse_bbo,455,250,750,1,1784122370554,455,1,0,0,0,0.01313,0.0022,0.0022,0.0022,0.01313,True,0.00034,5.968181818181818,block,False,public_microstructure_gate_not_exchange_validation_guarantee
1,200,pre_open_orders_public_gate,trades,1784122385984,buy,65441.0,65441.0,65442.0,pass,,265,250,750,1,1784122385719,265,1,0,0,0,0.00612,0.00152,0.00152,0.00152,0.00612,True,0.0063,4.026315789473684,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,200,post_open_orders_pre_submit_gate,trades,1784122385984,buy,65435.0,65435.0,65436.0,pass,,265,250,750,1,1784122385719,265,1,0,0,0,0,0,0,0,0,True,0.01394,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
