attempt,event_sequence,phase,source_event_exchange_time_ms,current_bid,current_ask,bbo_lookback_ms,recent_bbo_count,last_bbo_change_ms,touch_stability_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,last_direction,status
1,29,pre_open_orders_public_gate,1784122343715,65389.0,65390.0,750,1,1784122343453,262,1,0,0,0,down,pass
1,29,post_open_orders_pre_submit_gate,1784122343715,65389.0,65390.0,750,1,1784122343453,262,1,0,0,0,down,pass
1,30,pre_open_orders_public_gate,1784122343987,65389.0,65390.0,750,2,1784122343453,534,1,0,1,0,flat,pass
1,30,post_open_orders_pre_submit_gate,1784122343987,65383.0,65387.0,750,2,1784122343453,534,1,0,1,0,flat,pass
1,131,pre_open_orders_public_gate,1784122369493,65436.0,65437.0,750,2,1784122368935,558,0,0,2,0,flat,pass
1,131,post_open_orders_pre_submit_gate,1784122369493,65436.0,65437.0,750,2,1784122368935,558,0,0,2,0,flat,pass
1,136,pre_open_orders_public_gate,1784122370810,65429.0,65433.0,750,1,1784122370554,256,1,0,0,0,down,block
1,137,pre_open_orders_public_gate,1784122371009,65429.0,65433.0,750,1,1784122370554,455,1,0,0,0,down,block
1,200,pre_open_orders_public_gate,1784122385984,65441.0,65442.0,750,1,1784122385719,265,1,0,0,0,down,pass
1,200,post_open_orders_pre_submit_gate,1784122385984,65435.0,65436.0,750,1,1784122385719,265,1,0,0,0,down,pass
1,230,pre_open_orders_public_gate,1784122393462,65451.0,65452.0,750,1,1784122393178,284,1,0,0,0,down,pass
1,230,post_open_orders_pre_submit_gate,1784122393462,65459.0,65460.0,750,1,1784122393178,284,1,0,0,0,down,block
1,255,pre_open_orders_public_gate,1784122399467,65493.0,65494.0,750,1,1784122399083,384,1,0,0,0,down,pass
1,255,post_open_orders_pre_submit_gate,1784122399467,65493.0,65494.0,750,1,1784122399083,384,1,0,0,0,down,pass
2,256,pre_open_orders_public_gate,1784122399619,65493.0,65494.0,750,2,1784122399083,536,1,0,1,0,flat,pass
2,256,post_open_orders_pre_submit_gate,1784122399619,65487.0,65488.0,750,2,1784122399083,536,1,0,1,0,flat,pass
2,263,pre_open_orders_public_gate,1784122401368,65486.0,65487.0,750,2,1784122400700,668,1,0,1,0,flat,pass
2,263,post_open_orders_pre_submit_gate,1784122401368,65483.0,65484.0,750,2,1784122400700,668,1,0,1,0,flat,pass
2,277,pre_open_orders_public_gate,1784122403775,65472.0,65473.0,750,1,1784122403449,326,1,0,0,0,down,block
2,281,pre_open_orders_public_gate,1784122404454,65468.0,65469.0,750,1,1784122403976,478,1,0,0,0,down,block
2,287,pre_open_orders_public_gate,1784122405921,65461.0,65462.0,750,1,1784122405764,157,0,0,1,0,flat,block
2,288,pre_open_orders_public_gate,1784122406121,65461.0,65462.0,750,1,1784122405764,357,0,0,1,0,flat,pass
2,288,post_open_orders_pre_submit_gate,1784122406121,65455.0,65456.0,750,1,1784122405764,357,0,0,1,0,flat,pass
2,379,pre_open_orders_public_gate,1784122426063,65429.0,65431.0,750,1,1784122425728,335,1,0,0,0,down,pass
2,379,post_open_orders_pre_submit_gate,1784122426063,65429.0,65430.0,750,1,1784122425728,335,1,0,0,0,down,pass
2,404,pre_open_orders_public_gate,1784122431533,65441.0,65442.0,750,1,1784122431195,338,1,0,0,0,down,pass
2,404,post_open_orders_pre_submit_gate,1784122431533,65440.0,65441.0,750,1,1784122431195,338,1,0,0,0,down,pass
2,467,pre_open_orders_public_gate,1784122448398,65407.0,65408.0,750,1,1784122448118,280,1,0,0,0,down,pass
2,467,post_open_orders_pre_submit_gate,1784122448398,65399.0,65400.0,750,1,1784122448118,280,1,0,0,0,down,pass
2,536,pre_open_orders_public_gate,1784122466780,65426.0,65427.0,750,1,1784122466432,348,0,0,1,0,flat,pass
2,536,post_open_orders_pre_submit_gate,1784122466780,65415.0,65416.0,750,1,1784122466432,348,0,0,1,0,flat,pass
2,692,pre_open_orders_public_gate,1784122506032,65457.0,65458.0,750,1,1784122505566,466,0,1,0,0,up,pass
2,692,post_open_orders_pre_submit_gate,1784122506032,65457.0,65458.0,750,1,1784122505566,466,0,1,0,0,up,pass
2,696,pre_open_orders_public_gate,1784122507174,65464.0,65465.0,750,2,1784122506691,483,0,1,1,0,flat,pass
2,696,post_open_orders_pre_submit_gate,1784122507174,65461.0,65463.0,750,2,1784122506691,483,0,1,1,0,flat,pass
2,699,pre_open_orders_public_gate,1784122508053,65461.0,65463.0,750,1,1784122507703,350,1,0,0,0,down,pass
2,699,post_open_orders_pre_submit_gate,1784122508053,65456.0,65457.0,750,1,1784122507703,350,1,0,0,0,down,pass
2,728,pre_open_orders_public_gate,1784122514551,65468.0,65469.0,750,1,1784122514150,401,1,0,0,0,down,block
2,730,pre_open_orders_public_gate,1784122515148,65463.0,65464.0,750,1,1784122514680,468,1,0,0,0,down,pass
2,730,post_open_orders_pre_submit_gate,1784122515148,65462.0,65463.0,750,1,1784122514680,468,1,0,0,0,down,pass
2,757,pre_open_orders_public_gate,1784122521322,65442.0,65443.0,750,1,1784122521025,297,1,0,0,0,down,pass
2,757,post_open_orders_pre_submit_gate,1784122521322,65435.0,65443.0,750,1,1784122521025,297,1,0,0,0,down,pass
2,759,pre_open_orders_public_gate,1784122521844,65435.0,65443.0,750,1,1784122521554,290,1,0,0,0,down,pass
2,759,post_open_orders_pre_submit_gate,1784122521844,65431.0,65432.0,750,1,1784122521554,290,1,0,0,0,down,pass
2,761,pre_open_orders_public_gate,1784122522456,65431.0,65432.0,750,1,1784122522101,355,1,0,0,0,down,pass
2,761,post_open_orders_pre_submit_gate,1784122522456,65423.0,65424.0,750,1,1784122522101,355,1,0,0,0,down,pass
2,814,pre_open_orders_public_gate,1784122536424,65455.0,65456.0,750,1,1784122536088,336,0,0,1,0,flat,pass
2,814,post_open_orders_pre_submit_gate,1784122536424,65445.0,65453.0,750,1,1784122536088,336,0,0,1,0,flat,pass
