event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope
1,l2Book,1784122337309,1784122338121623237,0.812786,buy,65379,65379,65380,1,0.005,5.95472,34,1190.944,0,0,0,0,5.95972,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,5.95472,,,34,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
2,trades,1784122337508,1784122338138351645,0.630561,buy,65379,65379,65380,1,0.005,5.95472,34,1190.944,16,0.11635,0,0.11635,5.95972,0.01952272925573684669749585551,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,1,0,199,1,bbo_history_too_sparse,synthetic_current_event_only,,,,5.95472,,,34,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
3,l2Book,1784122337920,1784122338376784626,0.456947,buy,65380,65380,65381,1,0.005,26.59258,194,5318.516,15,0,0.11635,0.11635,26.59758,0.004374458127393544826258629544,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,2,611,0,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,0,1784122337920,,26.59258,,,194,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
4,trades,1784122338057,1784122338377364735,0.320435,buy,65380,65380,65381,1,0.005,26.59258,194,5318.516,22,0.139,0.11635,0.25535,26.59758,0.009600497488869288108166231665,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,2,611,137,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,137,1784122337920,,26.59258,,,194,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
5,l2Book,1784122338530,1784122338838417762,0.308589,buy,65380,65380,65381,1,0.005,25.11981,101,5023.962,22,0.139,0.11635,0.25535,25.12481,0.01016326093610260137290590456,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,3,1221,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,610,1784122337920,26.59258,25.11981,-1.47277,194,101,-93,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
6,trades,1784122338724,1784122338986846724,0.263009,buy,65380,65380,65381,1,0.005,25.11981,101,5023.962,23,0.1432,0.11635,0.25955,25.12481,0.01033042637934376419164960849,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,3,1221,194,2,same_touch_stable_enough,real_bbo_history_touch_stability,804,1784122337920,26.59258,25.11981,-1.47277,194,101,-93,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
7,trades,1784122338858,1784122339077772193,0.219918,buy,65380,65380,65381,1,0.005,25.11981,101,5023.962,24,0.1432,0.11635,0.25955,25.12481,0.01033042637934376419164960849,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,3,1221,328,2,same_touch_stable_enough,real_bbo_history_touch_stability,938,1784122337920,26.59258,25.11981,-1.47277,194,101,-93,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
8,l2Book,1784122339128,1784122339493421511,0.365591,buy,65380,65380,65381,1,0.005,24.84662,95,4969.324,24,0.1432,0.11635,0.25955,24.85162,0.0104439871525478017127253676,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,4,1819,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1208,1784122337920,26.59258,24.84662,-1.74596,194,95,-99,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
9,l2Book,1784122339664,1784122340055065897,0.391259,buy,65380,65380,65381,1,0.005,32.16354,91,6432.708,23,0.1432,0.11635,0.25955,32.16854,0.008068442024412671510736887655,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,5,2355,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,1744,1784122337920,26.59258,32.16354,5.57096,194,91,-103,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
10,trades,1784122339863,1784122340165138624,0.302306,buy,65380,65380,65381,1,0.005,32.16354,91,6432.708,23,0.1432,0.1139,0.2571,32.16854,0.007992280656815634156850139919,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,5,2355,199,4,same_touch_stable_enough,real_bbo_history_touch_stability,1943,1784122337920,26.59258,32.16354,5.57096,194,91,-103,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
