attempt,phase,event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,start_unix_seconds,end_unix_seconds,elapsed_seconds,current_bid,current_ask,candidate_age_seconds_at_phase_end,public_state_seq,l2_state_seq,state_observed_after_open_orders_end
1,trigger_to_open_orders_start,29,trades,1784122343715,1784122343996450494,1784122343.9964507,1784122343.9968746,0.000424,,,0.281875,29,27,
1,open_orders_elapsed,29,trades,1784122343715,1784122343996450494,1784122343.9968746,1784122344.3821125,0.385238,65389.0,65390.0,0.667113,29,27,
1,open_orders_end_to_public_state,29,trades,1784122343715,1784122343996450494,1784122344.3821125,1784122344.3823652,0.000253,65389.0,65390.0,0.667365,30,30,True
1,open_orders_end_to_reprice,29,trades,1784122343715,1784122343996450494,1784122344.3821125,1784122344.3824694,0.000357,65389.0,65390.0,0.66747,30,30,True
1,trigger_to_open_orders_start,30,trades,1784122343987,1784122344402487262,1784122344.4024873,1784122344.402859,0.000372,,,0.415859,31,30,
1,open_orders_elapsed,30,trades,1784122343987,1784122344402487262,1784122344.402859,1784122344.4189658,0.016107,65389.0,65390.0,0.431966,31,30,
1,open_orders_end_to_public_state,30,trades,1784122343987,1784122344402487262,1784122344.4189658,1784122344.9510834,0.532118,65383.0,65387.0,0.964083,33,33,True
1,open_orders_end_to_reprice,30,trades,1784122343987,1784122344402487262,1784122344.4189658,1784122344.9512312,0.532265,65383.0,65387.0,0.964231,33,33,True
1,trigger_to_open_orders_start,131,l2Book,1784122369493,1784122369836882884,1784122369.8368828,1784122369.8374774,0.000595,,,0.344477,134,134,
1,open_orders_elapsed,131,l2Book,1784122369493,1784122369836882884,1784122369.8374774,1784122369.8613,0.023823,65436.0,65437.0,0.3683,134,134,
1,open_orders_end_to_public_state,131,l2Book,1784122369493,1784122369836882884,1784122369.8613,1784122370.4686625,0.607363,65436.0,65437.0,0.975662,137,137,True
1,open_orders_end_to_reprice,131,l2Book,1784122369493,1784122369836882884,1784122369.8613,1784122370.4687405,0.60744,65436.0,65437.0,0.97574,137,137,True
1,trigger_to_open_orders_start,200,trades,1784122385984,1784122386348824822,1784122386.3488247,1784122386.3494523,0.000628,,,0.365452,206,205,
1,open_orders_elapsed,200,trades,1784122385984,1784122386348824822,1784122386.3494523,1784122386.3655677,0.016115,65441.0,65442.0,0.381568,206,205,
1,open_orders_end_to_public_state,200,trades,1784122385984,1784122386348824822,1784122386.3655677,1784122386.6469958,0.281428,65435.0,65436.0,0.662996,208,208,True
1,open_orders_end_to_reprice,200,trades,1784122385984,1784122386348824822,1784122386.3655677,1784122386.6471324,0.281565,65435.0,65436.0,0.663132,208,208,True
1,trigger_to_open_orders_start,230,trades,1784122393462,1784122393734213645,1784122393.7342136,1784122393.7349916,0.000778,,,0.272992,238,236,
1,open_orders_elapsed,230,trades,1784122393462,1784122393734213645,1784122393.7349916,1784122393.7671661,0.032175,65451.0,65452.0,0.305166,238,236,
1,open_orders_end_to_public_state,230,trades,1784122393462,1784122393734213645,1784122393.7671661,1784122394.105903,0.338737,65459.0,65460.0,0.643903,239,239,True
1,open_orders_end_to_reprice,230,trades,1784122393462,1784122393734213645,1784122393.7671661,1784122394.1059813,0.338815,65459.0,65460.0,0.643981,239,239,True
1,trigger_to_open_orders_start,255,trades,1784122399467,1784122399732220355,1784122399.7322204,1784122399.7329903,0.00077,,,0.26599,264,263,
1,open_orders_elapsed,255,trades,1784122399467,1784122399732220355,1784122399.7329903,1784122399.7590625,0.026072,65493.0,65494.0,0.292063,264,263,
1,open_orders_end_to_public_state,255,trades,1784122399467,1784122399732220355,1784122399.7590625,1784122399.926162,0.167099,65493.0,65494.0,0.459162,265,265,True
1,open_orders_end_to_reprice,255,trades,1784122399467,1784122399732220355,1784122399.7590625,1784122399.9262822,0.16722,65493.0,65494.0,0.459282,265,265,True
1,reprice_to_order_submit,255,trades,1784122399467,1784122399732220355,1784122399.9262822,1784122399.9394011,0.013119,65493.0,65494.0,0.472401,265,265,True
1,exchange_order_response,255,trades,1784122399467,1784122399732220355,1784122399.9394011,1784122400.329877,0.390476,65493.0,65494.0,0.862877,265,265,True
2,trigger_to_open_orders_start,256,trades,1784122399619,1784122401590254308,1784122401.5902543,1784122401.590961,0.000707,,,1.971961,266,265,
2,open_orders_elapsed,256,trades,1784122399619,1784122401590254308,1784122401.590961,1784122401.6667614,0.0758,65493.0,65494.0,2.047761,266,265,
2,open_orders_end_to_public_state,256,trades,1784122399619,1784122401590254308,1784122401.6667614,1784122401.667291,0.00053,65487.0,65488.0,2.048291,268,268,True
2,open_orders_end_to_reprice,256,trades,1784122399619,1784122401590254308,1784122401.6667614,1784122401.667351,0.00059,65487.0,65488.0,2.048351,268,268,True
2,trigger_to_open_orders_start,263,trades,1784122401368,1784122401670377089,1784122401.6703773,1784122401.6708007,0.000423,,,0.302801,275,274,
2,open_orders_elapsed,263,trades,1784122401368,1784122401670377089,1784122401.6708007,1784122401.7866187,0.115818,65486.0,65487.0,0.418619,275,274,
2,open_orders_end_to_public_state,263,trades,1784122401368,1784122401670377089,1784122401.7866187,1784122402.1154394,0.328821,65483.0,65484.0,0.747439,276,276,True
