attempt,status,reason,handoff_phase,candidate_source_exchange_time_ms,candidate_age_seconds,max_age_seconds,trigger_candidate_source_exchange_time_ms,trigger_candidate_age_seconds,trigger_candidate_side,trigger_candidate_quote_px,trigger_candidate_size_btc,trigger_candidate_quality_bucket,trigger_candidate_freshness_status,trigger_candidate_skip_reason,current_reprice_allowed,current_reprice_skip_reason,current_reprice_candidate_source_exchange_time_ms,current_reprice_candidate_age_seconds,selected_side,selected_quote_px,current_bid,current_ask,selected_size_btc,max_order_size_btc,quality_bucket,current_same_side_top_qty_btc,current_same_side_top_order_count,current_top_depth_multiple_of_order,post_only_tif,post_only_non_crossing,current_touch_match,source
1,pass,,post_open_orders_inline_reprice,1784122343715,0.667,1.0,1784122343715,0.667,buy,65389,0.00329,quality_a,pass,,True,,1784122343715,0.667,buy,65389.0,65389.0,65390.0,0.00329,0.005,quality_a,0.00108,1,0.32826748,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784122343987,0.964,1.0,1784122343987,0.964,buy,65389,0.00035,quality_a,pass,,True,,1784122343987,0.964,buy,65383.0,65383.0,65387.0,0.00035,0.005,quality_a,0.00076,1,2.17142857,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784122369493,0.975,1.0,1784122369493,0.975,buy,65436,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784122369493,0.975,,,65436.0,65437.0,,0.005,,0.52699,3,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784122385984,0.663,1.0,1784122385984,0.663,buy,65441,0.00191,quality_a,pass,,True,,1784122385984,0.663,buy,65435.0,65435.0,65436.0,0.00191,0.005,quality_a,0.00016,1,0.08376963,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784122393462,0.643,1.0,1784122393462,0.643,buy,65451,0.002,quality_b,pass,,False,outside_quality_a_b_queue_bands,1784122393462,0.643,,,65459.0,65460.0,,0.005,,4.62429,41,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784122399467,0.459,1.0,1784122399467,0.459,buy,65493,0.002,quality_b,pass,,True,,1784122399467,0.459,buy,65493.0,65493.0,65494.0,0.005,0.005,quality_a,0.00995,1,1.99,Alo,True,True,inline_reprice_current_candidate_guard
2,fail_closed,post_open_orders_handoff_latency_exceeded,post_open_orders_inline_reprice,1784122399619,2.048,1.0,1784122399619,2.048,buy,65493,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784122399619,2.048,,,65487.0,65488.0,,0.005,,0.24106,5,,Alo,False,False,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784122401368,0.747,1.0,1784122401368,0.747,buy,65486,0.00092,quality_a,pass,,True,,1784122401368,0.747,buy,65483.0,65483.0,65484.0,0.00092,0.005,quality_a,0.00016,1,0.17391304,Alo,True,True,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784122406121,0.384,1.0,1784122406121,0.384,buy,65461,0.005,quality_a,pass,,True,,1784122406121,0.384,buy,65455.0,65455.0,65456.0,0.002,0.005,quality_b,0.17479,4,87.395,Alo,True,True,inline_reprice_current_candidate_guard
2,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784122426063,0.587,1.0,1784122426063,0.587,buy,65429,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784122426063,0.587,,,65429.0,65430.0,,0.005,,0.24548,8,,Alo,False,False,inline_reprice_current_candidate_guard
