attempt,event_sequence,retry_after_post_only_reject,source_channel,source_event_exchange_time_ms,open_orders_before_count,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_state_observed_after_end,guard_status,guard_reason,fair_mid_px,quote_px,edge_ticks,signal_age_ms,fee_buffer_ticks,adverse_selection_buffer_ticks,edge_gate_status,edge_gate_reason,submit_intent_bid,submit_intent_ask,side,limit_px,size_btc,notional_usdc,post_only_tif,order_endpoint_called,order_status_types,post_only_reject,fill_count_after_attempt,maker_fill_count_after_attempt,tracked_ref_count,cancel_endpoint_called,final_open_orders_count_after_attempt,shutdown_proof_status,quote_aging_guard_status,quote_aging_guard_reason,skip_reason
1,29,False,trades,1784122343715,0,30,30,True,edge_gate_block,edge_below_required_buffer,65389.5,65389.0,0.5,49,2.0,5.0,block,edge_below_required_buffer,65389.0,65390.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
1,30,False,trades,1784122343987,0,33,33,True,edge_gate_block,fair_mid_source_stale,,65383.0,,,2.0,5.0,block,fair_mid_source_stale,65383.0,65387.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
1,131,False,l2Book,1784122369493,0,137,137,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,65436.0,65437.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,200,False,trades,1784122385984,0,208,208,True,edge_gate_block,fair_mid_source_stale,,65435.0,,,2.0,5.0,block,fair_mid_source_stale,65435.0,65436.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
1,230,False,trades,1784122393462,0,239,239,True,anti_drift_block,adverse_trade_pressure_with_recent_adverse_bbo,,,,,,,,,65459.0,65460.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,255,False,trades,1784122399467,0,265,265,True,pass,,65518.5,65493.0,25.5,191,2.0,5.0,pass,,65493.0,65494.0,buy,65493.0,0.005,327.465,Alo,True,error,True,0,0,1,True,0,pass,not_resting,post_only_reject,
2,256,True,trades,1784122399619,0,268,268,True,fail_closed,post_open_orders_handoff_latency_exceeded,,,,,,,,,65487.0,65488.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,post_open_orders_handoff_latency_exceeded
2,263,True,trades,1784122401368,0,276,276,True,edge_gate_block,edge_below_required_buffer,65474.8,65483.0,-8.2,55,2.0,5.0,block,edge_below_required_buffer,65483.0,65484.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
2,288,True,trades,1784122406121,0,302,302,True,edge_gate_block,edge_below_required_buffer,65430.5,65455.0,-24.5,225,2.0,5.0,block,edge_below_required_buffer,65455.0,65456.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
2,379,True,trades,1784122426063,0,394,394,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,65429.0,65430.0,,,,,Alo,False,skipped,False,0,0,1,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
