event_sequence,source_channel,source_event_exchange_time_ms,current_bid,current_ask,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,opposite_trade_qty_btc,rolling_window_seconds
1,l2Book,1784122337309,65379,65380,0,0,0,0,0,3.0
2,trades,1784122337508,65379,65380,16,0.11635,0,0.11635,0.01151,3.0
3,l2Book,1784122337920,65380,65381,15,0,0.11635,0.11635,0.00836,3.0
4,trades,1784122338057,65380,65381,22,0.139,0.11635,0.25535,0.00443,3.0
5,l2Book,1784122338530,65380,65381,22,0.139,0.11635,0.25535,0.00443,3.0
6,trades,1784122338724,65380,65381,23,0.1432,0.11635,0.25955,0.00443,3.0
7,trades,1784122338858,65380,65381,24,0.1432,0.11635,0.25955,0.0058,3.0
8,l2Book,1784122339128,65380,65381,24,0.1432,0.11635,0.25955,0.0058,3.0
9,l2Book,1784122339664,65380,65381,23,0.1432,0.11635,0.25955,0.0055,3.0
10,trades,1784122339863,65380,65381,23,0.1432,0.1139,0.2571,0.02551,3.0
11,trades,1784122340003,65380,65381,24,0.1432,0.1139,0.2571,0.02569,3.0
12,l2Book,1784122340214,65383,65384,15,0.00018,0.16187,0.16205,0.02138,3.0
13,trades,1784122340340,65383,65384,17,0.00018,0.16187,0.16205,0.03239,3.0
14,l2Book,1784122340742,65387,65388,14,0,0.14338,0.14338,0.03239,3.0
15,trades,1784122340742,65387,65388,15,0.01287,0.14338,0.15625,0.03239,3.0
16,trades,1784122341005,65387,65388,16,0.01316,0.14338,0.15654,0.03239,3.0
17,l2Book,1784122341281,65387,65388,8,0.01316,0.00438,0.01754,0.03239,3.0
18,trades,1784122341429,65387,65388,9,0.01316,0.00438,0.01754,0.04548,3.0
19,trades,1784122341642,65387,65388,10,0.01316,0.00438,0.01754,0.04578,3.0
20,trades,1784122341760,65387,65388,10,0.01316,0.00018,0.01334,0.04636,3.0
21,l2Book,1784122341829,65396,65397,10,0,0.01334,0.01334,0.04636,3.0
22,trades,1784122341829,65396,65397,14,0,0.01334,0.01334,0.07264,3.0
23,trades,1784122342034,65396,65397,14,0,0.01334,0.01334,0.07163,3.0
24,l2Book,1784122342365,65396,65397,14,0,0.01334,0.01334,0.07163,3.0
25,l2Book,1784122342889,65396,65397,13,0,0.01334,0.01334,0.05162,3.0
26,trades,1784122343036,65396,65397,16,0,0.01334,0.01334,0.06006,3.0
27,l2Book,1784122343453,65389,65390,14,0,0.01316,0.01316,0.04923,3.0
28,trades,1784122343453,65389,65390,15,0,0.01316,0.01316,0.05023,3.0
29,trades,1784122343715,65389,65390,26,0,0.01316,0.01316,0.52257,3.0
30,trades,1784122343987,65389,65390,27,0.00112,0.00029,0.00141,0.52257,3.0
31,l2Book,1784122345002,65383,65384,20,0,0,0,0.4836,3.0
32,trades,1784122345002,65383,65384,21,0,0,0,0.48391,3.0
33,l2Book,1784122345534,65390,65391,20,0,0.00128,0.00128,0.48227,3.0
34,l2Book,1784122346062,65390,65391,16,0,0.00128,0.00128,0.47365,3.0
35,l2Book,1784122346591,65390,65394,15,0,0.00128,0.00128,0.47265,3.0
36,l2Book,1784122347141,65396,65397,1,0,0,0,0.00031,3.0
37,trades,1784122347406,65396,65397,3,0,0,0,0.00273,3.0
38,l2Book,1784122347674,65396,65400,3,0,0,0,0.00273,3.0
39,trades,1784122347674,65396,65400,6,0,0,0,0.51478,3.0
40,trades,1784122348004,65396,65400,6,0,0,0,0.51464,3.0
41,trades,1784122348143,65396,65400,7,0,0,0,0.53313,3.0
42,l2Book,1784122348282,65399,65400,7,0,0,0,0.53313,3.0
43,trades,1784122348282,65399,65400,9,0,0,0,0.84189,3.0
44,trades,1784122348339,65399,65400,10,0,0,0,0.84449,3.0
45,trades,1784122348406,65399,65400,11,0.01355,0,0.01355,0.84449,3.0
46,trades,1784122348610,65399,65400,12,0.01355,0,0.01355,1.08655,3.0
47,trades,1784122348681,65399,65400,13,0.01355,0,0.01355,1.09419,3.0
48,trades,1784122348744,65399,65400,14,0.02901,0,0.02901,1.09419,3.0
49,l2Book,1784122348879,65400,65404,14,0,0.02901,0.02901,1.09419,3.0
50,trades,1784122348879,65400,65404,27,0,0.02901,0.02901,1.8479,3.0
51,trades,1784122349009,65400,65404,30,0,0.02901,0.02901,1.84867,3.0
52,trades,1784122349149,65400,65404,31,0,0.02901,0.02901,1.84902,3.0
53,l2Book,1784122349418,65403,65404,31,0,0.02901,0.02901,1.84902,3.0
54,trades,1784122349547,65403,65404,32,0.001,0.02901,0.03001,1.84902,3.0
55,trades,1784122349786,65403,65404,46,0.219,0.02901,0.24801,1.87983,3.0
56,trades,1784122349884,65403,65404,48,0.219,0.02901,0.24801,1.92936,3.0
57,l2Book,1784122349926,65409,65410,48,0.04953,0.24801,0.29754,1.87983,3.0
58,trades,1784122350017,65409,65410,49,0.05089,0.24801,0.2989,1.87983,3.0
59,l2Book,1784122350481,65409,65410,47,0.05089,0.24801,0.2989,1.87741,3.0
60,l2Book,1784122351066,65409,65410,43,0.05089,0.24801,0.2989,1.36519,3.0
61,trades,1784122351223,65409,65410,47,0.05335,0.24801,0.30136,1.3467,3.0
62,l2Book,1784122351539,65409,65410,43,0.05335,0.23446,0.28781,1.03534,3.0
63,trades,1784122352033,65409,65410,25,0.05335,0.219,0.27235,0.04966,3.0
64,l2Book,1784122352100,65409,65410,25,0.05335,0.219,0.27235,0.04966,3.0
65,trades,1784122352238,65409,65410,25,0.05335,0.219,0.27235,0.06216,3.0
66,trades,1784122352301,65409,65410,26,0.05353,0.219,0.27253,0.06216,3.0
67,l2Book,1784122352637,65409,65410,25,0.05353,0.218,0.27153,0.06216,3.0
68,l2Book,1784122353151,65409,65410,8,0.00264,0,0.00264,0.03135,3.0
