feature,outcome,horizon_ms,scope,row_count,pearson_corr,high_z_minus_low_z_mean_effect,feature_z_mean,outcome_mean,dominant_sign,threshold_met,outcome_unit,effective_future_age_ms_min,effective_future_age_ms_mean,effective_future_age_ms_max
binance_top5_imbalance,basis_mid_response_ticks,100,overall,3595,0.10735675,17.10250674,-0.00013343,-0.0325452,positive,true,ticks,500,500.41724618,1500
binance_top5_imbalance,basis_microprice_response_ticks,100,overall,3595,0.10467839,16.70683484,-0.00013343,-0.03264664,positive,true,ticks,500,500.41724618,1500
binance_top5_imbalance,basis_mid_response_ticks,250,overall,3595,0.10735675,17.10250674,-0.00013343,-0.0325452,positive,true,ticks,500,500.41724618,1500
binance_top5_imbalance,basis_microprice_response_ticks,250,overall,3595,0.10467839,16.70683484,-0.00013343,-0.03264664,positive,true,ticks,500,500.41724618,1500
binance_top5_imbalance,basis_mid_response_ticks,500,overall,3595,0.10735675,17.10250674,-0.00013343,-0.0325452,positive,true,ticks,500,500.41724618,1500
binance_top5_imbalance,basis_microprice_response_ticks,500,overall,3595,0.10467839,16.70683484,-0.00013343,-0.03264664,positive,true,ticks,500,500.41724618,1500
binance_top5_imbalance,basis_mid_response_ticks,1000,overall,3594,0.08110897,19.62780877,-0.00026756,-0.0837507,positive,true,ticks,1000,1000.55648303,2000
binance_top5_imbalance,basis_microprice_response_ticks,1000,overall,3594,0.0787444,19.10522759,-0.00026756,-0.08399759,positive,true,ticks,1000,1000.55648303,2000
binance_top5_imbalance,basis_mid_response_ticks,5000,overall,3586,-0.08799318,-18.94133588,-0.00200526,-0.35833798,negative,true,ticks,5000,5000.55772448,6000
binance_top5_imbalance,basis_microprice_response_ticks,5000,overall,3586,-0.09060975,-19.75700495,-0.00200526,-0.35746353,negative,true,ticks,5000,5000.55772448,6000
binance_top5_imbalance,basis_mid_response_ticks,10000,overall,3576,-0.12701546,-38.45908444,-0.00462748,-0.68288591,negative,true,ticks,10000,10000.27964206,10500
binance_top5_imbalance,basis_microprice_response_ticks,10000,overall,3576,-0.12946676,-39.26833353,-0.00462748,-0.68172528,negative,true,ticks,10000,10000.27964206,10500
binance_top5_microprice_px,basis_mid_response_ticks,100,overall,3595,-0.03016199,-4.46336053,0.00021566,-0.0325452,negative,false,ticks,500,500.41724618,1500
binance_top5_microprice_px,basis_microprice_response_ticks,100,overall,3595,-0.03022513,-4.47121631,0.00021566,-0.03264664,negative,false,ticks,500,500.41724618,1500
binance_top5_microprice_px,basis_mid_response_ticks,250,overall,3595,-0.03016199,-4.46336053,0.00021566,-0.0325452,negative,false,ticks,500,500.41724618,1500
