feature,outcome,horizon_ms,regime_bucket,row_count,eligible_min_rows,pearson_corr,high_z_minus_low_z_mean_effect,dominant_sign,threshold_met,outcome_unit
binance_top5_imbalance,hyperliquid_mid_move_ticks,100,binance_vol_positive_high,455,true,0.06743052,10.61556647,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,100,binance_vol_positive_low,456,true,0.12095372,13.70010941,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,100,binance_vol_zero,2683,true,0.11206684,5.39281345,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,100,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,100,binance_vol_positive_high,455,true,-0.02209606,-0.38734315,negative,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,100,binance_vol_positive_low,456,true,-0.05734991,-1.91998478,negative,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,100,binance_vol_zero,2683,true,0.00890731,-0.05576663,negative,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,100,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,100,binance_vol_positive_high,455,true,0.22477416,0.41166966,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,100,binance_vol_positive_low,456,true,0.32349944,0.32302282,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,100,binance_vol_zero,2683,true,0.12310755,0.09489604,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,100,vol_missing,1,false,0,0,none,false,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,100,binance_vol_positive_high,455,true,0.10787409,2.47114119,positive,true,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,100,binance_vol_positive_low,456,true,0.09796319,2.10124012,positive,true,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,100,binance_vol_zero,2683,true,0.04899572,0.4484999,positive,false,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,100,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,basis_mid_response_ticks,100,binance_vol_positive_high,455,true,0.14025461,32.75177305,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,100,binance_vol_positive_low,456,true,0.10614339,14.69195091,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,100,binance_vol_zero,2683,true,0.0991708,14.37499195,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,100,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,basis_microprice_response_ticks,100,binance_vol_positive_high,455,true,0.13534019,31.51250126,positive,true,ticks
binance_top5_imbalance,basis_microprice_response_ticks,100,binance_vol_positive_low,456,true,0.10406024,14.40217379,positive,true,ticks
binance_top5_imbalance,basis_microprice_response_ticks,100,binance_vol_zero,2683,true,0.09687848,14.0900742,positive,true,ticks
binance_top5_imbalance,basis_microprice_response_ticks,100,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,250,binance_vol_positive_high,455,true,0.06743052,10.61556647,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,250,binance_vol_positive_low,456,true,0.12095372,13.70010941,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,250,binance_vol_zero,2683,true,0.11206684,5.39281345,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,250,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,250,binance_vol_positive_high,455,true,-0.02209606,-0.38734315,negative,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,250,binance_vol_positive_low,456,true,-0.05734991,-1.91998478,negative,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,250,binance_vol_zero,2683,true,0.00890731,-0.05576663,negative,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,250,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,250,binance_vol_positive_high,455,true,0.22477416,0.41166966,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,250,binance_vol_positive_low,456,true,0.32349944,0.32302282,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,250,binance_vol_zero,2683,true,0.12310755,0.09489604,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,250,vol_missing,1,false,0,0,none,false,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,250,binance_vol_positive_high,455,true,0.10787409,2.47114119,positive,true,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,250,binance_vol_positive_low,456,true,0.09796319,2.10124012,positive,true,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,250,binance_vol_zero,2683,true,0.04899572,0.4484999,positive,false,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,250,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,basis_mid_response_ticks,250,binance_vol_positive_high,455,true,0.14025461,32.75177305,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,250,binance_vol_positive_low,456,true,0.10614339,14.69195091,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,250,binance_vol_zero,2683,true,0.0991708,14.37499195,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,250,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,basis_microprice_response_ticks,250,binance_vol_positive_high,455,true,0.13534019,31.51250126,positive,true,ticks
binance_top5_imbalance,basis_microprice_response_ticks,250,binance_vol_positive_low,456,true,0.10406024,14.40217379,positive,true,ticks
binance_top5_imbalance,basis_microprice_response_ticks,250,binance_vol_zero,2683,true,0.09687848,14.0900742,positive,true,ticks
binance_top5_imbalance,basis_microprice_response_ticks,250,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,500,binance_vol_positive_high,455,true,0.06743052,10.61556647,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,500,binance_vol_positive_low,456,true,0.12095372,13.70010941,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,500,binance_vol_zero,2683,true,0.11206684,5.39281345,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,500,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,500,binance_vol_positive_high,455,true,-0.02209606,-0.38734315,negative,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,500,binance_vol_positive_low,456,true,-0.05734991,-1.91998478,negative,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,500,binance_vol_zero,2683,true,0.00890731,-0.05576663,negative,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,500,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,500,binance_vol_positive_high,455,true,0.22477416,0.41166966,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,500,binance_vol_positive_low,456,true,0.32349944,0.32302282,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,500,binance_vol_zero,2683,true,0.12310755,0.09489604,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,500,vol_missing,1,false,0,0,none,false,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,500,binance_vol_positive_high,455,true,0.10787409,2.47114119,positive,true,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,500,binance_vol_positive_low,456,true,0.09796319,2.10124012,positive,true,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,500,binance_vol_zero,2683,true,0.04899572,0.4484999,positive,false,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,500,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,basis_mid_response_ticks,500,binance_vol_positive_high,455,true,0.14025461,32.75177305,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,500,binance_vol_positive_low,456,true,0.10614339,14.69195091,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,500,binance_vol_zero,2683,true,0.0991708,14.37499195,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,500,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,basis_microprice_response_ticks,500,binance_vol_positive_high,455,true,0.13534019,31.51250126,positive,true,ticks
binance_top5_imbalance,basis_microprice_response_ticks,500,binance_vol_positive_low,456,true,0.10406024,14.40217379,positive,true,ticks
binance_top5_imbalance,basis_microprice_response_ticks,500,binance_vol_zero,2683,true,0.09687848,14.0900742,positive,true,ticks
binance_top5_imbalance,basis_microprice_response_ticks,500,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,1000,binance_vol_positive_high,455,true,0.14148523,35.51736679,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,1000,binance_vol_positive_low,456,true,0.23209566,33.02459445,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,1000,binance_vol_zero,2682,true,0.15401683,10.65187713,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,1000,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,1000,binance_vol_positive_high,455,true,0.05209319,5.68103292,positive,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,1000,binance_vol_positive_low,456,true,-0.06520716,-1.9142762,negative,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,1000,binance_vol_zero,2682,true,-0.00593365,-0.65400219,negative,false,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,1000,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,1000,binance_vol_positive_high,455,true,0.33950561,0.80336209,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,1000,binance_vol_positive_low,456,true,0.48513416,0.7852565,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,1000,binance_vol_zero,2682,true,0.16013414,0.19471359,positive,true,unitless
binance_top5_imbalance,hyperliquid_top5_imbalance_change,1000,vol_missing,1,false,0,0,none,false,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,1000,binance_vol_positive_high,455,true,0.19855925,5.80862036,positive,true,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,1000,binance_vol_positive_low,456,true,0.30654087,4.7009615,positive,true,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,1000,binance_vol_zero,2682,true,0.08456434,1.06719059,positive,true,ticks
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,1000,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,basis_mid_response_ticks,1000,binance_vol_positive_high,455,true,0.05071267,19.82742317,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,1000,binance_vol_positive_low,456,true,0.03837806,8.80395795,positive,false,ticks
binance_top5_imbalance,basis_mid_response_ticks,1000,binance_vol_zero,2682,true,0.09915545,21.25290746,positive,true,ticks
binance_top5_imbalance,basis_mid_response_ticks,1000,vol_missing,1,false,0,0,none,false,ticks
binance_top5_imbalance,basis_microprice_response_ticks,1000,binance_vol_positive_high,455,true,0.04730964,18.57976269,positive,false,ticks
binance_top5_imbalance,basis_microprice_response_ticks,1000,binance_vol_positive_low,456,true,0.0362374,8.40753324,positive,false,ticks
binance_top5_imbalance,basis_microprice_response_ticks,1000,binance_vol_zero,2682,true,0.09691005,20.815263,positive,true,ticks
