feature,outcome,horizon_ms,scope,row_count,pearson_corr,high_z_minus_low_z_mean_effect,feature_z_mean,outcome_mean,dominant_sign,threshold_met,outcome_unit
binance_top5_imbalance,hyperliquid_mid_move_ticks,100,overall,3595,0.09655387,7.35375453,-0.00013343,-0.55910987,positive,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,100,overall,3595,-0.0108641,-0.45291879,-0.00013343,0,negative,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,100,overall,3595,0.17873384,0.17954099,-0.00013343,-0.00025373,positive,true,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,100,overall,3595,0.07110043,1.0374049,-0.00013343,-0.00126864,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,250,overall,3595,0.09655387,7.35375453,-0.00013343,-0.55910987,positive,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,250,overall,3595,-0.0108641,-0.45291879,-0.00013343,0,negative,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,250,overall,3595,0.17873384,0.17954099,-0.00013343,-0.00025373,positive,true,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,250,overall,3595,0.07110043,1.0374049,-0.00013343,-0.00126864,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,500,overall,3595,0.09655387,7.35375453,-0.00013343,-0.55910987,positive,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,500,overall,3595,-0.0108641,-0.45291879,-0.00013343,0,negative,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,500,overall,3595,0.17873384,0.17954099,-0.00013343,-0.00025373,positive,true,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,500,overall,3595,0.07110043,1.0374049,-0.00013343,-0.00126864,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,1000,overall,3594,0.14768169,17.3224012,-0.00026756,-1.11853088,positive,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,1000,overall,3594,0.00463063,0.04234457,-0.00026756,0,positive,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,1000,overall,3594,0.25493785,0.38332684,-0.00026756,-0.00072508,positive,true,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,1000,overall,3594,0.14245586,2.41309468,-0.00026756,-0.0036254,positive,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,5000,overall,3586,0.19281681,70.88225591,-0.00200526,-5.85889571,positive,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,5000,overall,3586,0.00873558,0.41651066,-0.00200526,-0.00557724,positive,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,5000,overall,3586,-0.09481283,-0.18978718,-0.00200526,-0.00014344,negative,true,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,5000,overall,3586,-0.05194491,-0.7974762,-0.00200526,-0.00350564,negative,true,ticks
binance_top5_imbalance,hyperliquid_mid_move_ticks,10000,overall,3576,0.12817625,70.03949557,-0.00462748,-12.04418345,positive,true,ticks
binance_top5_imbalance,hyperliquid_spread_change_ticks,10000,overall,3576,0.00984425,0.40854556,-0.00462748,-0.00559284,positive,false,ticks
binance_top5_imbalance,hyperliquid_top5_imbalance_change,10000,overall,3576,-0.18863109,-0.49305272,-0.00462748,-0.00106306,negative,true,unitless
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,10000,overall,3576,-0.13006069,-2.58181795,-0.00462748,-0.00811152,negative,true,ticks
binance_top5_microprice_px,hyperliquid_mid_move_ticks,100,overall,3595,0.02667628,1.92838578,0.00021566,-0.55910987,positive,false,ticks
binance_top5_microprice_px,hyperliquid_spread_change_ticks,100,overall,3595,-0.00064227,0.08908686,0.00021566,0,positive,false,ticks
binance_top5_microprice_px,hyperliquid_top5_imbalance_change,100,overall,3595,-0.00162552,0.00349553,0.00021566,-0.00025373,positive,false,unitless
binance_top5_microprice_px,hyperliquid_microprice_minus_mid_change_ticks,100,overall,3595,-0.00053913,-0.03607881,0.00021566,-0.00126864,negative,false,ticks
binance_top5_microprice_px,hyperliquid_mid_move_ticks,250,overall,3595,0.02667628,1.92838578,0.00021566,-0.55910987,positive,false,ticks
binance_top5_microprice_px,hyperliquid_spread_change_ticks,250,overall,3595,-0.00064227,0.08908686,0.00021566,0,positive,false,ticks
binance_top5_microprice_px,hyperliquid_top5_imbalance_change,250,overall,3595,-0.00162552,0.00349553,0.00021566,-0.00025373,positive,false,unitless
binance_top5_microprice_px,hyperliquid_microprice_minus_mid_change_ticks,250,overall,3595,-0.00053913,-0.03607881,0.00021566,-0.00126864,negative,false,ticks
binance_top5_microprice_px,hyperliquid_mid_move_ticks,500,overall,3595,0.02667628,1.92838578,0.00021566,-0.55910987,positive,false,ticks
binance_top5_microprice_px,hyperliquid_spread_change_ticks,500,overall,3595,-0.00064227,0.08908686,0.00021566,0,positive,false,ticks
binance_top5_microprice_px,hyperliquid_top5_imbalance_change,500,overall,3595,-0.00162552,0.00349553,0.00021566,-0.00025373,positive,false,unitless
binance_top5_microprice_px,hyperliquid_microprice_minus_mid_change_ticks,500,overall,3595,-0.00053913,-0.03607881,0.00021566,-0.00126864,negative,false,ticks
binance_top5_microprice_px,hyperliquid_mid_move_ticks,1000,overall,3594,0.03203125,3.61383523,0.00043143,-1.11853088,positive,false,ticks
binance_top5_microprice_px,hyperliquid_spread_change_ticks,1000,overall,3594,-0.00019827,0.10022272,0.00043143,0,positive,false,ticks
binance_top5_microprice_px,hyperliquid_top5_imbalance_change,1000,overall,3594,-0.00880224,-0.01155098,0.00043143,-0.00072508,negative,false,unitless
binance_top5_microprice_px,hyperliquid_microprice_minus_mid_change_ticks,1000,overall,3594,-0.00500181,-0.11686884,0.00043143,-0.0036254,negative,false,ticks
binance_top5_microprice_px,hyperliquid_mid_move_ticks,5000,overall,3586,-0.01765773,-9.53434652,0.00211665,-5.85889571,negative,false,ticks
binance_top5_microprice_px,hyperliquid_spread_change_ticks,5000,overall,3586,0.01571748,0.5437519,0.00211665,-0.00557724,positive,false,ticks
binance_top5_microprice_px,hyperliquid_top5_imbalance_change,5000,overall,3586,-0.04481545,-0.12996365,0.00211665,-0.00014344,negative,false,unitless
binance_top5_microprice_px,hyperliquid_microprice_minus_mid_change_ticks,5000,overall,3586,-0.03064514,-0.79769269,0.00211665,-0.00350564,negative,false,ticks
binance_top5_microprice_px,hyperliquid_mid_move_ticks,10000,overall,3576,-0.05981396,-41.49615121,0.00422147,-12.04418345,negative,true,ticks
binance_top5_microprice_px,hyperliquid_spread_change_ticks,10000,overall,3576,0.02245575,0.57906459,0.00422147,-0.00559284,positive,false,ticks
binance_top5_microprice_px,hyperliquid_top5_imbalance_change,10000,overall,3576,-0.04910589,-0.14425521,0.00422147,-0.00106306,negative,false,unitless
binance_top5_microprice_px,hyperliquid_microprice_minus_mid_change_ticks,10000,overall,3576,-0.03494045,-0.92839315,0.00422147,-0.00811152,negative,false,ticks
binance_microprice_minus_mid_ticks,hyperliquid_mid_move_ticks,100,overall,3595,0.03028834,10,-0.00004329,-0.55910987,positive,false,ticks
binance_microprice_minus_mid_ticks,hyperliquid_spread_change_ticks,100,overall,3595,-0.0032177,0,-0.00004329,0,negative,false,ticks
binance_microprice_minus_mid_ticks,hyperliquid_top5_imbalance_change,100,overall,3595,0.05449952,0.22754454,-0.00004329,-0.00025373,positive,true,unitless
