join_seq,timestamp_clock_policy,hyperliquid_decision_ts,binance_source_found,binance_source_age_ms,binance_source_age_bucket,cross_exchange_future_join,cross_exchange_missing_binance_join,binance_lead_quality,hyperliquid_lag_quality,joined_row_quality,basis_mid_px,basis_mid_ticks,basis_microprice_px,basis_contract_caveat,lead_lag_statistical_conclusion,binance_feature_seq,binance_source_raw_seq,binance_event_type,binance_local_ts,binance_exch_ts,binance_last_u,binance_prev_u,binance_sync_aligned,binance_sync_gap,binance_startup_excluded,binance_first_valid_update_aligned,binance_best_bid_px,binance_best_ask_px,binance_mid_px,binance_spread_ticks,binance_bid_top5_px,binance_ask_top5_px,binance_bid_top5_qtys,binance_ask_top5_qtys,binance_top5_bid_qty,binance_top5_ask_qty,binance_top5_imbalance,binance_top5_microprice_px,binance_microprice_minus_mid_ticks,binance_mid_move_ticks_from_prev,binance_rolling_abs_mid_move_ticks_5,binance_rolling_rv_ticks_20,binance_bookticker_u,binance_bookticker_local_ts,binance_bookticker_depth_age_ms,binance_bookticker_depth_age_bucket,binance_bookticker_bbo_match,binance_trade_pressure_status,binance_trade_pressure_bucket,hyperliquid_decision_seq,hyperliquid_decision_ts,hyperliquid_joined_raw_seq,hyperliquid_l2book_local_ts,hyperliquid_l2book_event_ts,hyperliquid_join_age_ms,hyperliquid_join_age_bucket,hyperliquid_future_join,hyperliquid_missing_join,hyperliquid_reconnect_recovery_crossed,hyperliquid_coin,hyperliquid_best_bid_px,hyperliquid_best_ask_px,hyperliquid_mid_px,hyperliquid_spread_ticks,hyperliquid_bid_topn_px,hyperliquid_ask_topn_px,hyperliquid_bid_topn_qtys,hyperliquid_ask_topn_qtys,hyperliquid_bid_topn_order_count,hyperliquid_ask_topn_order_count,hyperliquid_top5_bid_qty,hyperliquid_top5_ask_qty,hyperliquid_top5_imbalance,hyperliquid_top5_microprice_px,hyperliquid_microprice_minus_mid_ticks,hyperliquid_context_quality,hyperliquid_trade_pressure_status,hyperliquid_trade_pressure_bucket
0,local_controller_capture_ts_ns,1780378306038146252,true,301.908975,watch_250ms_to_stale_limit,false,false,primary_usable,primary_usable,primary_usable,-8.65,-86.5,-8.60031912,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,0,0,snapshot,1780378305736237277,1780378306153000000,,,False,False,False,,70563.8,70563.9,70563.85,1,70563.8|70563.7|70563.6|70563.3|70563,70563.9|70564|70564.3|70564.4|70564.5,24.482|0.218|0.284|0.004|0.001,0.072|0.003|0.001|0.003|0.001,24.989,0.08,0.99361762,70563.89968088,0.49680881,,,,,,,missing,,disabled_unverified_side_semantics,disabled_diagnostic_only,0,1780378306038146252,1,1780378306038146252,1780378305558000000,0.000000,fresh_0_50ms,false,false,false,BTC,70572,70573,70572.5,10,70572.0|70571.0|70570.0|70569.0|70568.0,70573.0|70574.0|70575.0|70576.0|70578.0,2.29512|0.00154|3.57971|4.48438|4.76901,6.91683|4.24173|0.00312|0.00277|0.18,13|4|5|5|8,56|13|2|2|2,15.12976,11.34445,0.14298104,70572.57149052,0.71490519,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
1,local_controller_capture_ts_ns,1780378306538146252,true,24.16206,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,1.45,14.5,1.49895116,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,24,1518,depthUpdate,1780378306513984192,1780378306454000000,10685745391496,10685745385724,True,False,False,,70573.9,70574,70573.95,1,70573.9|70573.8|70573.7|70573.6|70572.5,70574|70574.2|70574.3|70574.4|70574.5,20.046|1.504|0.995|0.001|0.002,0.223|0.001|0.001|0.002|0.012,22.548,0.239,0.97902313,70573.99895116,0.48951156,0,0.4,12.90929897,10685745391496,1780378306513300748,0.683444,fresh_0_1ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,1,1780378306538146252,5,1780378306419911743,1780378306085000000,118.234509,warm_50_250ms,false,false,false,BTC,70572,70573,70572.5,10,70572.0|70571.0|70570.0|70569.0|70568.0,70573.0|70574.0|70575.0|70576.0|70577.0,10.09165|1.91688|0.6771|4.06141|5.84333,0.32334|0.00047|0.00229|0.00294|0.00017,33|5|5|5|9,5|2|2|3|1,22.59037,0.32921,0.9712726,70572.9856363,4.85636299,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
2,local_controller_capture_ts_ns,1780378307038146252,true,22.606283,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,4.45,44.5,4.49925561,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,43,2473,depthUpdate,1780378307015539969,1780378306954000000,10685745500774,10685745497701,True,False,False,,70578.4,70578.5,70578.45,1,70578.4|70578.3|70578.2|70578.1|70577.5,70578.5|70578.6|70578.7|70579.3|70579.5,19.576|0.816|0.048|0.001|0.093,0.123|0.018|0.005|0.007|0.001,20.534,0.154,0.98511214,70578.49925561,0.49255607,0,0,10.0623059,10685745498433,1780378306993598110,21.941859,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,2,1780378307038146252,7,1780378306983468319,1780378306628000000,54.677933,warm_50_250ms,false,false,false,BTC,70573,70575,70574,20,70573.0|70572.0|70571.0|70570.0|70569.0,70575.0|70576.0|70577.0|70578.0|70579.0,51.48452|29.31917|3.28245|5.96|4.06441,0.00047|0.00194|0.00017|0.00054|0.00017,226|62|7|10|6,2|2|1|3|1,94.11055,0.00329,0.99993008,70574.99993008,9.99930085,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
3,local_controller_capture_ts_ns,1780378307538146252,true,26.818308,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,14.15,141.5,14.15619048,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,62,3552,depthUpdate,1780378307511327944,1780378307452000000,10685745562750,10685745559924,True,False,False,,70588.1,70588.2,70588.15,1,70588.1|70588|70587.9|70587.8|70586.6,70588.2|70588.3|70588.4|70588.8|70589,8.506|0.003|0.002|0.043|0.001,6.599|0.004|0.044|0.002|0.021,8.555,6.67,0.12380952,70588.15619048,0.06190476,0,19.4,15.47417203,10685745562276,1780378307505287414,6.040530,warm_1_10ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,3,1780378307538146252,7,1780378306983468319,1780378306628000000,554.677933,watch_250ms_to_stale_limit,false,false,false,BTC,70573,70575,70574,20,70573.0|70572.0|70571.0|70570.0|70569.0,70575.0|70576.0|70577.0|70578.0|70579.0,51.48452|29.31917|3.28245|5.96|4.06441,0.00047|0.00194|0.00017|0.00054|0.00017,226|62|7|10|6,2|2|1|3|1,94.11055,0.00329,0.99993008,70574.99993008,9.99930085,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
4,local_controller_capture_ts_ns,1780378308038146252,true,21.139384,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,0.55,5.5,0.51463313,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,81,4486,depthUpdate,1780378308017006868,1780378307957000000,10685745620055,10685745616677,True,False,False,,70583,70583.1,70583.05,1,70583|70582.9|70582.8|70582.7|70582.4,70583.1|70583.2|70583.4|70583.5|70583.6,3.151|0.002|0.002|0.001|0.003,17.587|0.5|0.001|0.007|0.334,3.159,18.429,-0.70733741,70583.01463313,-0.3536687,0,0,10.54751155,10685745612085,1780378307923691264,93.315604,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,4,1780378308038146252,13,1780378307949348032,1780378307633000000,88.798220,warm_50_250ms,false,false,false,BTC,70582,70583,70582.5,10,70582.0|70581.0|70580.0|70579.0|70578.0,70583.0|70584.0|70585.0|70586.0|70587.0,37.69591|33.6937|55.96258|22.25559|15.12381,0.01433|0.00039|0.21267|0.00039|0.00017,255|231|133|17|24,2|2|2|2|1,164.73159,0.22795,0.99723629,70582.99861815,4.98618146,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
5,local_controller_capture_ts_ns,1780378308538146252,true,20.043507,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,0.55,5.5,0.50135259,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,100,4628,depthUpdate,1780378308518102745,1780378308458000000,10685745668213,10685745665231,True,False,False,,70583,70583.1,70583.05,1,70583|70582.8|70582.7|70582.4|70582.2,70583.1|70583.2|70583.4|70583.5|70583.6,0.242|0.002|0.001|0.003|0.002,17.614|0.317|0.001|0.007|0.294,0.25,18.233,-0.97294811,70583.00135259,-0.48647406,0,0,0,10685745667842,1780378308512754009,5.348736,warm_1_10ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,5,1780378308538146252,13,1780378307949348032,1780378307633000000,588.798220,watch_250ms_to_stale_limit,false,false,false,BTC,70582,70583,70582.5,10,70582.0|70581.0|70580.0|70579.0|70578.0,70583.0|70584.0|70585.0|70586.0|70587.0,37.69591|33.6937|55.96258|22.25559|15.12381,0.01433|0.00039|0.21267|0.00039|0.00017,255|231|133|17|24,2|2|2|2|1,164.73159,0.22795,0.99723629,70582.99861815,4.98618146,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
6,local_controller_capture_ts_ns,1780378309038146252,true,10.765319,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-5.35,-53.5,-5.38820106,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,119,5265,depthUpdate,1780378309027380933,1780378308966000000,10685745719298,10685745717531,True,False,False,,70580.1,70580.2,70580.15,1,70580.1|70580|70579.8|70579.7|70579.6,70580.2|70580.3|70580.4|70580.5|70580.7,2.731|0.002|0.002|0.001|0.001,18.996|0.575|0.656|0.21|0.023,2.737,20.46,-0.76402121,70580.11179894,-0.3820106,0,0,6.48459713,10685745714778,1780378308960181059,67.199874,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,6,1780378309038146252,17,1780378308625589908,1780378308234000000,412.556344,watch_250ms_to_stale_limit,false,false,false,BTC,70585,70586,70585.5,10,70585.0|70584.0|70583.0|70582.0|70581.0,70586.0|70587.0|70588.0|70589.0|70590.0,47.03968|11.14818|4.89093|4.28181|0.28436,0.00016|0.00017|0.00357|0.00039|0.00017,185|23|24|23|2,1|1|3|2|1,67.64496,0.00446,0.99986814,70585.99993407,4.99934072,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
7,local_controller_capture_ts_ns,1780378309538146252,true,24.422909,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-8.35,-83.5,-8.38734511,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,137,5324,depthUpdate,1780378309513723343,1780378309453000000,10685745752764,10685745751093,True,False,False,,70580.1,70580.2,70580.15,1,70580.1|70580|70579.8|70579.7|70579.6,70580.2|70580.3|70580.4|70580.5|70580.7,2.821|0.002|0.002|0.001|0.003,18.426|0.575|0.292|0.21|0.023,2.829,19.526,-0.74690226,70580.11265489,-0.37345113,0,0,0,10685745751777,1780378309496443587,17.279756,watch_10_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,7,1780378309538146252,20,1780378309443546926,1780378308806000000,94.599326,warm_50_250ms,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70590.0|70591.0|70592.0|70593.0,1.90165|22.85909|20.25596|13.08296|1.42814,0.00069|0.00017|0.00039|0.00017|1.4186,15|211|205|60|4,3|1|2|1|3,59.5278,1.42002,0.95340211,70588.97670105,4.76701053,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
8,local_controller_capture_ts_ns,1780378310038146252,true,15.827759,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-8.35,-83.5,-8.38405993,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,156,5354,depthUpdate,1780378310022318493,1780378309961000000,10685745780404,10685745778800,True,False,False,,70580.1,70580.2,70580.15,1,70580.1|70580|70579.8|70579.7|70579.6,70580.2|70580.3|70580.4|70580.5|70580.7,3.651|0.002|0.002|0.001|0.004,18.201|0.575|0.292|0.21|0.023,3.66,19.301,-0.68119855,70580.11594007,-0.34059928,0,0,0,10685745770211,1780378309835084495,187.233998,stale_over_50ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,8,1780378310038146252,23,1780378309595426158,1780378309245000000,442.720094,watch_250ms_to_stale_limit,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70590.0|70591.0|70592.0|70593.0,12.58375|2.47608|1.81184|3.21244|1.41814,0.35454|0.00017|0.21288|0.00017|0.00339,112|23|10|7|3,3|1|3|1|3,21.50225,0.57115,0.94824993,70588.97412496,4.74124965,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
9,local_controller_capture_ts_ns,1780378310538146252,true,0.40634,fresh_0_50ms,false,false,primary_usable,primary_usable,primary_usable,-8.35,-83.5,-8.38331714,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis,not_calculated_in_0601T002,175,5396,depthUpdate,1780378310537739912,1780378310477000000,10685745809468,10685745808552,True,False,False,,70580.1,70580.2,70580.15,1,70580.1|70580|70579.8|70579.7|70579.6,70580.2|70580.3|70580.4|70580.6|70580.7,3.597|0.002|0.002|0.001|0.004,17.584|0.392|0.007|0.003|0.023,3.606,18.009,-0.66634282,70580.11668286,-0.33317141,0,0,0,10685745809410,1780378310535130099,2.609813,warm_1_10ms,true,disabled_unverified_side_semantics,disabled_diagnostic_only,9,1780378310538146252,25,1780378310106817131,1780378309774000000,431.329121,watch_250ms_to_stale_limit,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70590.0|70591.0|70592.0|70593.0,4.61811|1.087|0.29341|0.70454|6.45201,0.42522|0.00017|0.21288|0.00017|1.45527,39|13|8|6|5,2|1|3|1|6,13.15507,2.09371,0.72539311,70588.86269656,3.62696557,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
