hyperliquid_decision_seq,hyperliquid_decision_ts,hyperliquid_joined_raw_seq,hyperliquid_l2book_local_ts,hyperliquid_l2book_event_ts,hyperliquid_join_age_ms,hyperliquid_join_age_bucket,hyperliquid_future_join,hyperliquid_missing_join,hyperliquid_reconnect_recovery_crossed,hyperliquid_coin,hyperliquid_best_bid_px,hyperliquid_best_ask_px,hyperliquid_mid_px,hyperliquid_spread_ticks,hyperliquid_bid_topn_px,hyperliquid_ask_topn_px,hyperliquid_bid_topn_qtys,hyperliquid_ask_topn_qtys,hyperliquid_bid_topn_order_count,hyperliquid_ask_topn_order_count,hyperliquid_top5_bid_qty,hyperliquid_top5_ask_qty,hyperliquid_top5_imbalance,hyperliquid_top5_microprice_px,hyperliquid_microprice_minus_mid_ticks,hyperliquid_context_quality,hyperliquid_trade_pressure_status,hyperliquid_trade_pressure_bucket
0,1780378306038146252,1,1780378306038146252,1780378305558000000,0.000000,fresh_0_50ms,false,false,false,BTC,70572,70573,70572.5,10,70572.0|70571.0|70570.0|70569.0|70568.0,70573.0|70574.0|70575.0|70576.0|70578.0,2.29512|0.00154|3.57971|4.48438|4.76901,6.91683|4.24173|0.00312|0.00277|0.18,13|4|5|5|8,56|13|2|2|2,15.12976,11.34445,0.14298104,70572.57149052,0.71490519,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
1,1780378306538146252,5,1780378306419911743,1780378306085000000,118.234509,warm_50_250ms,false,false,false,BTC,70572,70573,70572.5,10,70572.0|70571.0|70570.0|70569.0|70568.0,70573.0|70574.0|70575.0|70576.0|70577.0,10.09165|1.91688|0.6771|4.06141|5.84333,0.32334|0.00047|0.00229|0.00294|0.00017,33|5|5|5|9,5|2|2|3|1,22.59037,0.32921,0.9712726,70572.9856363,4.85636299,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
2,1780378307038146252,7,1780378306983468319,1780378306628000000,54.677933,warm_50_250ms,false,false,false,BTC,70573,70575,70574,20,70573.0|70572.0|70571.0|70570.0|70569.0,70575.0|70576.0|70577.0|70578.0|70579.0,51.48452|29.31917|3.28245|5.96|4.06441,0.00047|0.00194|0.00017|0.00054|0.00017,226|62|7|10|6,2|2|1|3|1,94.11055,0.00329,0.99993008,70574.99993008,9.99930085,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
3,1780378307538146252,7,1780378306983468319,1780378306628000000,554.677933,watch_250ms_to_stale_limit,false,false,false,BTC,70573,70575,70574,20,70573.0|70572.0|70571.0|70570.0|70569.0,70575.0|70576.0|70577.0|70578.0|70579.0,51.48452|29.31917|3.28245|5.96|4.06441,0.00047|0.00194|0.00017|0.00054|0.00017,226|62|7|10|6,2|2|1|3|1,94.11055,0.00329,0.99993008,70574.99993008,9.99930085,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
4,1780378308038146252,13,1780378307949348032,1780378307633000000,88.798220,warm_50_250ms,false,false,false,BTC,70582,70583,70582.5,10,70582.0|70581.0|70580.0|70579.0|70578.0,70583.0|70584.0|70585.0|70586.0|70587.0,37.69591|33.6937|55.96258|22.25559|15.12381,0.01433|0.00039|0.21267|0.00039|0.00017,255|231|133|17|24,2|2|2|2|1,164.73159,0.22795,0.99723629,70582.99861815,4.98618146,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
5,1780378308538146252,13,1780378307949348032,1780378307633000000,588.798220,watch_250ms_to_stale_limit,false,false,false,BTC,70582,70583,70582.5,10,70582.0|70581.0|70580.0|70579.0|70578.0,70583.0|70584.0|70585.0|70586.0|70587.0,37.69591|33.6937|55.96258|22.25559|15.12381,0.01433|0.00039|0.21267|0.00039|0.00017,255|231|133|17|24,2|2|2|2|1,164.73159,0.22795,0.99723629,70582.99861815,4.98618146,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
6,1780378309038146252,17,1780378308625589908,1780378308234000000,412.556344,watch_250ms_to_stale_limit,false,false,false,BTC,70585,70586,70585.5,10,70585.0|70584.0|70583.0|70582.0|70581.0,70586.0|70587.0|70588.0|70589.0|70590.0,47.03968|11.14818|4.89093|4.28181|0.28436,0.00016|0.00017|0.00357|0.00039|0.00017,185|23|24|23|2,1|1|3|2|1,67.64496,0.00446,0.99986814,70585.99993407,4.99934072,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
7,1780378309538146252,20,1780378309443546926,1780378308806000000,94.599326,warm_50_250ms,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70590.0|70591.0|70592.0|70593.0,1.90165|22.85909|20.25596|13.08296|1.42814,0.00069|0.00017|0.00039|0.00017|1.4186,15|211|205|60|4,3|1|2|1|3,59.5278,1.42002,0.95340211,70588.97670105,4.76701053,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
8,1780378310038146252,23,1780378309595426158,1780378309245000000,442.720094,watch_250ms_to_stale_limit,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70590.0|70591.0|70592.0|70593.0,12.58375|2.47608|1.81184|3.21244|1.41814,0.35454|0.00017|0.21288|0.00017|0.00339,112|23|10|7|3,3|1|3|1|3,21.50225,0.57115,0.94824993,70588.97412496,4.74124965,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
9,1780378310538146252,25,1780378310106817131,1780378309774000000,431.329121,watch_250ms_to_stale_limit,false,false,false,BTC,70588,70589,70588.5,10,70588.0|70587.0|70586.0|70585.0|70584.0,70589.0|70590.0|70591.0|70592.0|70593.0,4.61811|1.087|0.29341|0.70454|6.45201,0.42522|0.00017|0.21288|0.00017|1.45527,39|13|8|6|5,2|1|3|1|6,13.15507,2.09371,0.72539311,70588.86269656,3.62696557,primary_usable,disabled_unverified_side_semantics,disabled_diagnostic_only
