condition_name,source_field,bucket_policy,bucket,horizon_ms,row_count,coverage_status,condition_cutoff_low,condition_cutoff_high,condition_value_min,condition_value_mean,condition_value_max,mean_future_mid_move_ticks,mean_future_microprice_change_ticks,positive_future_mid_move_ratio,conditional_effect_vs_horizon_mean_ticks
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,high,100,1201,sufficient,-216.5,-155.5,-155.5,-110.1011657,141.5,11.04079933,0.36244419,0.2489592,11.59990921
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,low,100,1199,sufficient,-216.5,-155.5,-1317,-276.43494579,-216.5,-12.74812344,-0.48162917,0.01084237,-12.18901356
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,mid,100,1195,sufficient,-216.5,-155.5,-215.5,-182.97112971,-156.5,0.0125523,0.11516078,0.03933054,0.57166218
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,high,250,1201,sufficient,-216.5,-155.5,-155.5,-110.1011657,141.5,11.04079933,0.36244419,0.2489592,11.59990921
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,low,250,1199,sufficient,-216.5,-155.5,-1317,-276.43494579,-216.5,-12.74812344,-0.48162917,0.01084237,-12.18901356
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,mid,250,1195,sufficient,-216.5,-155.5,-215.5,-182.97112971,-156.5,0.0125523,0.11516078,0.03933054,0.57166218
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,high,500,1201,sufficient,-216.5,-155.5,-155.5,-110.1011657,141.5,11.04079933,0.36244419,0.2489592,11.59990921
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,low,500,1199,sufficient,-216.5,-155.5,-1317,-276.43494579,-216.5,-12.74812344,-0.48162917,0.01084237,-12.18901356
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,mid,500,1195,sufficient,-216.5,-155.5,-215.5,-182.97112971,-156.5,0.0125523,0.11516078,0.03933054,0.57166218
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,high,1000,1201,sufficient,-216.5,-155.5,-155.5,-110.1011657,141.5,21.561199,0.17139393,0.38384679,22.67972989
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,low,1000,1199,sufficient,-216.5,-155.5,-1317,-276.43494579,-216.5,-25.4587156,-0.42844273,0.01417848,-24.34018471
basis_mid_ticks,context_basis_mid_ticks,numeric_tertile,mid,1000,1194,sufficient,-216.5,-155.5,-215.5,-182.95393635,-156.5,0.51088777,0.24692549,0.07788945,1.62941866
hyperliquid_spread_ticks,context_hyperliquid_spread_ticks,numeric_tertile,high,100,88,sufficient,10,10,20,52.27272727,420,-18.01136364,-0.24241608,0.38636364,-17.45225376
hyperliquid_spread_ticks,context_hyperliquid_spread_ticks,numeric_tertile,mid,100,3507,sufficient,10,10,10,10,10,-0.1211862,0.00478239,0.0926718,0.43792368
