sample_id,horizon_ms,label_row_count,near_target_lower_ms,near_target_upper_ms,near_target_label_count,near_target_label_rate,effective_future_age_ms_min,effective_future_age_ms_p50,effective_future_age_ms_mean,effective_future_age_ms_p90,effective_future_age_ms_max
xemm_0627_t001_hlfast_utc16_a,100,3593,100,350,0,0,500,500,500.695797,500,2000
xemm_0627_t001_hlfast_utc16_a,250,3593,250,500,3590,0.99916504,500,500,500.695797,500,2000
xemm_0627_t001_hlfast_utc16_a,500,3593,500,750,3590,0.99916504,500,500,500.695797,500,2000
xemm_0627_t001_hlfast_utc16_a,1000,3592,1000,1250,3588,0.99888641,1000,1000,1000.974388,1000,2500
xemm_0627_t001_hlfast_utc16_a,5000,3584,5000,5250,3579,0.99860491,5000,5000,5001.116071,5000,6500
xemm_0627_t001_hlfast_utc16_a,10000,3574,10000,10250,3569,0.99860101,10000,10000,10001.119194,10000,11500
xemm_0627_t001_hlfast_utc17_b,100,3582,100,350,0,0,500,500,501.954216,500,1000
xemm_0627_t001_hlfast_utc17_b,250,3582,250,500,3568,0.99609157,500,500,501.954216,500,1000
xemm_0627_t001_hlfast_utc17_b,500,3582,500,750,3568,0.99609157,500,500,501.954216,500,1000
xemm_0627_t001_hlfast_utc17_b,1000,3581,1000,1250,3567,0.99609048,1000,1000,1001.954761,1000,1500
xemm_0627_t001_hlfast_utc17_b,5000,3573,5000,5250,3559,0.99608172,5000,5000,5001.959138,5000,5500
xemm_0627_t001_hlfast_utc17_b,10000,3563,10000,10250,3549,0.99607073,10000,10000,10001.964637,10000,10500
xemm_0627_t001_hlfast_utc17_c,100,3575,100,350,0,0,500,500,503.216783,500,1000
xemm_0627_t001_hlfast_utc17_c,250,3575,250,500,3552,0.99356643,500,500,503.216783,500,1000
xemm_0627_t001_hlfast_utc17_c,500,3575,500,750,3552,0.99356643,500,500,503.216783,500,1000
xemm_0627_t001_hlfast_utc17_c,1000,3574,1000,1250,3551,0.99356463,1000,1000,1003.217683,1000,1500
xemm_0627_t001_hlfast_utc17_c,5000,3566,5000,5250,3543,0.9935502,5000,5000,5003.224902,5000,5500
xemm_0627_t001_hlfast_utc17_c,10000,3556,10000,10250,3533,0.99353206,10000,10000,10003.233971,10000,10500
