sample_id,observed_regime,source_row_index,future_row_index,hyperliquid_decision_ts,hyperliquid_l2book_local_ts,hyperliquid_l2book_event_ts,binance_local_ts,binance_exch_ts,binance_source_age_ms,hyperliquid_join_age_ms,nominal_horizon_ms,effective_future_age_ms,future_hyperliquid_decision_ts,hyperliquid_current_bid_px,hyperliquid_current_ask_px,hyperliquid_buy_touch_quote_px,hyperliquid_sell_touch_quote_px,tick_size,hyperliquid_mid_px,hyperliquid_top5_microprice_px,hyperliquid_spread_ticks,hyperliquid_bid_top5_px,hyperliquid_ask_top5_px,hyperliquid_bid_top5_qtys,hyperliquid_ask_top5_qtys,binance_mid_px,binance_top5_microprice_px,binance_bid_top5_px,binance_ask_top5_px,binance_bid_top5_qtys,binance_ask_top5_qtys,input_binance_top5_imbalance,input_binance_microprice_minus_mid_ticks,input_binance_mid_move_ticks_from_prev,input_binance_top5_bid_qty,basis_mid_ticks,hyperliquid_top5_imbalance,hyperliquid_microprice_minus_mid_ticks,hyperliquid_context_quality,future_hyperliquid_mid_px,future_hyperliquid_top5_microprice_px,hyperliquid_future_mid_move_ticks,hyperliquid_future_microprice_minus_mid_change_ticks,label_row_quality,has_future_label,context_fields_complete,near_target_1000ms,effective_horizon_valid,valid_for_1000ms_signal_acceptance,effective_horizon_bucket,complete_context
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,2,1782492403000807994,1782492403000807994,1782492402258000000,1782492402914401724,1782492402913000000,86.40627,0.000000,1000,1000,1782492404000807994,60095,60096,60095,60096,0.1,60095.5,60095.74303772,10,60095.0|60094.0|60093.0|60092.0|60091.0,60096.0|60098.0|60099.0|60100.0|60101.0,7.05217|0.75117|1.25257|1.43296|0.75257,2.52929|0.00017|0.00017|0.00017|1.35779,60107.45,60107.41856651,60107.4|60107.3|60107|60106.9|60106.5,60107.5|60107.6|60107.7|60107.9|60108,1.069|0.007|0.002|0.048|0.006,4.951|0.004|0.004|0.002|0.004,-0.62866984,-0.31433492,,1.132,119.5,0.48607545,2.43037723,primary_usable,60095.5,60095.15413227,0,-5.88905456,primary_label_available,True,False,True,True,False,near_target,False
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,1,3,1782492403500807994,1782492403090870698,1782492402807000000,1782492403492795683,1782492403490000000,8.012311,409.937296,1000,1000,1782492404500807994,60095,60096,60095,60096,0.1,60095.5,60095.14817047,10,60095.0|60094.0|60093.0|60092.0|60091.0,60096.0|60098.0|60099.0|60100.0|60101.0,1.81466|0.11736|1.2692|0.18344|0.25613,6.62764|0.00017|4.69791|8.24733|1.35779,60099.75,60099.70586362,60101.4|60099.7|60099.6|60099.2|60099.1,60099.8|60099.9|60100|60100.1|60100.2,0.001|0.838|0.003|0.002|0.003,10.045|0.005|2.879|0.666|0.003,-0.88272759,-0.44136379,0,0.847,42.5,-0.70365906,-3.51829529,primary_usable,60095,60094.00027989,-5,-6.47890582,primary_label_available,True,True,True,True,True,near_target,True
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,2,4,1782492404000807994,1782492403675864724,1782492403364000000,1782492403992277455,1782492403989000000,8.530539,324.943270,1000,1000,1782492405000807994,60095,60096,60095,60096,0.1,60095.5,60095.15413227,10,60095.0|60094.0|60093.0|60092.0|60091.0,60096.0|60097.0|60098.0|60099.0|60100.0,3.52911|0.10685|0.12981|0.2852|0.28068,6.06536|1.12409|2.13249|6.3703|8.07957,60091.75,60091.74341369,60101.4|60091.7|60091.6|60091.4|60091.3,60091.8|60091.9|60092|60092.6|60092.7,0.001|4.493|0.004|0.002|0.002,5.861|0.003|0.001|0.002|0.001,-0.13172613,-0.06586307,0,4.502,-37.5,-0.69173547,-3.45867733,primary_usable,60092.5,60092.00002662,-30,-1.54105643,primary_label_available,True,True,True,True,True,near_target,True
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,3,5,1782492404500807994,1782492404273089573,1782492403917000000,1782492404496563376,1782492404493000000,4.244618,227.718421,1000,1000,1782492405500807994,60094,60096,60094,60096,0.1,60095,60094.00027989,20,60094.0|60093.0|60092.0|60091.0|60090.0,60096.0|60097.0|60098.0|60099.0|60100.0,0.00034|0.00034|0.00017|0.00131|0.00438,36.06571|1.18336|3.40394|5.98584|0.0874,60080.15,60080.14317159,60101.4|60080.1|60080|60079.9|60079.8,60080.2|60080.3|60080.4|60081.3|60081.5,0.001|4.596|0.677|0.001|0.001,6.938|0.004|0.001|0.001|0.001,-0.1365682,-0.0682841,0,5.276,-148.5,-0.99972011,-9.99720111,primary_usable,60078.5,60078.00016959,-165,4.99889696,primary_label_available,True,True,True,True,True,near_target,True
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,4,6,1782492405000807994,1782492404834598351,1782492404444000000,1782492404996276524,1782492404993000000,4.53147,166.209643,1000,1000,1782492406000807994,60092,60093,60092,60093,0.1,60092.5,60092.00002662,10,60092.0|60091.0|60090.0|60089.0|60088.0,60093.0|60094.0|60095.0|60096.0|60097.0,0.00017|0.00017|0.00317|0.00017|0.00017,36.40386|43.59209|50.63534|12.65492|1.31469,60080.15,60080.17146846,60101.4|60080.1|60080|60079.9|60079.8,60080.2|60080.3|60080.4|60081.3|60081.5,0.001|6.229|0.678|0.002|0.001,2.752|0.004|0.001|0.001|0.001,0.42936918,0.21468459,0,6.911,-123.5,-0.99994675,-4.99973376,primary_usable,60075.5,60075.01380591,-170,0.13779281,primary_label_available,True,True,True,True,True,near_target,True
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,5,7,1782492405500807994,1782492405383858578,1782492404987000000,1782492405480355740,1782492405477000000,20.452254,116.949416,1000,1000,1782492406500807994,60078,60079,60078,60079,0.1,60078.5,60078.00016959,10,60078.0|60077.0|60076.0|60075.0|60071.0,60079.0|60080.0|60081.0|60082.0|60083.0,0.00059|0.00017|0.00017|0.00332|0.00041,6.33103|6.16586|7.89517|4.36753|2.71459,60081.45,60081.45026696,60101.4|60081.4|60081.3|60081.2|60081.1,60081.5|60081.6|60081.7|60081.8|60082,0.001|5.106|0.068|0.001|0.002,5.103|0.003|0.015|0.001|0.001,0.00533929,0.00266964,0,5.178,29.5,-0.99966083,-4.99830415,primary_usable,60075.5,60075.01380591,-30,0.1363632,primary_label_available,True,True,True,True,True,near_target,True
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,6,8,1782492406000807994,1782492405935523068,1782492405556000000,1782492405986456164,1782492405983000000,14.35183,65.284926,1000,1000,1782492407000807994,60075,60076,60075,60076,0.1,60075.5,60075.01380591,10,60075.0|60073.0|60071.0|60070.0|60069.0,60076.0|60077.0|60078.0|60079.0|60080.0,0.00332|0.00017|0.00041|0.25937|0.24032,0.35641|0.35641|0.35641|29.30599|5.59761,60081.45,60081.41407035,60101.4|60081.4|60081.3|60081.2|60081.1,60081.5|60081.6|60081.7|60081.8|60082,0.001|0.779|0.001|0.001|0.002,4.768|0.003|0.015|0.001|0.001,-0.71859296,-0.35929648,0,0.784,59.5,-0.97238819,-4.86194095,primary_usable,60075.5,60075.00258267,0,-0.11223234,primary_label_available,True,True,True,True,True,near_target,True
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,7,9,1782492406500807994,1782492405935523068,1782492405556000000,1782492406500386232,1782492406497000000,0.421762,565.284926,1000,1000,1782492407500807994,60075,60076,60075,60076,0.1,60075.5,60075.01380591,10,60075.0|60073.0|60071.0|60070.0|60069.0,60076.0|60077.0|60078.0|60079.0|60080.0,0.00332|0.00017|0.00041|0.25937|0.24032,0.35641|0.35641|0.35641|29.30599|5.59761,60081.45,60081.41342101,60101.4|60081.4|60081.3|60081.2|60081.1,60081.5|60081.6|60081.7|60081.8|60082,0.001|0.74|0.001|0.001|0.002,4.786|0.003|0.015|0.001|0.001,-0.7315799,-0.36578995,0,0.745,59.5,-0.97238819,-4.86194095,primary_usable,60075.5,60075.00258267,0,-0.11223234,primary_label_available,True,True,True,True,True,near_target,True
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,8,10,1782492407000807994,1782492406982713830,1782492406640000000,1782492406976397996,1782492406973000000,24.409998,18.094164,1000,1000,1782492408000807994,60075,60076,60075,60076,0.1,60075.5,60075.00258267,10,60075.0|60074.0|60073.0|60072.0|60071.0,60076.0|60078.0|60079.0|60080.0|60081.0,0.00278|0.00017|0.00017|0.00017|0.10523,23.25636|3.67519|10.62714|0.25807|4.09324,60080.05,60080.04415563,60101.4|60080|60079.9|60079.8|60079.7,60080.1|60080.2|60080.5|60080.6|60081,0.001|5.255|0.007|0.001|0.002,6.361|0.002|0.002|0.294|0.001,-0.11688747,-0.05844374,0,5.266,45.5,-0.99483466,-4.97417329,primary_usable,60073.5,60073.01869442,-20,0.16111751,primary_label_available,True,True,True,True,True,near_target,True
xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,9,11,1782492407500807994,1782492406982713830,1782492406640000000,1782492407484249806,1782492407481000000,16.558188,518.094164,1000,1000,1782492408500807994,60075,60076,60075,60076,0.1,60075.5,60075.00258267,10,60075.0|60074.0|60073.0|60072.0|60071.0,60076.0|60078.0|60079.0|60080.0|60081.0,0.00278|0.00017|0.00017|0.00017|0.10523,23.25636|3.67519|10.62714|0.25807|4.09324,60080.05,60080.06963812,60101.4|60080|60079.9|60079.8|60079.7,60080.1|60080.2|60080.9|60081|60081.2,0.001|5.763|0.006|0.001|0.002,2.511|0.002|0.002|0.001|0.001,0.39276236,0.19638118,0,5.773,45.5,-0.99483466,-4.97417329,primary_usable,60073.5,60073.13141219,-20,1.28829517,primary_label_available,True,True,True,True,True,near_target,True
