row_id,sample_id,observed_regime,decision_id,action,block_reason,signal_status,signal_score,signal_abs_z,side,fair_mid_px,quote_px,edge_ticks,required_edge_ticks,quote_type,time_in_force,post_only,source_age_bucket,basis_bucket,warning_bucket,order_endpoint_called,private_endpoint_called,credential_read
2,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:2,would_submit,,pass,-1.04427073,1.04427073,sell,60095.08229171,60096,9.17708292,1.5,touch,Alo,True,binance_source_age_low,basis_mid,False,False,False,False
3,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:3,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_mid,basis_low,False,False,False,False
4,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:4,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_low,basis_low,False,False,False,False
5,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:5,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_low,basis_low,False,False,False,False
6,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:6,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_high,basis_mid,False,False,False,False
7,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:7,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_mid,basis_high,False,False,False,False
8,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:8,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_low,basis_high,False,False,False,False
9,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:9,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_high,basis_mid,False,False,False,False
10,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:10,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_mid,basis_mid,False,False,False,False
11,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:11,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_low,basis_high,False,False,False,False
12,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:12,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_low,basis_high,False,False,False,False
13,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:13,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_low,basis_low,False,False,False,False
14,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:14,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_high,basis_low,False,False,False,False
15,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:15,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_mid,basis_mid,False,False,False,False
16,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:16,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_high,basis_high,False,False,False,False
17,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,xemm_0627_t001_hlfast_utc16_a:17,block,signal_below_threshold,block,,,,,,,,,,,binance_source_age_low,basis_high,False,False,False,False
