sample_id,row_id,decision_id,observed_regime,hyperliquid_decision_ts,hyperliquid_l2book_local_ts,hyperliquid_l2book_event_ts,binance_local_ts,binance_exch_ts,binance_source_age_ms,hyperliquid_join_age_ms,hyperliquid_current_bid_px,hyperliquid_current_ask_px,hyperliquid_mid_px,tick_size,hyperliquid_bid_top5_px,hyperliquid_ask_top5_px,hyperliquid_bid_top5_qtys,hyperliquid_ask_top5_qtys,binance_mid_px,binance_top5_microprice_px,binance_bid_top5_px,binance_ask_top5_px,binance_bid_top5_qtys,binance_ask_top5_qtys,input_binance_top5_imbalance,input_binance_microprice_minus_mid_ticks,input_binance_mid_move_ticks_from_prev,source_age_bucket,basis_bucket,warning_bucket,market_view_status,market_view_issue
xemm_0627_t001_hlfast_utc16_a,2,xemm_0627_t001_hlfast_utc16_a:2,high_activity_liquidity,1.782492403500808e+18,1.7824924030908708e+18,1.782492402807e+18,1.7824924034927956e+18,1.78249240349e+18,8.012311,409.937296,60095.0,60096.0,60095.5,0.1,60095.0|60094.0|60093.0|60092.0|60091.0,60096.0|60098.0|60099.0|60100.0|60101.0,1.81466|0.11736|1.2692|0.18344|0.25613,6.62764|0.00017|4.69791|8.24733|1.35779,60099.75,60099.70586362,60101.4|60099.7|60099.6|60099.2|60099.1,60099.8|60099.9|60100|60100.1|60100.2,0.001|0.838|0.003|0.002|0.003,10.045|0.005|2.879|0.666|0.003,-0.88272759,-0.44136379,0.0,binance_source_age_low,basis_mid,False,pass,
xemm_0627_t001_hlfast_utc16_a,3,xemm_0627_t001_hlfast_utc16_a:3,high_activity_liquidity,1.782492404000808e+18,1.7824924036758648e+18,1.782492403364e+18,1.7824924039922775e+18,1.782492403989e+18,8.530539,324.94327,60095.0,60096.0,60095.5,0.1,60095.0|60094.0|60093.0|60092.0|60091.0,60096.0|60097.0|60098.0|60099.0|60100.0,3.52911|0.10685|0.12981|0.2852|0.28068,6.06536|1.12409|2.13249|6.3703|8.07957,60091.75,60091.74341369,60101.4|60091.7|60091.6|60091.4|60091.3,60091.8|60091.9|60092|60092.6|60092.7,0.001|4.493|0.004|0.002|0.002,5.861|0.003|0.001|0.002|0.001,-0.13172613,-0.06586307,0.0,binance_source_age_mid,basis_low,False,pass,
xemm_0627_t001_hlfast_utc16_a,4,xemm_0627_t001_hlfast_utc16_a:4,high_activity_liquidity,1.782492404500808e+18,1.7824924042730895e+18,1.782492403917e+18,1.7824924044965635e+18,1.782492404493e+18,4.244618,227.718421,60094.0,60096.0,60095.0,0.1,60094.0|60093.0|60092.0|60091.0|60090.0,60096.0|60097.0|60098.0|60099.0|60100.0,0.00034|0.00034|0.00017|0.00131|0.00438,36.06571|1.18336|3.40394|5.98584|0.0874,60080.15,60080.14317159,60101.4|60080.1|60080|60079.9|60079.8,60080.2|60080.3|60080.4|60081.3|60081.5,0.001|4.596|0.677|0.001|0.001,6.938|0.004|0.001|0.001|0.001,-0.1365682,-0.0682841,0.0,binance_source_age_low,basis_low,False,pass,
xemm_0627_t001_hlfast_utc16_a,5,xemm_0627_t001_hlfast_utc16_a:5,high_activity_liquidity,1.782492405000808e+18,1.7824924048345984e+18,1.782492404444e+18,1.7824924049962765e+18,1.782492404993e+18,4.53147,166.209643,60092.0,60093.0,60092.5,0.1,60092.0|60091.0|60090.0|60089.0|60088.0,60093.0|60094.0|60095.0|60096.0|60097.0,0.00017|0.00017|0.00317|0.00017|0.00017,36.40386|43.59209|50.63534|12.65492|1.31469,60080.15,60080.17146846,60101.4|60080.1|60080|60079.9|60079.8,60080.2|60080.3|60080.4|60081.3|60081.5,0.001|6.229|0.678|0.002|0.001,2.752|0.004|0.001|0.001|0.001,0.42936918,0.21468459,0.0,binance_source_age_low,basis_low,False,pass,
xemm_0627_t001_hlfast_utc16_a,6,xemm_0627_t001_hlfast_utc16_a:6,high_activity_liquidity,1.782492405500808e+18,1.7824924053838587e+18,1.782492404987e+18,1.7824924054803558e+18,1.782492405477e+18,20.452254,116.949416,60078.0,60079.0,60078.5,0.1,60078.0|60077.0|60076.0|60075.0|60071.0,60079.0|60080.0|60081.0|60082.0|60083.0,0.00059|0.00017|0.00017|0.00332|0.00041,6.33103|6.16586|7.89517|4.36753|2.71459,60081.45,60081.45026696,60101.4|60081.4|60081.3|60081.2|60081.1,60081.5|60081.6|60081.7|60081.8|60082,0.001|5.106|0.068|0.001|0.002,5.103|0.003|0.015|0.001|0.001,0.00533929,0.00266964,0.0,binance_source_age_high,basis_mid,False,pass,
xemm_0627_t001_hlfast_utc16_a,7,xemm_0627_t001_hlfast_utc16_a:7,high_activity_liquidity,1.782492406000808e+18,1.782492405935523e+18,1.782492405556e+18,1.782492405986456e+18,1.782492405983e+18,14.35183,65.284926,60075.0,60076.0,60075.5,0.1,60075.0|60073.0|60071.0|60070.0|60069.0,60076.0|60077.0|60078.0|60079.0|60080.0,0.00332|0.00017|0.00041|0.25937|0.24032,0.35641|0.35641|0.35641|29.30599|5.59761,60081.45,60081.41407035,60101.4|60081.4|60081.3|60081.2|60081.1,60081.5|60081.6|60081.7|60081.8|60082,0.001|0.779|0.001|0.001|0.002,4.768|0.003|0.015|0.001|0.001,-0.71859296,-0.35929648,0.0,binance_source_age_mid,basis_high,False,pass,
xemm_0627_t001_hlfast_utc16_a,8,xemm_0627_t001_hlfast_utc16_a:8,high_activity_liquidity,1.782492406500808e+18,1.782492405935523e+18,1.782492405556e+18,1.7824924065003863e+18,1.782492406497e+18,0.421762,565.284926,60075.0,60076.0,60075.5,0.1,60075.0|60073.0|60071.0|60070.0|60069.0,60076.0|60077.0|60078.0|60079.0|60080.0,0.00332|0.00017|0.00041|0.25937|0.24032,0.35641|0.35641|0.35641|29.30599|5.59761,60081.45,60081.41342101,60101.4|60081.4|60081.3|60081.2|60081.1,60081.5|60081.6|60081.7|60081.8|60082,0.001|0.74|0.001|0.001|0.002,4.786|0.003|0.015|0.001|0.001,-0.7315799,-0.36578995,0.0,binance_source_age_low,basis_high,False,pass,
xemm_0627_t001_hlfast_utc16_a,9,xemm_0627_t001_hlfast_utc16_a:9,high_activity_liquidity,1.782492407000808e+18,1.7824924069827139e+18,1.78249240664e+18,1.782492406976398e+18,1.782492406973e+18,24.409998,18.094164,60075.0,60076.0,60075.5,0.1,60075.0|60074.0|60073.0|60072.0|60071.0,60076.0|60078.0|60079.0|60080.0|60081.0,0.00278|0.00017|0.00017|0.00017|0.10523,23.25636|3.67519|10.62714|0.25807|4.09324,60080.05,60080.04415563,60101.4|60080|60079.9|60079.8|60079.7,60080.1|60080.2|60080.5|60080.6|60081,0.001|5.255|0.007|0.001|0.002,6.361|0.002|0.002|0.294|0.001,-0.11688747,-0.05844374,0.0,binance_source_age_high,basis_mid,False,pass,
xemm_0627_t001_hlfast_utc16_a,10,xemm_0627_t001_hlfast_utc16_a:10,high_activity_liquidity,1.782492407500808e+18,1.7824924069827139e+18,1.78249240664e+18,1.7824924074842499e+18,1.782492407481e+18,16.558188,518.094164,60075.0,60076.0,60075.5,0.1,60075.0|60074.0|60073.0|60072.0|60071.0,60076.0|60078.0|60079.0|60080.0|60081.0,0.00278|0.00017|0.00017|0.00017|0.10523,23.25636|3.67519|10.62714|0.25807|4.09324,60080.05,60080.06963812,60101.4|60080|60079.9|60079.8|60079.7,60080.1|60080.2|60080.9|60081|60081.2,0.001|5.763|0.006|0.001|0.002,2.511|0.002|0.002|0.001|0.001,0.39276236,0.19638118,0.0,binance_source_age_mid,basis_mid,False,pass,
xemm_0627_t001_hlfast_utc16_a,11,xemm_0627_t001_hlfast_utc16_a:11,high_activity_liquidity,1.782492408000808e+18,1.782492407533535e+18,1.782492407179e+18,1.7824924080004667e+18,1.782492407998e+18,0.341366,467.272949,60073.0,60074.0,60073.5,0.1,60073.0|60072.0|60071.0|60070.0|60069.0,60074.0|60075.0|60076.0|60077.0|60078.0,0.00017|0.00017|0.10523|0.23507|0.24034,0.34625|0.34625|26.16786|0.07768|3.5587,60081.45,60081.41584291,60101.4|60081.4|60081.3|60081.2|60081.1,60081.5|60081.6|60081.8|60081.9|60082,0.001|9.929|0.19|0.002|0.193,4.624|0.004|0.001|0.159|50.005,-0.68314186,-0.34157093,0.0,binance_source_age_low,basis_high,False,pass,
xemm_0627_t001_hlfast_utc16_a,12,xemm_0627_t001_hlfast_utc16_a:12,high_activity_liquidity,1.782492408500808e+18,1.782492408084663e+18,1.782492407745e+18,1.7824924084983232e+18,1.782492408493e+18,2.484803,416.144872,60073.0,60074.0,60073.5,0.1,60073.0|60072.0|60071.0|60070.0|60069.0,60074.0|60075.0|60076.0|60077.0|60078.0,1.5312|0.00017|0.10523|1.90169|0.24034,12.19822|2.98623|7.23798|0.88317|1.6698,60081.45,60081.41348087,60101.4|60081.4|60081.3|60081.2|60081.1,60081.5|60081.6|60081.7|60081.8|60081.9,0.001|1.926|0.002|0.002|0.067,5.325|0.004|0.001|0.007|7.486,-0.73038257,-0.36519128,0.0,binance_source_age_low,basis_high,False,pass,
xemm_0627_t001_hlfast_utc16_a,13,xemm_0627_t001_hlfast_utc16_a:13,high_activity_liquidity,1.782492409000808e+18,1.782492408619125e+18,1.782492408277e+18,1.782492408996477e+18,1.782492408994e+18,4.330978,381.683078,60073.0,60074.0,60073.5,0.1,60073.0|60072.0|60071.0|60070.0|60069.0,60074.0|60075.0|60076.0|60078.0|60079.0,4.45573|0.00034|1.77197|0.23507|1.49847,4.93363|1.33694|0.00277|2.98012|0.69083,60070.15,60070.12418154,60101.4|60070.1|60070|60069.9|60069.8,60070.2|60070.3|60070.4|60070.5|60070.8,0.001|3.659|0.003|0.005|0.003,11.333|0.008|0.001|0.002|0.166,-0.51636915,-0.25818457,0.0,binance_source_age_low,basis_low,False,pass,
xemm_0627_t001_hlfast_utc16_a,14,xemm_0627_t001_hlfast_utc16_a:14,high_activity_liquidity,1.782492409500808e+18,1.7824924091480863e+18,1.782492408808e+18,1.782492409476285e+18,1.782492409474e+18,24.523111,352.721761,60073.0,60074.0,60073.5,0.1,60073.0|60072.0|60071.0|60070.0|60069.0,60074.0|60075.0|60076.0|60077.0|60078.0,0.56205|0.00017|0.1054|0.4017|0.24017,17.62318|0.00277|0.21172|0.17478|5.55788,60070.15,60070.18253532,60101.4|60070.1|60070|60069.9|60069.8,60070.2|60070.3|60070.4|60070.5|60070.8,0.001|6.3|0.003|0.002|0.003,1.244|0.005|0.002|0.002|0.082,0.65070644,0.32535322,0.0,binance_source_age_high,basis_low,False,pass,
