sample_id,horizon_ms,label_row_count,effective_future_age_ms_min,effective_future_age_ms_p50,effective_future_age_ms_mean,effective_future_age_ms_p90,effective_future_age_ms_max
xemm_0625_t002_utc15_a,100,670,500,500,2676.865672,5000,5500
xemm_0625_t002_utc15_a,250,670,500,500,2676.865672,5000,5500
xemm_0625_t002_utc15_a,500,670,500,500,2676.865672,5000,5500
xemm_0625_t002_utc15_a,1000,669,1000,5000,5111.360239,5500,6000
xemm_0625_t002_utc15_a,5000,669,5000,5000,5219.730942,5500,10000
xemm_0625_t002_utc15_a,10000,667,10000,10500,10521.73913,11000,12000
xemm_0625_t002_utc15_b,100,668,500,500,2683.383234,5000,5500
xemm_0625_t002_utc15_b,250,668,500,500,2683.383234,5000,5500
xemm_0625_t002_utc15_b,500,668,500,500,2683.383234,5000,5500
xemm_0625_t002_utc15_b,1000,667,1000,5000,5123.688156,5500,6000
xemm_0625_t002_utc15_b,5000,667,5000,5000,5226.386807,5500,9500
xemm_0625_t002_utc15_b,10000,665,10000,10500,10545.864662,11000,13500
xemm_0625_t002_utc16_c,100,666,500,500,2691.441441,5000,5500
xemm_0625_t002_utc16_c,250,666,500,500,2691.441441,5000,5500
xemm_0625_t002_utc16_c,500,666,500,500,2691.441441,5000,5500
xemm_0625_t002_utc16_c,1000,665,1000,5000,5139.849624,5500,6000
xemm_0625_t002_utc16_c,5000,665,5000,5000,5224.06015,5500,9500
xemm_0625_t002_utc16_c,10000,663,10000,10500,10546.003017,11000,11500
