row_id,sample_id,observed_regime,primary_label_ticks,input_binance_top5_imbalance,input_binance_microprice_minus_mid_ticks,input_binance_mid_move_ticks_from_prev,context_basis_mid_ticks,context_hyperliquid_top5_imbalance,context_hyperliquid_microprice_minus_mid_ticks,binance_lead_composite_raw_mean,source_age_bucket,basis_bucket
1,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-5,-0.88272759,-0.44136379,0,42.5,-0.70365906,-3.51829529,-0.44136379,binance_source_age_low,basis_mid
2,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-30,-0.13172613,-0.06586307,0,-37.5,-0.69173547,-3.45867733,-0.06586307,binance_source_age_mid,basis_low
3,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-165,-0.1365682,-0.0682841,0,-148.5,-0.99972011,-9.99720111,-0.0682841,binance_source_age_low,basis_low
4,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-170,0.42936918,0.21468459,0,-123.5,-0.99994675,-4.99973376,0.21468459,binance_source_age_low,basis_low
5,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-30,0.00533929,0.00266964,0,29.5,-0.99966083,-4.99830415,0.00266964,binance_source_age_high,basis_mid
6,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.71859296,-0.35929648,0,59.5,-0.97238819,-4.86194095,-0.35929648,binance_source_age_mid,basis_high
7,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.7315799,-0.36578995,0,59.5,-0.97238819,-4.86194095,-0.36578995,binance_source_age_low,basis_high
8,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-20,-0.11688747,-0.05844374,0,45.5,-0.99483466,-4.97417329,-0.05844374,binance_source_age_high,basis_mid
9,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-20,0.39276236,0.19638118,0,45.5,-0.99483466,-4.97417329,0.19638118,binance_source_age_mid,basis_mid
10,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.68314186,-0.34157093,0,79.5,-0.96261116,-4.81305578,-0.34157093,binance_source_age_low,basis_high
11,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.73038257,-0.36519128,0,79.5,-0.73717562,-3.68587812,-0.36519128,binance_source_age_low,basis_high
12,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-65,-0.51636915,-0.25818457,0,-33.5,-0.11072961,-0.55364805,-0.25818457,binance_source_age_low,basis_low
13,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-130,0.65070644,0.32535322,0,-33.5,-0.89473477,-4.47367384,0.32535322,binance_source_age_high,basis_low
14,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-65,-0.1169052,-0.0584526,0,31.5,-0.93877483,-65.71423789,-0.0584526,binance_source_age_mid,basis_mid
15,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.14411927,-0.07205964,0,96.5,-0.2533145,-1.26657252,-0.07205964,binance_source_age_high,basis_high
16,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.14738732,-0.07369366,0,101.5,-0.49463678,-2.4731839,-0.07369366,binance_source_age_low,basis_high
17,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.11197073,-0.05598536,0,101.5,-0.41545331,-2.07726654,-0.05598536,binance_source_age_mid,basis_high
18,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,0.06726775,0.03363387,0,101.5,-0.31149494,-1.5574747,0.03363387,binance_source_age_low,basis_high
19,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,0.2034384,0.1017192,0,101.5,-0.31149494,-1.5574747,0.1017192,binance_source_age_low,basis_high
20,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.3243607,-0.16218035,0,161.5,-0.23079655,-1.15398275,-0.16218035,binance_source_age_mid,basis_high
21,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.42381759,-0.2119088,0,161.5,0.9777452,4.88872598,-0.2119088,binance_source_age_low,basis_high
22,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.39785596,-0.19892798,0,161.5,0.99196478,4.95982391,-0.19892798,binance_source_age_high,basis_high
23,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,60,0.00627387,0.00313693,0,161.5,0.99196478,4.95982391,0.00313693,binance_source_age_high,basis_high
24,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,60,-0.02153413,-0.01076707,0,161.5,0.99456014,4.97280069,-0.01076707,binance_source_age_mid,basis_high
25,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,0.16110045,0.08055022,0,101.5,0.46724483,2.33622413,0.08055022,binance_source_age_low,basis_high
26,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.52289487,-0.26144744,0,133.5,0.05949144,0.29745718,-0.26144744,binance_source_age_low,basis_high
27,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.39397801,-0.19698901,0,133.5,0.05949144,0.29745718,-0.19698901,binance_source_age_high,basis_high
28,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.38809917,-0.19404959,0,133.5,0.44699214,2.23496072,-0.19404959,binance_source_age_mid,basis_high
29,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-5,-0.06173357,-0.03086679,0,42.5,0.47302266,2.36511329,-0.03086679,binance_source_age_mid,basis_mid
30,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-30,-0.31700209,-0.15850105,0,41.5,-0.67087171,-3.35435855,-0.15850105,binance_source_age_mid,basis_mid
31,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-45,-0.03770848,-0.01885424,0,46.5,-0.9947741,-9.94774097,-0.01885424,binance_source_age_mid,basis_mid
32,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,-20,-0.00678504,-0.00339252,0,71.5,-0.99212796,-24.8031991,-0.00339252,binance_source_age_low,basis_high
33,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.07090311,-0.03545156,0,91.5,-0.9589371,-4.79468549,-0.03545156,binance_source_age_mid,basis_high
34,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.05197568,-0.02598784,0,91.5,-0.94811321,-4.74056605,-0.02598784,binance_source_age_high,basis_high
35,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,0.05038824,0.02519412,0,91.5,-0.94811321,-4.74056605,0.02519412,binance_source_age_mid,basis_high
36,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,10,0.39779441,0.1988972,0,170.5,-0.91145138,-4.55725688,0.1988972,binance_source_age_mid,basis_high
37,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,10,0.63005383,0.31502692,0,170.5,0.97522224,4.8761112,0.31502692,binance_source_age_mid,basis_high
38,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,0.59936832,0.29968416,0,160.5,0.99996608,4.99983041,0.29968416,binance_source_age_mid,basis_high
39,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,0.27824564,0.13912282,0,171.5,0.99996608,4.99983041,0.13912282,binance_source_age_low,basis_high
40,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,50,0.36415262,0.18207631,0,171.5,0.99994087,4.99970435,0.18207631,binance_source_age_high,basis_high
41,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,50,-0.66732163,-0.33366082,0,194.5,0.99994856,4.99974279,-0.33366082,binance_source_age_high,basis_high
42,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.67709896,-0.33854948,0,144.5,0.99934232,4.99671159,-0.33854948,binance_source_age_high,basis_high
43,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,50,0.9411504,0.4705752,0,184.5,0.99306075,4.96530374,0.4705752,binance_source_age_high,basis_high
44,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,125,0.31159626,0.15579813,0,229.5,0.99992235,4.99961176,0.15579813,binance_source_age_high,basis_high
45,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,90,0.00971867,0.00485934,0,179.5,0.99986512,4.99932559,0.00485934,binance_source_age_mid,basis_high
46,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,15,-0.93486766,-0.46743383,0,104.5,0.40061712,8.01234238,-0.46743383,binance_source_age_low,basis_high
47,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.52571728,-0.26285864,0,74.5,-0.01992808,-0.09964042,-0.26285864,binance_source_age_high,basis_high
48,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,0.06203649,0.03101825,0,95.5,-0.96995268,-4.84976342,0.03101825,binance_source_age_low,basis_high
49,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,0.58753541,0.29376771,0,95.5,-0.96995268,-4.84976342,0.29376771,binance_source_age_high,basis_high
50,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,40,0.11805744,0.05902872,0,173.5,0.07373704,0.36868519,0.05902872,binance_source_age_low,basis_high
51,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,70,0.13820987,0.06910494,0,173.5,0.99988934,4.99944671,0.06910494,binance_source_age_low,basis_high
52,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,30,0.12071481,0.0603574,0,133.5,0.96234635,4.81173175,0.0603574,binance_source_age_high,basis_high
53,xemm_0627_t001_hlfast_utc16_a,high_activity_liquidity,0,-0.03190695,-0.01595347,0,103.5,0.86500608,4.32503038,-0.01595347,binance_source_age_mid,basis_high
