split,basis_bucket,hyperliquid_top5_imbalance_bucket,row_count,scored_row_count,nonzero_direction_row_count,direction_hit_count,direction_hit_rate,mean_signal_score,mean_future_mid_move_ticks,mean_signed_future_mid_move_ticks,mean_touch_markout_ticks,effective_future_age_ms_p50,effective_future_age_ms_p90,binance_source_age_ms_p99,hyperliquid_join_age_ms_p99
evaluation,basis_mid_ticks_high,hyperliquid_top5_imbalance_high,182,182,182,121,0.66483516,0.30718956,190.43956044,100.16483516,107.60989011,5000,5500,36.49135842,987.83830503
evaluation,basis_mid_ticks_high,hyperliquid_top5_imbalance_low,28,28,26,18,0.69230769,0.28820428,88.57142857,40.71428571,54.64285714,5000,5500,26.07320414,984.12839153
evaluation,basis_mid_ticks_high,hyperliquid_top5_imbalance_mid,73,73,69,41,0.5942029,0.29764941,191.71232877,95,101.23287671,5000,5500,26.09677616,985.92146332
evaluation,basis_mid_ticks_low,hyperliquid_top5_imbalance_high,90,90,88,55,0.625,-0.34188538,-91.55555556,78.66666667,84.11111111,5000,5500,27.92814282,996.35828033
evaluation,basis_mid_ticks_low,hyperliquid_top5_imbalance_low,312,312,290,177,0.61034483,-0.04465555,-115.16025641,34.35897436,41.23397436,5000,5500,27.86950951,997.21033897
evaluation,basis_mid_ticks_low,hyperliquid_top5_imbalance_mid,159,159,144,89,0.61805556,-0.14302169,-80.59748428,74.05660377,80.8490566,5000,5500,26.99772912,979.48751942
evaluation,basis_mid_ticks_mid,hyperliquid_top5_imbalance_high,194,194,182,96,0.52747253,-0.08031288,38.40206186,10.36082474,16.15979381,5000,5500,26.43533289,990.35939727
evaluation,basis_mid_ticks_mid,hyperliquid_top5_imbalance_low,110,110,102,58,0.56862745,0.20208499,18.45454545,25.36363636,31.5,5000,5500,26.05719834,978.58158302
evaluation,basis_mid_ticks_mid,hyperliquid_top5_imbalance_mid,183,183,165,95,0.57575758,0.00884389,11.74863388,19.3442623,25.0273224,5000,5500,28.08359592,985.5820757
train,basis_mid_ticks_high,hyperliquid_top5_imbalance_high,154,154,152,90,0.59210526,0.01537881,94.18831169,47.82467532,56.3961039,5000,5500,27.7804362,979.26433947
train,basis_mid_ticks_high,hyperliquid_top5_imbalance_low,70,70,68,39,0.57352941,0.19743784,69.85714286,36.57142857,43.14285714,5000,5500,26.45895667,990.90729739
train,basis_mid_ticks_high,hyperliquid_top5_imbalance_mid,158,158,157,104,0.66242038,0.14985461,89.20886076,94.77848101,102.87974684,5000,5500,28.63392442,999.08688586
train,basis_mid_ticks_low,hyperliquid_top5_imbalance_high,7,7,7,5,0.71428571,-0.42398166,-152.14285714,146.42857143,151.42857143,5000,5200,23.66643114,853.48912366
train,basis_mid_ticks_low,hyperliquid_top5_imbalance_low,69,69,69,38,0.55072464,-0.14438816,-316.8115942,-1.88405797,6.01449275,5000,5500,25.7822428,968.59501572
train,basis_mid_ticks_low,hyperliquid_top5_imbalance_mid,30,30,30,17,0.56666667,-0.34063368,-143.16666667,19.16666667,31.5,5000,5500,25.7801741,985.55754168
train,basis_mid_ticks_mid,hyperliquid_top5_imbalance_high,39,39,39,24,0.61538462,-0.22855105,-79.74358974,24.61538462,31.92307692,5000,5500,27.11414352,992.04039574
train,basis_mid_ticks_mid,hyperliquid_top5_imbalance_low,79,79,79,44,0.55696203,-0.04889468,-113.16455696,1.39240506,11.07594937,5000,5500,25.84513616,991.51519538
train,basis_mid_ticks_mid,hyperliquid_top5_imbalance_mid,62,62,59,35,0.59322034,-0.06355125,-32.25806452,15.48387097,22.09677419,5000,5500,27.82810864,992.33227061
