fold_id,heldout_sample_id,bucket_type,bucket,candidate_id,active_rows,coverage_rate,mean_signed_label_ticks,direction_hit_rate_nonzero,adjusted_edge_proxy_ticks
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,source_age_bucket,binance_source_age_high,binance_lead_composite,139,0.1281106,16.07913669,0.81333333,14.57913669
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,source_age_bucket,binance_source_age_low,binance_lead_composite,183,0.14033742,18.41530055,0.73493976,16.91530055
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,source_age_bucket,binance_source_age_mid,binance_lead_composite,111,0.09265442,8.10810811,0.73684211,6.60810811
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,basis_bucket,basis_high,binance_lead_composite,321,0.12149886,9.2211838,0.69827586,7.7211838
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,basis_bucket,basis_low,binance_lead_composite,48,0.13793103,51.14583333,0.84782609,49.64583333
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,basis_bucket,basis_mid,binance_lead_composite,64,0.10720268,17.03125,0.88235294,15.53125
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,observed_regime,high_activity_liquidity,binance_lead_composite,433,0.12071369,15.02309469,0.76530612,13.52309469
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,source_age_bucket,binance_source_age_high,binance_lead_composite,92,0.08170515,4.89130435,0.9375,3.39130435
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,source_age_bucket,binance_source_age_low,binance_lead_composite,103,0.08512397,4.51456311,0.8125,3.01456311
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,source_age_bucket,binance_source_age_mid,binance_lead_composite,89,0.07229894,0.56179775,0.86666667,-0.93820225
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,basis_bucket,basis_high,binance_lead_composite,73,0.14285714,2.19178082,0.82352941,0.69178082
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,basis_bucket,basis_low,binance_lead_composite,141,0.08407871,4.68085106,0.94444444,3.18085106
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,basis_bucket,basis_mid,binance_lead_composite,70,0.05076142,2.07142857,0.83333333,0.57142857
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,observed_regime,normal_activity_liquidity,binance_lead_composite,284,0.07961873,3.39788732,0.87234043,1.89788732
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,source_age_bucket,binance_source_age_high,binance_lead_composite,143,0.10530191,6.22377622,1,4.72377622
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,source_age_bucket,binance_source_age_low,binance_lead_composite,132,0.12511848,5.22727273,0.94444444,3.72727273
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,source_age_bucket,binance_source_age_mid,binance_lead_composite,128,0.11257696,5.0390625,0.94444444,3.5390625
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,basis_bucket,basis_high,binance_lead_composite,43,0.09817352,22.09302326,1,20.59302326
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,basis_bucket,basis_low,binance_lead_composite,196,0.12436548,5,0.96296296,3.5
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,basis_bucket,basis_mid,binance_lead_composite,164,0.10677083,1.79878049,0.9,0.29878049
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,observed_regime,low_activity_liquidity,binance_lead_composite,403,0.11352113,5.52109181,0.96428571,4.02109181
