attempt,event_sequence,phase,symbol,signal_symbol,side,fair_mid_px,quote_px,edge_ticks,signal_age_ms,signal_ts_ms,max_signal_age_ms,horizon_ms,required_horizon_ms,fee_buffer_ticks,adverse_selection_buffer_ticks,required_edge_ticks,edge_gate_status,edge_gate_reason,source,inference_scope
1,990,pre_submit_edge_gate,BTC,,buy,,62751.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,1094,pre_submit_edge_gate,BTC,BTC,buy,62746.100000000006,62746.0,0.1,55,1784010986303,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
1,1112,pre_submit_edge_gate,BTC,,buy,,62739.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,1272,pre_submit_edge_gate,BTC,BTC,buy,62707.899999999994,62722.0,-14.1,30,1784011058106,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
1,1280,pre_submit_edge_gate,BTC,,buy,,62720.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,1289,pre_submit_edge_gate,BTC,BTC,buy,62698.8,62712.0,-13.2,22,1784011064566,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
1,1291,pre_submit_edge_gate,BTC,,buy,,62706.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,1305,pre_submit_edge_gate,BTC,BTC,buy,62698.3,62700.0,-1.7,98,1784011071112,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
1,1548,pre_submit_edge_gate,BTC,,buy,,62678.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,1550,pre_submit_edge_gate,BTC,,buy,,62672.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,1560,pre_submit_edge_gate,BTC,,buy,,62669.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,1607,pre_submit_edge_gate,BTC,,buy,,62659.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,1707,pre_submit_edge_gate,BTC,BTC,buy,62618.40000000001,62641.0,-22.6,167,1784011201349,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
1,1710,pre_submit_edge_gate,BTC,,buy,,62639.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,1757,pre_submit_edge_gate,BTC,BTC,buy,62595.5,62616.0,-20.5,53,1784011214320,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
1,2676,pre_submit_edge_gate,BTC,,buy,,62674.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,2677,pre_submit_edge_gate,BTC,BTC,buy,62673.5,62673.0,0.5,64,1784011532837,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
1,3157,pre_submit_edge_gate,BTC,,buy,,62656.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,3982,pre_submit_edge_gate,BTC,,buy,,62649.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,4985,pre_submit_edge_gate,BTC,,buy,,62610.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,4991,pre_submit_edge_gate,BTC,,buy,,62605.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,4993,pre_submit_edge_gate,BTC,BTC,buy,62602.5,62602.0,0.5,151,1784012404254,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
