attempt,phase,event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,start_unix_seconds,end_unix_seconds,elapsed_seconds,current_bid,current_ask,candidate_age_seconds_at_phase_end,public_state_seq,l2_state_seq,state_observed_after_open_orders_end
1,trigger_to_open_orders_start,494,trades,1784010766070,1784010766290819506,1784010766.2908196,1784010766.2915876,0.000768,,,0.221588,494,493,
1,open_orders_elapsed,494,trades,1784010766070,1784010766290819506,1784010766.2915876,1784010766.5984533,0.306866,62704.0,62705.0,0.528453,494,493,
1,open_orders_end_to_public_state,494,trades,1784010766070,1784010766290819506,1784010766.5984533,1784010766.5986927,0.000239,62700.0,62701.0,0.528693,495,495,True
1,open_orders_end_to_reprice,494,trades,1784010766070,1784010766290819506,1784010766.5984533,1784010766.5987482,0.000295,62700.0,62701.0,0.528748,495,495,True
1,trigger_to_open_orders_start,990,trades,1784010953293,1784010953507216945,1784010953.507217,1784010953.5079367,0.00072,,,0.214937,991,990,
1,open_orders_elapsed,990,trades,1784010953293,1784010953507216945,1784010953.5079367,1784010953.5709188,0.062982,62753.0,62754.0,0.277919,991,990,
1,open_orders_end_to_public_state,990,trades,1784010953293,1784010953507216945,1784010953.5709188,1784010953.93123,0.360311,62751.0,62752.0,0.63823,992,992,True
1,open_orders_end_to_reprice,990,trades,1784010953293,1784010953507216945,1784010953.5709188,1784010953.9313488,0.36043,62751.0,62752.0,0.638349,992,992,True
1,trigger_to_open_orders_start,1094,trades,1784010985828,1784010986032998969,1784010986.0329988,1784010986.0337296,0.000731,,,0.205729,1096,1094,
1,open_orders_elapsed,1094,trades,1784010985828,1784010986032998969,1784010986.0337296,1784010986.050572,0.016842,62753.0,62754.0,0.222572,1096,1094,
1,open_orders_end_to_public_state,1094,trades,1784010985828,1784010986032998969,1784010986.050572,1784010986.34686,0.296288,62746.0,62747.0,0.51886,1097,1097,True
1,open_orders_end_to_reprice,1094,trades,1784010985828,1784010986032998969,1784010986.050572,1784010986.347007,0.296435,62746.0,62747.0,0.519007,1097,1097,True
1,trigger_to_open_orders_start,1112,trades,1784010990576,1784010990853393438,1784010990.8533933,1784010990.8538587,0.000465,,,0.277859,1115,1113,
1,open_orders_elapsed,1112,trades,1784010990576,1784010990853393438,1784010990.8538587,1784010990.8835726,0.029714,62746.0,62747.0,0.307573,1115,1113,
1,open_orders_end_to_public_state,1112,trades,1784010990576,1784010990853393438,1784010990.8835726,1784010991.2391672,0.355595,62739.0,62740.0,0.663167,1119,1119,True
1,open_orders_end_to_reprice,1112,trades,1784010990576,1784010990853393438,1784010990.8835726,1784010991.2393186,0.355746,62739.0,62740.0,0.663319,1119,1119,True
1,trigger_to_open_orders_start,1272,trades,1784011057435,1784011057975275520,1784011057.9752755,1784011057.9759433,0.000668,,,0.540943,1279,1278,
1,open_orders_elapsed,1272,trades,1784011057435,1784011057975275520,1784011057.9759433,1784011057.991576,0.015633,62728.0,62729.0,0.556576,1279,1278,
1,open_orders_end_to_public_state,1272,trades,1784011057435,1784011057975275520,1784011057.991576,1784011058.1247082,0.133132,62722.0,62723.0,0.689708,1280,1280,True
1,open_orders_end_to_reprice,1272,trades,1784011057435,1784011057975275520,1784011057.991576,1784011058.124822,0.133246,62722.0,62723.0,0.689822,1280,1280,True
1,trigger_to_open_orders_start,1280,trades,1784011060791,1784011061008280852,1784011061.0082808,1784011061.0089488,0.000668,,,0.217949,1288,1286,
1,open_orders_elapsed,1280,trades,1784011060791,1784011061008280852,1784011061.0089488,1784011061.0311387,0.02219,62722.0,62723.0,0.240139,1288,1286,
1,open_orders_end_to_public_state,1280,trades,1784011060791,1784011061008280852,1784011061.0311387,1784011061.3215435,0.290405,62720.0,62721.0,0.530544,1289,1289,True
1,open_orders_end_to_reprice,1280,trades,1784011060791,1784011061008280852,1784011061.0311387,1784011061.3216698,0.290531,62720.0,62721.0,0.53067,1289,1289,True
1,trigger_to_open_orders_start,1289,trades,1784011064147,1784011064332086068,1784011064.332086,1784011064.3327696,0.000684,,,0.18577,1298,1295,
1,open_orders_elapsed,1289,trades,1784011064147,1784011064332086068,1784011064.3327696,1784011064.3485317,0.015762,62720.0,62721.0,0.201532,1298,1295,
1,open_orders_end_to_public_state,1289,trades,1784011064147,1784011064332086068,1784011064.3485317,1784011064.5781977,0.229666,62712.0,62713.0,0.431198,1300,1300,True
1,open_orders_end_to_reprice,1289,trades,1784011064147,1784011064332086068,1784011064.3485317,1784011064.5783126,0.229781,62712.0,62713.0,0.431313,1300,1300,True
1,trigger_to_open_orders_start,1291,trades,1784011064616,1784011064838754692,1784011064.838755,1784011064.839482,0.000727,,,0.223482,1302,1300,
1,open_orders_elapsed,1291,trades,1784011064616,1784011064838754692,1784011064.839482,1784011064.9419906,0.102509,62712.0,62713.0,0.325991,1302,1300,
1,open_orders_end_to_public_state,1291,trades,1784011064616,1784011064838754692,1784011064.9419906,1784011065.121394,0.179403,62706.0,62707.0,0.505394,1303,1303,True
1,open_orders_end_to_reprice,1291,trades,1784011064616,1784011064838754692,1784011064.9419906,1784011065.1215208,0.17953,62706.0,62707.0,0.505521,1303,1303,True
1,trigger_to_open_orders_start,1305,trades,1784011070498,1784011070702271854,1784011070.7022717,1784011070.7029912,0.00072,,,0.204991,1317,1316,
1,open_orders_elapsed,1305,trades,1784011070498,1784011070702271854,1784011070.7029912,1784011070.7181804,0.015189,62701.0,62702.0,0.220181,1317,1316,
1,open_orders_end_to_public_state,1305,trades,1784011070498,1784011070702271854,1784011070.7181804,1784011071.1962142,0.478034,62700.0,62701.0,0.698214,1318,1318,True
1,open_orders_end_to_reprice,1305,trades,1784011070498,1784011070702271854,1784011070.7181804,1784011071.1963553,0.478175,62700.0,62701.0,0.698355,1318,1318,True
1,trigger_to_open_orders_start,1322,trades,1784011078967,1784011079164219302,1784011079.1642194,1784011079.1649146,0.000695,,,0.197915,1335,1334,
1,open_orders_elapsed,1322,trades,1784011078967,1784011079164219302,1784011079.1649146,1784011079.1841516,0.019237,62700.0,62701.0,0.217152,1335,1334,
1,open_orders_end_to_public_state,1322,trades,1784011078967,1784011079164219302,1784011079.1841516,1784011079.4053514,0.2212,62698.0,62699.0,0.438351,1336,1336,True
1,open_orders_end_to_reprice,1322,trades,1784011078967,1784011079164219302,1784011079.1841516,1784011079.4054286,0.221277,62698.0,62699.0,0.438429,1336,1336,True
1,trigger_to_open_orders_start,1428,trades,1784011121561,1784011121810563888,1784011121.8105638,1784011121.8112743,0.00071,,,0.250274,1442,1441,
1,open_orders_elapsed,1428,trades,1784011121561,1784011121810563888,1784011121.8112743,1784011121.8264952,0.015221,62700.0,62701.0,0.265495,1442,1441,
1,open_orders_end_to_public_state,1428,trades,1784011121561,1784011121810563888,1784011121.8264952,1784011121.9048364,0.078341,62692.0,62693.0,0.343836,1443,1443,True
1,open_orders_end_to_reprice,1428,trades,1784011121561,1784011121810563888,1784011121.8264952,1784011121.9049146,0.078419,62692.0,62693.0,0.343915,1443,1443,True
1,trigger_to_open_orders_start,1477,trades,1784011136057,1784011136296498024,1784011136.2964978,1784011136.29723,0.000732,,,0.24023,1492,1490,
1,open_orders_elapsed,1477,trades,1784011136057,1784011136296498024,1784011136.29723,1784011136.312597,0.015367,62692.0,62693.0,0.255597,1492,1490,
1,open_orders_end_to_public_state,1477,trades,1784011136057,1784011136296498024,1784011136.312597,1784011136.4764464,0.163849,62680.0,62681.0,0.419446,1493,1493,True
1,open_orders_end_to_reprice,1477,trades,1784011136057,1784011136296498024,1784011136.312597,1784011136.4765475,0.16395,62680.0,62681.0,0.419548,1493,1493,True
1,trigger_to_open_orders_start,1548,trades,1784011151101,1784011151292303375,1784011151.2923033,1784011151.2927625,0.000459,,,0.191762,1564,1562,
1,open_orders_elapsed,1548,trades,1784011151101,1784011151292303375,1784011151.2927625,1784011151.309083,0.01632,62680.0,62681.0,0.208083,1564,1562,
1,open_orders_end_to_public_state,1548,trades,1784011151101,1784011151292303375,1784011151.309083,1784011151.6002507,0.291168,62678.0,62679.0,0.499251,1565,1565,True
