attempt,event_sequence,phase,source_status,source_reason,symbol,target_symbol,horizon_ms,signal_ts_ms,source_age_ms,hl_mid_px,binance_mid_px,basis_mid_ticks,lead_move_ticks,fair_mid_px,hl_public_state_seq,hl_l2_state_seq,binance_state_seq,binance_source,inference_scope
1,990,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784010953391,558,,,,,,992,992,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1094,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784010986303,55,62746.5,62730.05,-16.45,-0.39999999999417923,62746.100000000006,1097,1097,2,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1112,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784010990507,745,,,,,,1119,1119,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1272,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784011058106,30,62722.5,62700.649999999994,-21.85,-14.60000000000582,62707.899999999994,1280,1280,4,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1280,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784011060483,849,,,,,,1289,1289,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1289,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784011064566,22,62712.5,62682.25,-30.25,-13.69999999999709,62698.8,1300,1300,6,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1291,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784011064055,1076,,,,,,1303,1303,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1305,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784011071112,98,62700.5,62680.05,-20.45,-2.1999999999970896,62698.3,1318,1318,8,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1548,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784011150672,939,,,,,,1565,1565,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1550,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784011151866,255,,,,,,1569,1569,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1560,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784011153989,839,,,,,,1581,1581,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1607,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784011166143,482,,,,,,1631,1631,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1707,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784011201349,167,62641.5,62621.05,-20.45,-23.09999999999127,62618.40000000001,1734,1734,13,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1710,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784011202240,308,,,,,,1740,1740,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,1757,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784011214320,53,62616.5,62600.05,-16.45,-21.0,62595.5,1792,1792,15,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,2676,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784011531494,875,,,,,,2713,2713,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,2677,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784011532837,64,62673.5,62656.05,-17.45,0.0,62673.5,2715,2715,17,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,3157,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784011719110,920,,,,,,3197,3197,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,3982,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784012032742,727,,,,,,4023,4023,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,4985,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784012402334,495,,,,,,5029,5029,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,4991,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1784012402609,673,,,,,,5036,5036,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,4993,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1784012404254,151,62602.5,62589.55,-12.95,0.0,62602.5,5039,5039,22,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
