attempt,status,reason,handoff_phase,candidate_source_exchange_time_ms,candidate_age_seconds,max_age_seconds,trigger_candidate_source_exchange_time_ms,trigger_candidate_age_seconds,trigger_candidate_side,trigger_candidate_quote_px,trigger_candidate_size_btc,trigger_candidate_quality_bucket,trigger_candidate_freshness_status,trigger_candidate_skip_reason,current_reprice_allowed,current_reprice_skip_reason,current_reprice_candidate_source_exchange_time_ms,current_reprice_candidate_age_seconds,selected_side,selected_quote_px,current_bid,current_ask,selected_size_btc,max_order_size_btc,quality_bucket,current_same_side_top_qty_btc,current_same_side_top_order_count,current_top_depth_multiple_of_order,post_only_tif,post_only_non_crossing,current_touch_match,source
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784010766070,0.528,1.0,1784010766070,0.528,buy,62704,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784010766070,0.528,,,62700.0,62701.0,,0.005,,0.77466,2,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784010953293,0.638,1.0,1784010953293,0.638,buy,62753,0.005,quality_a,pass,,True,,1784010953293,0.638,buy,62751.0,62751.0,62752.0,0.005,0.005,quality_a,0.0022,1,0.44,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784010985828,0.519,1.0,1784010985828,0.519,buy,62753,0.005,quality_a,pass,,True,,1784010985828,0.519,buy,62746.0,62746.0,62747.0,0.005,0.005,quality_a,0.00797,1,1.594,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784010990576,0.663,1.0,1784010990576,0.663,buy,62746,0.005,quality_a,pass,,True,,1784010990576,0.663,buy,62739.0,62739.0,62740.0,0.005,0.005,quality_a,0.00694,1,1.388,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784011057435,0.689,1.0,1784011057435,0.689,buy,62728,0.00087,quality_a,pass,,True,,1784011057435,0.689,buy,62722.0,62722.0,62723.0,0.00087,0.005,quality_a,0.01017,2,11.68965517,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784011060791,0.53,1.0,1784011060791,0.53,buy,62722,0.00128,quality_a,pass,,True,,1784011060791,0.53,buy,62720.0,62720.0,62721.0,0.00128,0.005,quality_a,0.00032,1,0.25,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784011064147,0.431,1.0,1784011064147,0.431,buy,62720,0.00207,quality_a,pass,,True,,1784011064147,0.431,buy,62712.0,62712.0,62713.0,0.00207,0.005,quality_a,0.0008,1,0.38647343,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784011064616,0.505,1.0,1784011064616,0.505,buy,62712,0.00039,quality_a,pass,,True,,1784011064616,0.505,buy,62706.0,62706.0,62707.0,0.00039,0.005,quality_a,0.00017,1,0.43589744,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784011070498,0.698,1.0,1784011070498,0.698,buy,62701,0.005,quality_a,pass,,True,,1784011070498,0.698,buy,62700.0,62700.0,62701.0,0.005,0.005,quality_a,0.00104,1,0.208,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784011078967,0.438,1.0,1784011078967,0.438,buy,62700,0.00049,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784011078967,0.438,,,62698.0,62699.0,,0.005,,0.16656,2,,Alo,False,False,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784011121561,0.343,1.0,1784011121561,0.343,buy,62700,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784011121561,0.343,,,62692.0,62693.0,,0.005,,0.96819,4,,Alo,False,False,inline_reprice_current_candidate_guard
