attempt,event_sequence,phase,source_event_exchange_time_ms,side,limit_px,flow_lookback_ms,trade_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,fill_support_touch_count,adverse_strict_through_count,neutral_or_opposite_flow_count,adverse_flow_ratio,min_pressure_qty_btc,pressure_ratio_threshold,status,reason
1,37,pre_open_orders_public_gate,1784012493877,buy,62616.0,1000,0,0,0,0,0,0,False,0,0,0,0,,0.01,2.0,pass,
1,37,post_open_orders_pre_submit_gate,1784012493877,buy,62615.0,1000,0,0,0,0,0,0,False,0,0,0,0,,0.01,2.0,pass,
1,123,pre_open_orders_public_gate,1784012525940,buy,62617.0,1000,6,0.07874,0.00159,0.00159,0.00159,0.07874,True,0,2,4,0,49.522012578616355,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,124,pre_open_orders_public_gate,1784012526008,buy,62617.0,1000,8,0.08065,0.00159,0.00159,0.00159,0.08065,True,0,2,6,0,50.723270440251575,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,255,pre_open_orders_public_gate,1784012569095,buy,62587.0,1000,8,0.06373,0.03048,0.03048,0.03048,0.06373,True,0.00067,3,2,3,2.0908792650918637,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,279,pre_open_orders_public_gate,1784012576567,buy,62582.0,1000,2,0.16576,0.002,0.002,0.002,0.16576,False,0,1,1,0,82.88,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,637,pre_open_orders_public_gate,1784012710806,buy,62610.0,1000,8,0.52185,0.03573,0.03573,0.03573,0.52185,False,0.00069,3,4,1,14.605373635600335,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,637,post_open_orders_pre_submit_gate,1784012710806,buy,62601.0,1000,8,0,0,0,0,0,False,0.55827,0,0,8,,0.01,2.0,pass,
1,834,pre_open_orders_public_gate,1784012779218,buy,62619.0,1000,6,0.03215,0.01785,0.01785,0.01785,0.03215,False,0,3,3,0,1.8011204481792717,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,834,post_open_orders_pre_submit_gate,1784012779218,buy,62617.0,1000,6,0,0.0022,0.0022,0.0022,0,False,0.0478,1,0,5,,0.01,2.0,pass,
1,899,pre_open_orders_public_gate,1784012803783,buy,62600.0,1000,5,0.04202,0.00798,0.00798,0.00798,0.04202,False,0,1,4,0,5.265664160401003,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,899,post_open_orders_pre_submit_gate,1784012803783,buy,62593.0,1000,5,0,0.03982,0.03982,0.03982,0,False,0.01018,3,0,2,,0.01,2.0,pass,
1,940,pre_open_orders_public_gate,1784012820729,buy,62586.0,1000,6,0.00632,0.04406,0.04406,0.04406,0.00632,False,0,2,4,0,0.14344076259645938,0.01,2.0,pass,
1,940,post_open_orders_pre_submit_gate,1784012820729,buy,62583.0,1000,6,0,0.00333,0.00333,0.00333,0,False,0.04705,2,0,4,,0.01,2.0,pass,
1,1100,pre_open_orders_public_gate,1784012880584,buy,62594.0,1000,4,0.00613,0,0,0,0.00613,False,0,0,4,0,inf,0.01,2.0,pass,
1,1100,post_open_orders_pre_submit_gate,1784012880584,buy,62590.0,1000,4,0,0.00596,0.00596,0.00596,0,False,0.00017,3,0,1,,0.01,2.0,pass,
1,1354,pre_open_orders_public_gate,1784012976726,buy,62608.0,1000,5,0.00957,0.03034,0.03034,0.03034,0.00957,False,0.0002,2,2,1,0.31542518127883984,0.01,2.0,pass,
1,1354,post_open_orders_pre_submit_gate,1784012976726,buy,62605.0,1000,5,0,0.00878,0.00878,0.00878,0,False,0.03133,1,0,4,,0.01,2.0,pass,
1,1421,pre_open_orders_public_gate,1784013003080,buy,62589.0,1000,3,0.00167,0,0,0,0.00167,True,0.00167,0,2,1,inf,0.01,2.0,pass,
1,1421,post_open_orders_pre_submit_gate,1784013003080,buy,62586.0,1000,3,0,0.00088,0.00088,0.00088,0,True,0.00246,1,0,2,,0.01,2.0,pass,
1,1684,pre_open_orders_public_gate,1784013105872,buy,62564.0,1000,6,0.36453,0.00082,0.00082,0.00082,0.36453,True,0.00018,2,3,1,444.5487804878049,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,1916,pre_open_orders_public_gate,1784013197804,buy,62557.0,1000,3,0.01939,0.02377,0.02377,0.02377,0.01939,False,0,2,1,0,0.8157341186369373,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
