event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope
1,l2Book,1784012480023,1784012480704306716,0.681488,buy,62614,62614,62615,1,0.005,0.57108,4,114.216,0,0,0,0,0.57608,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,0.57108,,,4,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
2,trades,1784012480023,1784012480705522711,0.682651,buy,62614,62614,62615,1,0.005,0.57108,4,114.216,18,0.3069,0,0.3069,0.57608,0.5327385085404804888209970837,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,0.57108,,,4,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
3,l2Book,1784012480567,1784012480786357807,0.219532,buy,62614,62614,62615,1,0.005,0.57108,4,114.216,5,0.3069,0,0.3069,0.57608,0.5327385085404804888209970837,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,2,544,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,544,1784012480023,0.57108,0.57108,0,4,4,0,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
4,l2Book,1784012481100,1784012481336806618,0.236966,buy,62614,62614,62615,1,0.005,0.57108,4,114.216,5,0.3069,0,0.3069,0.57608,0.5327385085404804888209970837,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,3,1077,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1077,1784012480023,0.57108,0.57108,0,4,4,0,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
5,l2Book,1784012481639,1784012481874657743,0.235798,buy,62611,62611,62612,1,0.005,1.16159,25,232.318,4,0,0,0,1.16659,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,4,1616,0,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,0,1784012481639,,1.16159,,,25,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
6,l2Book,1784012482236,1784012482483066885,0.247249,buy,62611,62611,62612,1,0.005,1.29951,25,259.902,4,0,0,0,1.30451,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,5,2213,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,597,1784012481639,1.16159,1.29951,0.13792,25,25,0,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
7,l2Book,1784012482847,1784012483066935887,0.22008,buy,62611,62611,62612,1,0.005,1.29932,25,259.864,3,0,0,0,1.30432,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,6,2824,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1208,1784012481639,1.29951,1.29932,-0.00019,25,25,0,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
8,trades,1784012482847,1784012483067308391,0.220366,buy,62611,62611,62612,1,0.005,1.29932,25,259.864,4,0.00019,0,0.00019,1.30432,0.0001456697742885181550539744848,touched_quote_without_depletion,,4e-05,False,missing_same_side_strict_through_support,6,2824,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1208,1784012481639,1.29951,1.29932,-0.00019,25,25,0,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
9,l2Book,1784012483401,1784012483622607251,0.221752,buy,62611,62611,62612,1,0.005,1.29932,25,259.864,1,0.00019,0,0.00019,1.30432,0.0001456697742885181550539744848,touched_quote_without_depletion,,4e-05,False,missing_same_side_strict_through_support,7,3378,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,1762,1784012481639,1.29951,1.29932,-0.00019,25,25,0,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
10,l2Book,1784012483905,1784012484134176740,0.229342,buy,62611,62611,62612,1,0.005,1.29932,25,259.864,1,0.00019,0,0.00019,1.30432,0.0001456697742885181550539744848,touched_quote_without_depletion,,4e-05,False,missing_same_side_strict_through_support,8,3882,0,5,same_touch_stable_enough,real_bbo_history_touch_stability,2266,1784012481639,1.29951,1.29932,-0.00019,25,25,0,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
