attempt,event_sequence,phase,open_orders_end_unix_seconds,open_orders_end_ns,pre_open_orders_public_state_seq,pre_open_orders_l2_state_seq,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_l2_local_receive_ts_ns,post_open_orders_public_state_channel,post_open_orders_exchange_time_ms,state_observed_after_open_orders_end,wait_timeout_seconds,status,reason,current_bid,current_ask,inference_scope
1,37,post_open_orders_l2_resync,1784012494.4510124,1784012494451012352,37,37,39,39,1784012494663084518,l2Book,1784012494434,True,0.76875,pass,,62615.0,62616.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,637,post_open_orders_l2_resync,1784012711.0429332,1784012711042933248,639,638,641,641,1784012711635585808,l2Book,1784012711265,True,0.7575,pass,,62601.0,62609.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,834,post_open_orders_l2_resync,1784012779.424321,1784012779424321024,838,837,839,839,1784012779508623600,l2Book,1784012779287,True,0.6925000000000001,pass,,62617.0,62618.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,899,post_open_orders_l2_resync,1784012804.013717,1784012804013716992,904,903,905,905,1784012804328568951,l2Book,1784012804053,True,0.75625,pass,,62593.0,62594.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,940,post_open_orders_l2_resync,1784012820.9420576,1784012820942057728,946,944,947,947,1784012821048206897,l2Book,1784012820797,True,0.7525,pass,,62583.0,62584.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1100,post_open_orders_l2_resync,1784012880.8517432,1784012880851743232,1107,1106,1108,1108,1784012880905240930,l2Book,1784012880699,True,0.70125,pass,,62590.0,62591.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1354,post_open_orders_l2_resync,1784012976.941816,1784012976941816064,1362,1360,1363,1363,1784012977003836797,l2Book,1784012976792,True,0.76,pass,,62605.0,62606.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1421,post_open_orders_l2_resync,1784013003.3294096,1784013003329409536,1430,1429,1431,1431,1784013003421455650,l2Book,1784013003156,True,0.6875,pass,,62586.0,62587.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1916,post_open_orders_l2_resync,1784013198.0269227,1784013198026922752,1926,1925,1927,1927,1784013198144920205,l2Book,1784013197930,True,0.785,pass,,62556.0,62557.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,1935,post_open_orders_l2_resync,1784013206.5398755,1784013206539875584,1946,1945,1947,1947,1784013206737961323,l2Book,1784013206508,True,0.6837500000000001,pass,,62546.0,62547.0,requires_l2Book_observed_after_private_open_orders_before_reprice
