event_sequence,source_channel,source_event_exchange_time_ms,current_bid,current_ask,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,opposite_trade_qty_btc,rolling_window_seconds
1,l2Book,1784012480023,62614,62615,0,0,0,0,0,3.0
2,trades,1784012480023,62614,62615,18,0.3069,0,0.3069,0.32375,3.0
3,l2Book,1784012480567,62614,62615,5,0.3069,0,0.3069,0.16909,3.0
4,l2Book,1784012481100,62614,62615,5,0.3069,0,0.3069,0.16909,3.0
5,l2Book,1784012481639,62611,62612,4,0,0,0,0.42599,3.0
6,l2Book,1784012482236,62611,62612,4,0,0,0,0.42599,3.0
7,l2Book,1784012482847,62611,62612,3,0,0,0,0.3069,3.0
8,trades,1784012482847,62611,62612,4,0.00019,0,0.00019,0.3069,3.0
9,l2Book,1784012483401,62611,62612,1,0.00019,0,0.00019,0,3.0
10,l2Book,1784012483905,62611,62612,1,0.00019,0,0.00019,0,3.0
11,l2Book,1784012484457,62611,62612,1,0.00019,0,0.00019,0,3.0
12,l2Book,1784012484992,62611,62612,1,0.00019,0,0.00019,0,3.0
13,trades,1784012485049,62611,62612,2,0.00019,0,0.00019,0.00159,3.0
14,l2Book,1784012485524,62611,62612,2,0.00019,0,0.00019,0.00159,3.0
15,trades,1784012486013,62611,62612,2,0,0,0,0.00256,3.0
16,l2Book,1784012486065,62611,62612,2,0,0,0,0.00256,3.0
17,trades,1784012486216,62611,62612,5,0.01133,0,0.01133,0.00256,3.0
18,l2Book,1784012486616,62611,62612,5,0.01133,0,0.01133,0.00256,3.0
19,trades,1784012487018,62611,62612,6,0.01133,0,0.01133,0.00274,3.0
20,l2Book,1784012487144,62611,62612,6,0.01133,0,0.01133,0.00274,3.0
21,l2Book,1784012487699,62611,62612,6,0.01133,0,0.01133,0.00274,3.0
22,trades,1784012488008,62611,62612,7,0.01133,0,0.01133,0.00377,3.0
23,l2Book,1784012488239,62615,62616,6,0,0.01133,0.01133,0.00218,3.0
24,trades,1784012488643,62615,62616,9,0.00752,0.01133,0.01885,0.05398,3.0
25,l2Book,1784012488840,62615,62616,9,0.00752,0.01133,0.01885,0.05398,3.0
26,l2Book,1784012489455,62615,62616,5,0.00752,0,0.00752,0.05301,3.0
27,trades,1784012489657,62615,62616,6,0.02599,0,0.02599,0.05301,3.0
28,l2Book,1784012489995,62615,62616,6,0.02599,0,0.02599,0.05301,3.0
29,l2Book,1784012490514,62615,62616,5,0.02599,0,0.02599,0.05283,3.0
30,l2Book,1784012491067,62615,62616,4,0.02599,0,0.02599,0.0518,3.0
31,l2Book,1784012491675,62615,62616,1,0.01847,0,0.01847,0,3.0
32,trades,1784012491877,62615,62616,3,0.01847,0,0.01847,0.00082,3.0
33,trades,1784012492068,62615,62616,5,0.01992,0,0.01992,0.00121,3.0
34,l2Book,1784012492283,62616,62617,5,0,0.01992,0.01992,0.00121,3.0
35,l2Book,1784012492809,62616,62617,4,0,0.00145,0.00145,0.00121,3.0
36,l2Book,1784012493353,62616,62617,4,0,0.00145,0.00145,0.00121,3.0
37,l2Book,1784012493877,62616,62617,4,0,0.00145,0.00145,0.00121,3.0
38,l2Book,1784012494944,62615,62616,3,0.00145,0,0.00145,0.0331,3.0
39,l2Book,1784012495499,62615,62616,1,0,0,0,0.03271,3.0
40,trades,1784012495566,62615,62616,2,0,0,0,0.03993,3.0
41,l2Book,1784012496100,62615,62616,2,0,0,0,0.03993,3.0
42,trades,1784012496033,62615,62616,3,0.00026,0,0.00026,0.03993,3.0
43,l2Book,1784012496587,62615,62616,3,0.00026,0,0.00026,0.03993,3.0
44,l2Book,1784012497123,62615,62616,2,0.00026,0,0.00026,0.00722,3.0
45,l2Book,1784012497662,62615,62616,2,0.00026,0,0.00026,0.00722,3.0
46,trades,1784012497997,62615,62616,7,0.05026,0,0.05026,0.00722,3.0
47,trades,1784012498054,62615,62616,10,0.05173,0,0.05173,0.00792,3.0
48,l2Book,1784012498197,62615,62616,10,0.05173,0,0.05173,0.00792,3.0
49,trades,1784012498408,62615,62616,11,0.05173,0,0.05173,0.0433,3.0
50,l2Book,1784012498735,62615,62616,10,0.05173,0,0.05173,0.03608,3.0
51,trades,1784012499074,62615,62616,10,0.05864,0,0.05864,0.03608,3.0
52,l2Book,1784012499277,62615,62616,10,0.05864,0,0.05864,0.03608,3.0
53,trades,1784012499480,62615,62616,11,0.05864,0,0.05864,0.04023,3.0
54,l2Book,1784012499798,62615,62616,11,0.05864,0,0.05864,0.04023,3.0
55,l2Book,1784012500344,62615,62616,11,0.05864,0,0.05864,0.04023,3.0
56,l2Book,1784012500867,62615,62616,11,0.05864,0,0.05864,0.04023,3.0
57,l2Book,1784012501410,62615,62616,2,0.00717,0,0.00717,0.00415,3.0
58,trades,1784012501693,62615,62616,4,0.05717,0,0.05717,0.00415,3.0
59,l2Book,1784012501951,62615,62616,4,0.05717,0,0.05717,0.00415,3.0
60,l2Book,1784012502496,62615,62616,2,0.05,0,0.05,0,3.0
61,l2Book,1784012503027,62615,62616,2,0.05,0,0.05,0,3.0
62,trades,1784012503433,62615,62616,3,0.05,0,0.05,0.15462,3.0
63,l2Book,1784012503562,62615,62616,3,0.05,0,0.05,0.15462,3.0
64,l2Book,1784012504105,62615,62616,3,0.05,0,0.05,0.15462,3.0
65,l2Book,1784012504642,62615,62616,3,0.05,0,0.05,0.15462,3.0
66,trades,1784012505045,62615,62616,2,0,0,0,0.1548,3.0
67,l2Book,1784012505169,62615,62616,2,0,0,0,0.1548,3.0
68,trades,1784012505520,62615,62616,3,0.00019,0,0.00019,0.1548,3.0
69,l2Book,1784012505722,62615,62616,3,0.00019,0,0.00019,0.1548,3.0
70,l2Book,1784012506241,62615,62616,3,0.00019,0,0.00019,0.1548,3.0
71,trades,1784012506526,62615,62616,6,0.05434,0,0.05434,0.00018,3.0
72,l2Book,1784012506779,62615,62616,6,0.05434,0,0.05434,0.00018,3.0
73,l2Book,1784012507329,62615,62616,6,0.05434,0,0.05434,0.00018,3.0
74,l2Book,1784012507872,62615,62616,6,0.05434,0,0.05434,0.00018,3.0
75,trades,1784012508071,62615,62616,6,0.08123,0,0.08123,0,3.0
76,l2Book,1784012508390,62615,62616,6,0.08123,0,0.08123,0,3.0
77,l2Book,1784012508950,62615,62616,5,0.08104,0,0.08104,0,3.0
78,trades,1784012508950,62615,62616,6,0.08104,0,0.08104,0.0032,3.0
79,l2Book,1784012509487,62615,62616,6,0.08104,0,0.08104,0.0032,3.0
80,l2Book,1784012510023,62615,62616,2,0.02689,0,0.02689,0.0032,3.0
81,l2Book,1784012510568,62615,62616,2,0.02689,0,0.02689,0.0032,3.0
82,l2Book,1784012511104,62615,62617,1,0,0,0,0.0032,3.0
83,trades,1784012511104,62615,62617,2,0,0,0,0.00342,3.0
84,l2Book,1784012511644,62617,62618,2,0,0,0,0.00342,3.0
85,l2Book,1784012512173,62617,62618,1,0,0,0,0.00022,3.0
86,l2Book,1784012512722,62617,62618,1,0,0,0,0.00022,3.0
87,l2Book,1784012513260,62618,62619,1,0,0,0,0.00022,3.0
88,trades,1784012513260,62618,62619,2,0,0,0,0.1228,3.0
89,trades,1784012513400,62618,62619,3,0.00039,0,0.00039,0.1228,3.0
90,l2Book,1784012513803,62619,62620,3,0,0.00039,0.00039,0.1228,3.0
91,trades,1784012514140,62619,62620,4,0,0.00039,0.00039,0.12291,3.0
92,l2Book,1784012514336,62619,62620,4,0,0.00039,0.00039,0.12291,3.0
93,l2Book,1784012514868,62619,62620,4,0,0.00039,0.00039,0.12291,3.0
94,l2Book,1784012515420,62619,62620,4,0,0.00039,0.00039,0.12291,3.0
95,l2Book,1784012515952,62619,62620,4,0,0.00039,0.00039,0.12291,3.0
96,l2Book,1784012516488,62619,62620,2,0,0,0,0.00033,3.0
97,l2Book,1784012517024,62619,62620,2,0,0,0,0.00033,3.0
98,trades,1784012517024,62619,62620,3,0,0,0,0.00051,3.0
99,l2Book,1784012517561,62619,62620,1,0,0,0,0.00018,3.0
100,trades,1784012518017,62619,62620,2,0,0,0,0.0012,3.0
101,l2Book,1784012518094,62619,62620,2,0,0,0,0.0012,3.0
102,trades,1784012518094,62619,62620,3,0.01785,0,0.01785,0.0012,3.0
103,l2Book,1784012518704,62619,62620,3,0.01785,0,0.01785,0.0012,3.0
104,l2Book,1784012519316,62619,62620,3,0.01785,0,0.01785,0.0012,3.0
105,l2Book,1784012519908,62619,62620,3,0.01785,0,0.01785,0.0012,3.0
106,trades,1784012519980,62619,62620,4,0.01884,0,0.01884,0.0012,3.0
107,l2Book,1784012520426,62619,62620,3,0.01884,0,0.01884,0.00102,3.0
108,l2Book,1784012520965,62619,62620,3,0.01884,0,0.01884,0.00102,3.0
109,trades,1784012521096,62619,62620,2,0.00752,0,0.00752,0,3.0
110,l2Book,1784012521505,62619,62620,2,0.00752,0,0.00752,0,3.0
111,l2Book,1784012522038,62619,62620,2,0.00752,0,0.00752,0,3.0
112,trades,1784012522038,62619,62620,4,0.00896,0,0.00896,0.00039,3.0
113,trades,1784012522507,62619,62620,5,0.00922,0,0.00922,0.00039,3.0
114,l2Book,1784012522574,62619,62620,5,0.00922,0,0.00922,0.00039,3.0
115,l2Book,1784012523110,62619,62620,4,0.00823,0,0.00823,0.00039,3.0
116,l2Book,1784012523655,62619,62620,4,0.00823,0,0.00823,0.00039,3.0
117,l2Book,1784012524193,62619,62620,3,0.0017,0,0.0017,0.00039,3.0
118,trades,1784012524328,62619,62620,5,0.0517,0,0.0517,0.00039,3.0
119,l2Book,1784012524735,62619,62620,5,0.0517,0,0.0517,0.00039,3.0
120,l2Book,1784012525264,62617,62618,3,0,0,0,0.05026,3.0
121,l2Book,1784012525809,62617,62618,2,0,0,0,0.05,3.0
122,trades,1784012525809,62617,62618,3,0.00048,0,0.00048,0.05,3.0
123,trades,1784012525940,62617,62618,8,0.00159,0.07874,0.08033,0.05,3.0
124,trades,1784012526008,62617,62618,10,0.00159,0.08065,0.08224,0.05,3.0
125,l2Book,1784012526347,62609,62610,10,0,0,0,0.13224,3.0
126,trades,1784012526678,62609,62610,11,0.03194,0,0.03194,0.13224,3.0
127,l2Book,1784012526950,62607,62608,11,0,0,0,0.16418,3.0
128,trades,1784012527223,62607,62608,12,0,0,0,0.16989,3.0
129,l2Book,1784012527417,62607,62608,10,0,0,0,0.11989,3.0
130,trades,1784012527484,62607,62608,11,0.01252,0,0.01252,0.11989,3.0
131,trades,1784012527815,62607,62608,12,0.01252,0,0.01252,0.12563,3.0
132,l2Book,1784012527943,62607,62608,12,0.01252,0,0.01252,0.12563,3.0
133,trades,1784012528019,62607,62608,15,0.01399,0,0.01399,0.12632,3.0
134,l2Book,1784012528487,62607,62608,15,0.01399,0,0.01399,0.12632,3.0
135,trades,1784012528621,62607,62608,18,0.06399,0,0.06399,0.12632,3.0
136,trades,1784012528822,62607,62608,20,0.09513,0,0.09513,0.12743,3.0
137,l2Book,1784012529023,62606,62608,13,0,0,0,0.1408,3.0
138,trades,1784012529023,62606,62608,14,0,0,0,0.17063,3.0
139,l2Book,1784012529559,62605,62606,14,0,0,0,0.17063,3.0
140,trades,1784012529692,62605,62606,14,0,0,0,0.13907,3.0
141,l2Book,1784012530081,62605,62606,14,0,0,0,0.13907,3.0
142,trades,1784012530429,62605,62606,14,0,0,0,0.1351,3.0
143,l2Book,1784012530630,62605,62606,13,0,0,0,0.12258,3.0
144,l2Book,1784012531147,62605,62606,9,0,0,0,0.11468,3.0
145,trades,1784012531433,62605,62606,11,0.00174,0,0.00174,0.11468,3.0
146,l2Book,1784012531702,62604,62605,8,0,0,0,0.06642,3.0
147,l2Book,1784012532238,62603,62604,4,0,0,0,0.00386,3.0
148,l2Book,1784012532765,62602,62603,3,0,0,0,0.00348,3.0
149,trades,1784012533254,62602,62603,4,0.0014,0,0.0014,0.00348,3.0
150,l2Book,1784012533322,62602,62603,4,0.0014,0,0.0014,0.00348,3.0
151,trades,1784012533322,62602,62603,7,0.05359,0,0.05359,0.00348,3.0
152,l2Book,1784012533848,62602,62603,6,0.05359,0,0.05359,0.00174,3.0
153,l2Book,1784012534388,62602,62603,6,0.05359,0,0.05359,0.00174,3.0
154,l2Book,1784012534996,62602,62603,4,0.05359,0,0.05359,0,3.0
155,trades,1784012535064,62602,62603,5,0.05359,0,0.05359,0.00018,3.0
156,trades,1784012535197,62602,62603,6,0.08553,0,0.08553,0.00018,3.0
157,l2Book,1784012535545,62602,62603,6,0.08553,0,0.08553,0.00018,3.0
158,l2Book,1784012536083,62602,62603,6,0.08553,0,0.08553,0.00018,3.0
159,l2Book,1784012536617,62602,62603,2,0.03194,0,0.03194,0.00018,3.0
