attempt,event_sequence,phase,source_channel,source_event_exchange_time_ms,side,limit_px,current_bid,current_ask,status,reason,touch_stability_ms,min_stable_ms,bbo_lookback_ms,recent_bbo_count,last_adverse_bbo_ms,elapsed_since_adverse_bbo_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,adverse_flow_ratio,adverse_flow_status,current_cross_risk,inference_scope
1,90,pre_open_orders_public_gate,trades,1784017224375,buy,62578.0,62578.0,62579.0,pass,,676,250,750,2,,,0,0,2,0,0.00728,0.01303,0.01303,0.01303,0.00728,False,0,0.5587106676899463,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,90,post_open_orders_pre_submit_gate,trades,1784017224375,buy,62575.0,62575.0,62576.0,pass,,676,250,750,2,,,0,0,2,0,0,0.00526,0.00526,0.00526,0,False,0.01505,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,204,pre_open_orders_public_gate,trades,1784017269496,buy,62579.0,62579.0,62580.0,block,touch_stability_below_minimum,201,250,750,1,,,0,0,1,0,0.0008,0.03012,0.03012,0.03012,0.0008,False,0,0.02656042496679947,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,209,pre_open_orders_public_gate,trades,1784017271053,buy,62574.0,62574.0,62575.0,pass,,701,250,750,2,,,0,0,2,0,0.01538,0.00467,0.00467,0.00467,0.01538,False,0,3.2933618843683083,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,209,post_open_orders_pre_submit_gate,trades,1784017271053,buy,62567.0,62567.0,62568.0,pass,,701,250,750,2,,,0,0,2,0,0,0,0,0,0,False,0.02005,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,252,pre_open_orders_public_gate,trades,1784017288554,buy,62566.0,62566.0,62567.0,pass,,325,250,750,1,,,0,0,1,0,0.0014,0.01359,0.01359,0.01359,0.0014,False,0,0.10301692420897719,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,252,post_open_orders_pre_submit_gate,trades,1784017288554,buy,62564.0,62564.0,62565.0,pass,,325,250,750,1,,,0,0,1,0,0,0,0,0,0,False,0.01499,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,259,pre_open_orders_public_gate,trades,1784017290724,buy,62563.0,62563.0,62564.0,block,touch_stability_below_minimum,195,250,750,1,,,0,0,1,0,0.00237,0.00739,0.00739,0.00739,0.00237,False,0.01996,0.32070365358592695,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,615,pre_open_orders_public_gate,trades,1784017434095,buy,62569.0,62569.0,62570.0,pass,,259,250,750,1,,,0,0,1,0,0.00254,0.00586,0.00586,0.00586,0.00254,False,0,0.4334470989761092,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,615,post_open_orders_pre_submit_gate,trades,1784017434095,buy,62563.0,62563.0,62564.0,pass,,259,250,750,1,,,0,0,1,0,0,0,0,0,0,False,0.0084,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,631,pre_open_orders_public_gate,trades,1784017440937,buy,62565.0,62565.0,62566.0,pass,,333,250,750,1,,,0,0,1,0,0.00034,0.00296,0.00296,0.00296,0.00034,False,0,0.11486486486486487,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,631,post_open_orders_pre_submit_gate,trades,1784017440937,buy,62561.0,62561.0,62562.0,pass,,333,250,750,1,,,0,0,1,0,0,0,0,0,0,False,0.0033,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,1310,pre_open_orders_public_gate,trades,1784017702049,buy,62652.0,62652.0,62653.0,pass,,273,250,750,1,1784017701776,273,1,0,0,0,0.00125,0.00019,0.00019,0.00019,0.00125,True,0,6.578947368421052,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,1310,post_open_orders_pre_submit_gate,trades,1784017702049,buy,62650.0,62650.0,62651.0,pass,,273,250,750,1,1784017701776,273,1,0,0,0,0,0.00125,0.00125,0.00125,0,True,0.00019,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
