event_sequence,source_channel,source_event_exchange_time_ms,fresh_touch_allowed,trigger_found,guard_status,guard_reason,event_to_guard_start_seconds,target_event_to_guard_seconds,live_window_called,private_or_order_endpoint_called_before_trigger
1,l2Book,1784017185940,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
2,trades,1784017185056,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
3,l2Book,1784017186472,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
4,l2Book,1784017187013,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
5,l2Book,1784017187556,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
6,l2Book,1784017188089,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
7,l2Book,1784017188629,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
8,l2Book,1784017189172,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
9,l2Book,1784017189709,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
10,l2Book,1784017190237,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
11,l2Book,1784017190783,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
12,trades,1784017190783,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
13,l2Book,1784017191320,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
14,l2Book,1784017191861,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
15,l2Book,1784017192405,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
16,l2Book,1784017192941,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
17,l2Book,1784017193470,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
18,trades,1784017193744,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
19,l2Book,1784017194004,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
20,l2Book,1784017194550,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
21,l2Book,1784017195081,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
22,l2Book,1784017195621,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
23,l2Book,1784017196161,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
24,l2Book,1784017196689,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
25,trades,1784017197019,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
26,l2Book,1784017197236,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
27,l2Book,1784017197771,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
28,l2Book,1784017198297,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
29,l2Book,1784017198845,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
30,l2Book,1784017199381,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
31,l2Book,1784017199905,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
32,l2Book,1784017200405,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
33,l2Book,1784017200938,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
34,l2Book,1784017201479,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
35,l2Book,1784017202085,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
36,trades,1784017202018,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
37,l2Book,1784017202553,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
38,trades,1784017202754,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
39,l2Book,1784017203085,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
40,l2Book,1784017203622,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
41,l2Book,1784017204179,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
42,l2Book,1784017204724,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
43,trades,1784017204857,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
44,l2Book,1784017205265,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
45,l2Book,1784017205804,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
46,l2Book,1784017206338,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
47,l2Book,1784017206887,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
48,l2Book,1784017207426,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
49,trades,1784017207494,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
50,l2Book,1784017207952,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
51,trades,1784017208030,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
52,l2Book,1784017208501,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
53,trades,1784017208501,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
54,l2Book,1784017209039,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
55,trades,1784017209305,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
56,l2Book,1784017209578,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
57,l2Book,1784017210124,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
58,l2Book,1784017210660,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
59,l2Book,1784017211195,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
60,l2Book,1784017211754,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
61,l2Book,1784017212293,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
62,l2Book,1784017212834,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
63,l2Book,1784017213372,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
64,l2Book,1784017213901,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
65,trades,1784017214243,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
66,l2Book,1784017214431,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
67,l2Book,1784017214979,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
68,trades,1784017214979,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
69,trades,1784017215045,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
