attempt,event_sequence,phase,source_event_exchange_time_ms,current_bid,current_ask,bbo_lookback_ms,recent_bbo_count,last_bbo_change_ms,touch_stability_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,last_direction,status
1,61,pre_open_orders_public_gate,1783579391931,62808.0,62809.0,750,2,1783579391223,708,0,0,2,0,flat,pass
1,61,post_open_orders_pre_submit_gate,1783579391931,62796.0,62797.0,750,2,1783579391223,708,0,0,2,0,flat,pass
1,119,pre_open_orders_public_gate,1783579412656,62797.0,62798.0,750,1,1783579412256,400,0,1,0,0,up,pass
1,119,post_open_orders_pre_submit_gate,1783579412656,62805.0,62806.0,750,1,1783579412256,400,0,1,0,0,up,pass
1,184,pre_open_orders_public_gate,1783579434438,62839.0,62840.0,750,2,1783579433917,521,1,0,1,0,flat,pass
1,184,post_open_orders_pre_submit_gate,1783579434438,62839.0,62840.0,750,2,1783579433917,521,1,0,1,0,flat,pass
1,197,pre_open_orders_public_gate,1783579438767,62839.0,62840.0,750,1,1783579438428,339,0,0,1,0,flat,pass
1,197,post_open_orders_pre_submit_gate,1783579438767,62823.0,62824.0,750,1,1783579438428,339,0,0,1,0,flat,pass
1,200,pre_open_orders_public_gate,1783579439982,62823.0,62824.0,750,1,1783579439497,485,0,0,1,0,flat,pass
1,200,post_open_orders_pre_submit_gate,1783579439982,62821.0,62822.0,750,1,1783579439497,485,0,0,1,0,flat,pass
1,206,pre_open_orders_public_gate,1783579442045,62821.0,62822.0,750,1,1783579441641,404,0,0,1,0,flat,pass
1,206,post_open_orders_pre_submit_gate,1783579442045,62819.0,62820.0,750,1,1783579441641,404,0,0,1,0,flat,pass
1,313,pre_open_orders_public_gate,1783579476915,62835.0,62836.0,750,1,1783579476712,203,0,0,1,0,flat,block
1,314,pre_open_orders_public_gate,1783579477029,62835.0,62836.0,750,1,1783579476712,317,0,0,1,0,flat,pass
1,314,post_open_orders_pre_submit_gate,1783579477029,62819.0,62820.0,750,1,1783579476712,317,0,0,1,0,flat,pass
1,398,pre_open_orders_public_gate,1783579501076,62854.0,62855.0,750,1,1783579500800,276,0,0,1,0,flat,pass
1,398,post_open_orders_pre_submit_gate,1783579501076,62841.0,62842.0,750,1,1783579500800,276,0,0,1,0,flat,pass
1,412,pre_open_orders_public_gate,1783579504317,62841.0,62842.0,750,1,1783579504049,268,0,0,1,0,flat,pass
1,412,post_open_orders_pre_submit_gate,1783579504317,62835.0,62836.0,750,1,1783579504049,268,0,0,1,0,flat,pass
1,461,pre_open_orders_public_gate,1783579518377,62828.0,62832.0,750,1,1783579518110,267,1,0,0,0,down,pass
1,461,post_open_orders_pre_submit_gate,1783579518377,62824.0,62825.0,750,1,1783579518110,267,1,0,0,0,down,pass
