event_sequence,source_channel,source_event_exchange_time_ms,fresh_touch_allowed,trigger_found,guard_status,guard_reason,event_to_guard_start_seconds,target_event_to_guard_seconds,live_window_called,private_or_order_endpoint_called_before_trigger
1,l2Book,1783579370923,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
2,trades,1783579371012,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
3,l2Book,1783579371530,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
4,trades,1783579372017,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
5,l2Book,1783579372136,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
6,l2Book,1783579372743,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
7,trades,1783579372819,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
8,trades,1783579372947,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
9,trades,1783579373022,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
10,l2Book,1783579373352,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
11,l2Book,1783579373966,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
12,trades,1783579373966,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
13,l2Book,1783579374565,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
14,l2Book,1783579375227,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
15,l2Book,1783579375768,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
16,trades,1783579375965,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
17,trades,1783579376038,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
18,l2Book,1783579376375,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
19,l2Book,1783579376841,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
20,l2Book,1783579377368,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
21,l2Book,1783579377969,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
22,l2Book,1783579378569,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
23,l2Book,1783579379171,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
24,l2Book,1783579379774,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
25,l2Book,1783579380379,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
26,l2Book,1783579380975,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
27,l2Book,1783579381519,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
28,l2Book,1783579382076,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
29,trades,1783579382076,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
30,l2Book,1783579382591,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
31,l2Book,1783579383125,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
32,trades,1783579383506,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
33,l2Book,1783579383739,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
34,trades,1783579383942,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
35,trades,1783579384045,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
36,l2Book,1783579384247,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
37,trades,1783579384247,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
38,l2Book,1783579384794,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
39,l2Book,1783579385339,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
40,l2Book,1783579385971,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
41,trades,1783579386072,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
42,l2Book,1783579386478,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
43,trades,1783579386780,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
44,l2Book,1783579386984,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
45,trades,1783579387085,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
46,l2Book,1783579387490,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
47,trades,1783579387895,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
48,l2Book,1783579387997,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
49,trades,1783579388052,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
50,l2Book,1783579388503,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
51,trades,1783579388605,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
52,l2Book,1783579389108,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
53,trades,1783579389313,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
54,l2Book,1783579389612,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
55,l2Book,1783579390120,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
56,l2Book,1783579390721,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
57,trades,1783579391022,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
