attempt,event_sequence,phase,source_status,source_reason,symbol,target_symbol,horizon_ms,signal_ts_ms,source_age_ms,hl_mid_px,binance_mid_px,basis_mid_ticks,lead_move_ticks,fair_mid_px,hl_public_state_seq,hl_l2_state_seq,binance_state_seq,binance_source,inference_scope
1,197,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1783579439167,146,62823.5,62797.05,-26.45,0.0,62823.5,202,202,1,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,200,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1783579440061,414,,,,,,206,206,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,461,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1783579519027,87,62824.5,62794.75,-29.75,-2.3000000000029104,62822.2,473,473,3,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,588,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1783579559636,277,,,,,,606,606,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
1,871,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1783579644219,207,62858.5,62829.25,-29.25,25.0,62883.5,897,897,5,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,882,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1783579647002,278,,,,,,911,911,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,913,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1783579656373,468,,,,,,943,943,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,1008,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1783579682530,608,,,,,,1040,1040,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,1010,post_open_orders_pre_submit_fair_mid_source,block,fair_mid_source_stale,BTC,BTC,1000,1783579682761,948,,,,,,1043,1043,,,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
2,1129,post_open_orders_pre_submit_fair_mid_source,pass,,BTC,BTC,1000,1783579713512,149,62881.5,62848.45,-33.05,20.39999999999418,62901.899999999994,1163,1163,10,binance_usdm_public_book_ticker,decision_time_public_fair_mid_source_not_pnl_or_fill_probability
