attempt,phase,event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,start_unix_seconds,end_unix_seconds,elapsed_seconds,current_bid,current_ask,candidate_age_seconds_at_phase_end,public_state_seq,l2_state_seq,state_observed_after_open_orders_end
1,trigger_to_open_orders_start,61,trades,1783579391931,1783579392267695086,1783579392.2676952,1783579392.268075,0.00038,,,0.337075,61,60,
1,open_orders_elapsed,61,trades,1783579391931,1783579392267695086,1783579392.268075,1783579392.586257,0.318182,62808.0,62809.0,0.655257,61,60,
1,open_orders_end_to_public_state,61,trades,1783579391931,1783579392267695086,1783579392.586257,1783579392.862061,0.275804,62796.0,62797.0,0.931061,62,62,True
1,open_orders_end_to_reprice,61,trades,1783579391931,1783579392267695086,1783579392.586257,1783579392.8621428,0.275886,62796.0,62797.0,0.931143,62,62,True
1,trigger_to_open_orders_start,119,trades,1783579412656,1783579412893706924,1783579412.893707,1783579412.8943367,0.00063,,,0.238337,120,117,
1,open_orders_elapsed,119,trades,1783579412656,1783579412893706924,1783579412.8943367,1783579412.9113557,0.017019,62797.0,62798.0,0.255356,120,117,
1,open_orders_end_to_public_state,119,trades,1783579412656,1783579412893706924,1783579412.9113557,1783579413.2150624,0.303707,62805.0,62806.0,0.559062,121,121,True
1,open_orders_end_to_reprice,119,trades,1783579412656,1783579412893706924,1783579412.9113557,1783579413.2151554,0.3038,62805.0,62806.0,0.559155,121,121,True
1,trigger_to_open_orders_start,184,l2Book,1783579434438,1783579434829020265,1783579434.8290203,1783579434.829791,0.000771,,,0.391791,186,186,
1,open_orders_elapsed,184,l2Book,1783579434438,1783579434829020265,1783579434.829791,1783579434.8511434,0.021352,62839.0,62840.0,0.413143,186,186,
1,open_orders_end_to_public_state,184,l2Book,1783579434438,1783579434829020265,1783579434.8511434,1783579435.3135474,0.462404,62839.0,62840.0,0.875547,187,187,True
1,open_orders_end_to_reprice,184,l2Book,1783579434438,1783579434829020265,1783579434.8511434,1783579435.3136318,0.462488,62839.0,62840.0,0.875632,187,187,True
1,trigger_to_open_orders_start,197,trades,1783579438767,1783579439056622066,1783579439.056622,1783579439.0573306,0.000709,,,0.290331,200,199,
1,open_orders_elapsed,197,trades,1783579438767,1783579439056622066,1783579439.0573306,1783579439.0735195,0.016189,62839.0,62840.0,0.30652,200,199,
1,open_orders_end_to_public_state,197,trades,1783579438767,1783579439056622066,1783579439.0735195,1783579439.2968435,0.223324,62823.0,62824.0,0.529844,202,202,True
1,open_orders_end_to_reprice,197,trades,1783579438767,1783579439056622066,1783579439.0735195,1783579439.2969563,0.223437,62823.0,62824.0,0.529956,202,202,True
1,trigger_to_open_orders_start,200,trades,1783579439982,1783579440223581852,1783579440.223582,1783579440.2243073,0.000725,,,0.242307,205,203,
1,open_orders_elapsed,200,trades,1783579439982,1783579440223581852,1783579440.2243073,1783579440.240612,0.016305,62823.0,62824.0,0.258612,205,203,
1,open_orders_end_to_public_state,200,trades,1783579439982,1783579440223581852,1783579440.240612,1783579440.4646266,0.224015,62821.0,62822.0,0.482626,206,206,True
1,open_orders_end_to_reprice,200,trades,1783579439982,1783579440223581852,1783579440.240612,1783579440.464759,0.224147,62821.0,62822.0,0.482759,206,206,True
1,trigger_to_open_orders_start,206,trades,1783579442045,1783579442288882445,1783579442.2888825,1783579442.2896252,0.000743,,,0.244625,212,211,
1,open_orders_elapsed,206,trades,1783579442045,1783579442288882445,1783579442.2896252,1783579442.3056152,0.01599,62821.0,62822.0,0.260615,212,211,
1,open_orders_end_to_public_state,206,trades,1783579442045,1783579442288882445,1783579442.3056152,1783579442.4904954,0.18488,62819.0,62820.0,0.445495,213,213,True
1,open_orders_end_to_reprice,206,trades,1783579442045,1783579442288882445,1783579442.3056152,1783579442.490575,0.18496,62819.0,62820.0,0.445575,213,213,True
1,trigger_to_open_orders_start,314,trades,1783579477029,1783579477322241214,1783579477.3222413,1783579477.3227038,0.000463,,,0.293704,321,317,
1,open_orders_elapsed,314,trades,1783579477029,1783579477322241214,1783579477.3227038,1783579477.3400726,0.017369,62835.0,62836.0,0.311073,321,317,
1,open_orders_end_to_public_state,314,trades,1783579477029,1783579477322241214,1783579477.3400726,1783579477.611366,0.271293,62819.0,62820.0,0.582366,322,322,True
