attempt,event_sequence,phase,source_event_exchange_time_ms,side,limit_px,flow_lookback_ms,trade_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,fill_support_touch_count,adverse_strict_through_count,neutral_or_opposite_flow_count,adverse_flow_ratio,min_pressure_qty_btc,pressure_ratio_threshold,status,reason
1,80,pre_open_orders_public_gate,1783579899019,buy,62853.0,1000,25,0.12511,0.01036,0.01036,0.01036,0.12511,False,0,3,22,0,12.076254826254827,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,80,post_open_orders_pre_submit_gate,1783579899019,buy,62841.0,1000,25,0,0.01212,0.01212,0.01212,0,False,0.12335,1,0,24,,0.01,2.0,pass,
1,99,pre_open_orders_public_gate,1783579906885,buy,62841.0,1000,6,0.01832,0.00017,0.00017,0.00017,0.01832,False,0.0017,1,3,2,107.76470588235294,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,99,post_open_orders_pre_submit_gate,1783579906885,buy,62840.0,1000,6,0,0.01832,0.01832,0.01832,0,False,0.00187,3,0,3,,0.01,2.0,pass,
1,216,pre_open_orders_public_gate,1783579942348,buy,62860.0,1000,27,0.24105,0.07971,0.07971,0.07971,0.24105,True,0.18075,4,16,7,3.024087316522394,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,222,pre_open_orders_public_gate,1783579943818,buy,62847.0,1000,17,0.04748,0.08041,0.08041,0.08041,0.04748,False,0.08017,3,13,1,0.5904738216639721,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,222,post_open_orders_pre_submit_gate,1783579943818,buy,62839.0,1000,17,0,0.01578,0.01578,0.01578,0,False,0.19228,1,0,16,,0.01,2.0,pass,
1,238,pre_open_orders_public_gate,1783579950285,buy,62839.0,1000,7,0.04774,0.07956,0.07956,0.07956,0.04774,False,0.00035,1,5,1,0.6000502765208647,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,238,post_open_orders_pre_submit_gate,1783579950285,buy,62835.0,1000,7,0,0.04703,0.04703,0.04703,0,False,0.08062,1,0,6,,0.01,2.0,pass,
1,287,pre_open_orders_public_gate,1783579964926,buy,62839.0,1000,12,0.38224,0.01606,0.01606,0.01606,0.38224,False,0.24998,3,6,3,23.80074719800747,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,287,post_open_orders_pre_submit_gate,1783579964926,buy,62836.0,1000,12,0,0.30234,0.30234,0.30234,0,False,0.34594,3,0,9,,0.01,2.0,pass,
1,349,pre_open_orders_public_gate,1783579987559,buy,62847.0,1000,1,0,0.00538,0.00538,0.00538,0,False,0,1,0,0,,0.01,2.0,pass,
1,349,post_open_orders_pre_submit_gate,1783579987559,buy,62846.0,1000,1,0,0,0,0,0,False,0.00538,0,0,1,,0.01,2.0,pass,
1,355,pre_open_orders_public_gate,1783579991034,buy,62846.0,1000,3,0.00018,0.00017,0.00017,0.00017,0.00018,False,0,1,2,0,1.0588235294117647,0.01,2.0,pass,
1,355,post_open_orders_pre_submit_gate,1783579991034,buy,62844.0,1000,3,0,0.00001,0.00001,0.00001,0,False,0.00034,1,0,2,,0.01,2.0,pass,
1,417,pre_open_orders_public_gate,1783580015607,buy,62844.0,1000,3,0.00034,0.00017,0.00017,0.00017,0.00034,False,0,1,2,0,2.0,0.01,2.0,pass,
1,418,pre_open_orders_public_gate,1783580015798,buy,62844.0,1000,12,0.00463,0.00017,0.00017,0.00017,0.00463,False,0,1,11,0,27.235294117647058,0.01,2.0,pass,
1,418,post_open_orders_pre_submit_gate,1783580015798,buy,62836.0,1000,12,0,0.00107,0.00107,0.00107,0,False,0.00373,2,0,10,,0.01,2.0,pass,
1,420,pre_open_orders_public_gate,1783580016210,buy,62836.0,1000,21,0.00651,0.00177,0.00177,0.00177,0.00651,True,0.00822,3,6,12,3.6779661016949152,0.01,2.0,pass,
1,420,post_open_orders_pre_submit_gate,1783580016210,buy,62832.0,1000,21,0,0.006,0.006,0.006,0,True,0.0105,3,0,18,,0.01,2.0,pass,
1,701,pre_open_orders_public_gate,1783580109291,buy,62852.0,1000,6,0.04634,0.02142,0.02142,0.02142,0.04634,False,0,3,3,0,2.1633986928104574,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,701,post_open_orders_pre_submit_gate,1783580109291,buy,62851.0,1000,6,0,0.04634,0.04634,0.04634,0,False,0.02142,3,0,3,,0.01,2.0,pass,
