attempt,event_sequence,phase,source_channel,source_event_exchange_time_ms,side,limit_px,current_bid,current_ask,status,reason,touch_stability_ms,min_stable_ms,bbo_lookback_ms,recent_bbo_count,last_adverse_bbo_ms,elapsed_since_adverse_bbo_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,adverse_flow_ratio,adverse_flow_status,current_cross_risk,inference_scope
1,80,pre_open_orders_public_gate,trades,1783579899019,buy,62853.0,62853.0,62854.0,pass,,688,250,750,2,,,0,0,2,0,0.12511,0.01036,0.01036,0.01036,0.12511,False,0,12.076254826254827,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,80,post_open_orders_pre_submit_gate,trades,1783579899019,buy,62841.0,62841.0,62842.0,pass,,688,250,750,2,,,0,0,2,0,0,0.01212,0.01212,0.01212,0,False,0.12335,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,99,pre_open_orders_public_gate,trades,1783579906885,buy,62841.0,62841.0,62842.0,pass,,403,250,750,1,,,0,0,1,0,0.01832,0.00017,0.00017,0.00017,0.01832,False,0.0017,107.76470588235294,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,99,post_open_orders_pre_submit_gate,trades,1783579906885,buy,62840.0,62840.0,62841.0,pass,,403,250,750,1,,,0,0,1,0,0,0.01832,0.01832,0.01832,0,False,0.00187,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,216,pre_open_orders_public_gate,trades,1783579942348,buy,62860.0,62860.0,62861.0,block,adverse_trade_pressure_with_recent_adverse_bbo,404,250,750,1,1783579941944,404,1,0,0,0,0.24105,0.07971,0.07971,0.07971,0.24105,True,0.18075,3.024087316522394,block,False,public_microstructure_gate_not_exchange_validation_guarantee
1,222,pre_open_orders_public_gate,trades,1783579943818,buy,62847.0,62847.0,62848.0,pass,,739,250,750,2,,,0,0,2,0,0.04748,0.08041,0.08041,0.08041,0.04748,False,0.08017,0.5904738216639721,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,222,post_open_orders_pre_submit_gate,trades,1783579943818,buy,62839.0,62839.0,62840.0,pass,,739,250,750,2,,,0,0,2,0,0,0.01578,0.01578,0.01578,0,False,0.19228,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,238,pre_open_orders_public_gate,trades,1783579950285,buy,62839.0,62839.0,62840.0,pass,,667,250,750,2,,,0,0,2,0,0.04774,0.07956,0.07956,0.07956,0.04774,False,0.00035,0.6000502765208647,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,238,post_open_orders_pre_submit_gate,trades,1783579950285,buy,62835.0,62835.0,62836.0,pass,,667,250,750,2,,,0,0,2,0,0,0.04703,0.04703,0.04703,0,False,0.08062,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,287,pre_open_orders_public_gate,trades,1783579964926,buy,62839.0,62839.0,62840.0,pass,,270,250,750,1,,,0,0,1,0,0.38224,0.01606,0.01606,0.01606,0.38224,False,0.24998,23.80074719800747,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,287,post_open_orders_pre_submit_gate,trades,1783579964926,buy,62836.0,62836.0,62837.0,pass,,270,250,750,1,,,0,0,1,0,0,0.30234,0.30234,0.30234,0,False,0.34594,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,349,pre_open_orders_public_gate,l2Book,1783579987559,buy,62847.0,62847.0,62848.0,pass,,551,250,750,2,,,0,0,2,0,0,0.00538,0.00538,0.00538,0,False,0,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,349,post_open_orders_pre_submit_gate,l2Book,1783579987559,buy,62846.0,62846.0,62847.0,pass,,551,250,750,2,,,0,0,2,0,0,0,0,0,0,False,0.00538,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,355,pre_open_orders_public_gate,trades,1783579991034,buy,62846.0,62846.0,62847.0,pass,,255,250,750,1,,,0,0,1,0,0.00018,0.00017,0.00017,0.00017,0.00018,False,0,1.0588235294117647,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,355,post_open_orders_pre_submit_gate,trades,1783579991034,buy,62844.0,62844.0,62845.0,pass,,255,250,750,1,,,0,0,1,0,0,0.00001,0.00001,0.00001,0,False,0.00034,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,417,pre_open_orders_public_gate,trades,1783580015607,buy,62844.0,62844.0,62845.0,block,touch_stability_below_minimum,212,250,750,1,,,0,0,1,0,0.00034,0.00017,0.00017,0.00017,0.00034,False,0,2.0,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,418,pre_open_orders_public_gate,trades,1783580015798,buy,62844.0,62844.0,62845.0,pass,,403,250,750,1,,,0,0,1,0,0.00463,0.00017,0.00017,0.00017,0.00463,False,0,27.235294117647058,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,418,post_open_orders_pre_submit_gate,trades,1783580015798,buy,62836.0,62836.0,62837.0,pass,,403,250,750,1,,,0,0,1,0,0,0.00107,0.00107,0.00107,0,False,0.00373,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
