event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope
1,l2Book,1783579874172,1783579874719430199,0.547525,buy,62853,62853,62854,1,0.005,9.13502,29,1827.004,0,0,0,0,9.14002,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,9.13502,,,29,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
2,trades,1783579874040,1783579874720470235,0.680579,buy,62853,62853,62854,1,0.005,9.13502,29,1827.004,7,0.00865,0,0.00865,9.14002,0.0009463874258480834834059444071,touched_quote_without_depletion,,0.00216,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,1,0,-132,1,bbo_history_too_sparse,synthetic_current_event_only,,,,9.13502,,,29,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_after_candidate_visible_by_local_receive,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
3,l2Book,1783579874715,1783579874941486214,0.226594,buy,62853,62853,62854,1,0.005,8.64707,23,1729.414,7,0.00865,0,0.00865,8.65207,0.0009997607508954504528973991195,touched_quote_without_depletion,,0.00216,False,missing_same_side_strict_through_support,2,543,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,543,1783579874172,9.13502,8.64707,-0.48795,29,23,-6,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
4,trades,1783579875053,1783579875317533093,0.264636,buy,62853,62853,62854,1,0.005,8.64707,23,1729.414,8,0.00865,0,0.00865,8.65207,0.0009997607508954504528973991195,touched_quote_without_depletion,,0.00216,False,missing_same_side_strict_through_support,2,543,338,2,same_touch_stable_enough,real_bbo_history_touch_stability,881,1783579874172,9.13502,8.64707,-0.48795,29,23,-6,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
5,l2Book,1783579875255,1783579875475841430,0.220935,buy,62853,62853,62854,1,0.005,8.95426,27,1790.852,8,0.00865,0,0.00865,8.95926,0.0009654815241437350852637382998,touched_quote_without_depletion,,0.00216,False,missing_same_side_strict_through_support,3,1083,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1083,1783579874172,9.13502,8.95426,-0.18076,29,27,-2,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
6,l2Book,1783579875780,1783579875998493142,0.218626,buy,62853,62853,62854,1,0.005,8.95426,27,1790.852,6,0.00386,0,0.00386,8.95926,0.0004308391541265684889153791719,touched_quote_without_depletion,,0.00096,False,missing_same_side_strict_through_support,4,1608,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,1608,1783579874172,9.13502,8.95426,-0.18076,29,27,-2,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
7,trades,1783579876060,1783579876293768314,0.233904,buy,62853,62853,62854,1,0.005,8.95426,27,1790.852,5,0.00194,0,0.00194,8.95926,0.0002165357406750111058279366823,touched_quote_without_depletion,,0.00048,False,missing_same_side_strict_through_support,4,1608,280,4,same_touch_stable_enough,real_bbo_history_touch_stability,1888,1783579874172,9.13502,8.95426,-0.18076,29,27,-2,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
8,l2Book,1783579876329,1783579876549365299,0.220513,buy,62853,62853,62854,1,0.005,8.95426,27,1790.852,3,0.00044,0,0.00044,8.95926,0.00004911119891598190029087223722,touched_quote_without_depletion,,0.00011,False,missing_same_side_strict_through_support,5,2157,0,5,same_touch_stable_enough,real_bbo_history_touch_stability,2157,1783579874172,9.13502,8.95426,-0.18076,29,27,-2,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
9,trades,1783579876731,1783579876916122790,0.185233,buy,62853,62853,62854,1,0.005,8.95426,27,1790.852,4,0.00044,0,0.00044,8.95926,0.00004911119891598190029087223722,touched_quote_without_depletion,,0.00011,False,missing_same_side_strict_through_support,5,2157,402,5,same_touch_stable_enough,real_bbo_history_touch_stability,2559,1783579874172,9.13502,8.95426,-0.18076,29,27,-2,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
10,l2Book,1783579876867,1783579877082060626,0.2152,buy,62853,62853,62854,1,0.005,12.3664,38,2473.28,4,0.00044,0,0.00044,12.3714,0.000035565901999773671532728713,touched_quote_without_depletion,,0.00011,False,missing_same_side_strict_through_support,6,2695,0,6,same_touch_stable_enough,real_bbo_history_touch_stability,2695,1783579874172,9.13502,12.3664,3.23138,29,38,9,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
