attempt,phase,event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,start_unix_seconds,end_unix_seconds,elapsed_seconds,current_bid,current_ask,candidate_age_seconds_at_phase_end,public_state_seq,l2_state_seq,state_observed_after_open_orders_end
1,trigger_to_open_orders_start,80,trades,1783579899019,1783579899265246104,1783579899.2652462,1783579899.265734,0.000488,,,0.246734,80,79,
1,open_orders_elapsed,80,trades,1783579899019,1783579899265246104,1783579899.265734,1783579899.5052574,0.239523,62853.0,62854.0,0.486257,80,79,
1,open_orders_end_to_public_state,80,trades,1783579899019,1783579899265246104,1783579899.5052574,1783579899.7149994,0.209742,62841.0,62842.0,0.695999,81,81,True
1,open_orders_end_to_reprice,80,trades,1783579899019,1783579899265246104,1783579899.5052574,1783579899.7150815,0.209824,62841.0,62842.0,0.696081,81,81,True
1,trigger_to_open_orders_start,99,trades,1783579906885,1783579907082120267,1783579907.0821202,1783579907.082669,0.000549,,,0.197669,100,99,
1,open_orders_elapsed,99,trades,1783579906885,1783579907082120267,1783579907.082669,1783579907.0996985,0.01703,62841.0,62842.0,0.214699,100,99,
1,open_orders_end_to_public_state,99,trades,1783579906885,1783579907082120267,1783579907.0996985,1783579907.2981489,0.19845,62840.0,62841.0,0.413149,101,101,True
1,open_orders_end_to_reprice,99,trades,1783579906885,1783579907082120267,1783579907.0996985,1783579907.2982576,0.198559,62840.0,62841.0,0.413258,101,101,True
1,trigger_to_open_orders_start,222,trades,1783579943818,1783579944023388174,1783579944.0233881,1783579944.0239391,0.000551,,,0.205939,224,223,
1,open_orders_elapsed,222,trades,1783579943818,1783579944023388174,1783579944.0239391,1783579944.0512655,0.027326,62847.0,62848.0,0.233265,224,223,
1,open_orders_end_to_public_state,222,trades,1783579943818,1783579944023388174,1783579944.0512655,1783579944.4536796,0.402414,62839.0,62840.0,0.635679,225,225,True
