attempt,status,reason,handoff_phase,candidate_source_exchange_time_ms,candidate_age_seconds,max_age_seconds,trigger_candidate_source_exchange_time_ms,trigger_candidate_age_seconds,trigger_candidate_side,trigger_candidate_quote_px,trigger_candidate_size_btc,trigger_candidate_quality_bucket,trigger_candidate_freshness_status,trigger_candidate_skip_reason,current_reprice_allowed,current_reprice_skip_reason,current_reprice_candidate_source_exchange_time_ms,current_reprice_candidate_age_seconds,selected_side,selected_quote_px,current_bid,current_ask,selected_size_btc,max_order_size_btc,quality_bucket,current_same_side_top_qty_btc,current_same_side_top_order_count,current_top_depth_multiple_of_order,post_only_tif,post_only_non_crossing,current_touch_match,source
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1783579899019,0.696,1.0,1783579899019,0.696,buy,62853,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1783579899019,0.696,,,62841.0,62842.0,,0.005,,14.12659,33,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1783579906885,0.413,1.0,1783579906885,0.413,buy,62841,0.00479,quality_a,pass,,True,,1783579906885,0.413,buy,62840.0,62840.0,62841.0,0.00479,0.005,quality_a,0.05895,1,12.30688935,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1783579943818,0.635,1.0,1783579943818,0.635,buy,62847,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1783579943818,0.635,,,62839.0,62840.0,,0.005,,6.1023,14,,Alo,False,False,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1783579950285,0.643,1.0,1783579950285,0.643,buy,62839,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1783579950285,0.643,,,62835.0,62836.0,,0.005,,6.82236,19,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1783579964926,0.493,1.0,1783579964926,0.493,buy,62839,0.005,quality_a,pass,,True,,1783579964926,0.493,buy,62836.0,62836.0,62837.0,0.005,0.005,quality_a,0.02235,1,4.47,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1783579987559,0.777,1.0,1783579987559,0.777,buy,62847,0.00151,quality_a,pass,,True,,1783579987559,0.777,buy,62846.0,62846.0,62847.0,0.00151,0.005,quality_b,0.04521,1,29.94039735,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1783579991034,0.5,1.0,1783579991034,0.5,buy,62846,8e-05,quality_a,pass,,False,outside_quality_a_b_queue_bands,1783579991034,0.5,,,62844.0,62845.0,,0.005,,0.03217,3,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1783580015798,0.36,1.0,1783580015798,0.36,buy,62844,0.005,quality_a,pass,,True,,1783580015798,0.36,buy,62836.0,62836.0,62837.0,0.005,0.005,quality_a,0.0007,1,0.14,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1783580016210,0.513,1.0,1783580016210,0.513,buy,62836,0.00207,quality_a,pass,,False,outside_quality_a_b_queue_bands,1783580016210,0.513,,,62832.0,62833.0,,0.005,,0.29286,3,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1783580109291,0.422,1.0,1783580109291,0.422,buy,62852,0.005,quality_a,pass,,True,,1783580109291,0.422,buy,62851.0,62851.0,62852.0,0.005,0.005,quality_a,0.00351,1,0.702,Alo,True,True,inline_reprice_current_candidate_guard
