event_sequence,source_channel,source_event_exchange_time_ms,current_bid,current_ask,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,opposite_trade_qty_btc,rolling_window_seconds
1,l2Book,1783580174206,62874,62875,0,0,0,0,0,3.0
2,trades,1783580174003,62874,62875,4,0.01661,0,0.01661,0.1,3.0
3,l2Book,1783580174741,62874,62875,3,0.01626,0,0.01626,0.1,3.0
4,l2Book,1783580175278,62874,62875,1,0.00036,0,0.00036,0,3.0
5,l2Book,1783580175818,62874,62875,1,0.00036,0,0.00036,0,3.0
6,trades,1783580176017,62874,62875,5,0.00036,0,0.00036,0.00169,3.0
7,l2Book,1783580176350,62874,62875,5,0.00036,0,0.00036,0.00169,3.0
8,l2Book,1783580176895,62874,62875,5,0.00036,0,0.00036,0.00169,3.0
9,trades,1783580176895,62874,62875,7,0.04148,0,0.04148,0.00469,3.0
10,l2Book,1783580177409,62874,62875,6,0.04112,0,0.04112,0.00469,3.0
11,l2Book,1783580177960,62874,62875,6,0.04112,0,0.04112,0.00469,3.0
12,l2Book,1783580178504,62874,62875,6,0.04112,0,0.04112,0.00469,3.0
13,l2Book,1783580179030,62874,62875,2,0.04112,0,0.04112,0.003,3.0
14,trades,1783580179030,62874,62875,3,0.04112,0,0.04112,0.00318,3.0
15,l2Book,1783580179570,62874,62875,3,0.04112,0,0.04112,0.00318,3.0
16,l2Book,1783580180116,62874,62875,1,0,0,0,0.00018,3.0
17,trades,1783580180318,62874,62875,2,0,0,0,0.08599,3.0
18,l2Book,1783580180649,62874,62875,2,0,0,0,0.08599,3.0
19,trades,1783580181053,62874,62875,3,0,0,0,0.09331,3.0
20,l2Book,1783580181181,62874,62875,3,0,0,0,0.09331,3.0
21,trades,1783580181527,62874,62875,4,0,0,0,0.09386,3.0
22,l2Book,1783580181727,62874,62875,4,0,0,0,0.09386,3.0
23,trades,1783580182063,62874,62875,5,0.00044,0,0.00044,0.09519,3.0
24,l2Book,1783580182264,62874,62875,5,0.00044,0,0.00044,0.09519,3.0
25,l2Book,1783580182864,62874,62875,5,0.00044,0,0.00044,0.09519,3.0
26,trades,1783580183069,62874,62875,8,0.00112,0,0.00112,0.17536,3.0
27,l2Book,1783580183468,62874,62875,7,0.00112,0,0.00112,0.08955,3.0
28,l2Book,1783580184072,62874,62875,6,0.00112,0,0.00112,0.08223,3.0
