sample_id,decision_mode,canonical_status,horizon_ms,row_count,effective_future_age_ms_min,effective_future_age_ms_mean,effective_future_age_ms_max,effective_future_row_delta_min,effective_future_row_delta_mean,effective_future_row_delta_max,distinct_future_row_delta_count,distinct_effective_age_count,mean_age_alias_group,aliasing_status
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,100,3331,106.591118,541.7213585,1180.005781,1,1.00210147,2,2,3312,100,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,250,3331,250.277807,557.64365344,1424.094279,1,1.02791954,2,2,3312,250,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,500,3330,500.055202,705.65321174,1503.962994,1,1.28378378,3,3,3312,500,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,1000,3329,1000.081581,1170.18074536,2146.362373,1,2.16251126,3,3,3318,1000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,5000,3322,5000.039367,5365.10806331,6024.648116,8,9.90216737,11,4,3305,5000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,10000,3313,10000.495481,10272.36577302,10901.976446,17,18.99185029,21,5,3302,10000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,100,3329,100.436304,550.13623952,1977.976295,1,1.01622109,2,2,3318,100,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,250,3329,250.528306,578.61702561,1977.976295,1,1.06308201,2,2,3318,250,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,500,3329,500.142562,776.7524494,2352.365861,1,1.40222289,3,3,3319,500,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,1000,3328,1000.171174,1245.8177746,2929.778321,1,2.27403846,4,4,3321,1000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,5000,3320,5000.45807,5336.71918187,6823.41575,7,9.82861446,12,6,3309,5000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,10000,3310,10000.526508,10274.67071683,11146.062846,16,18.96616314,21,6,3306,10000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,100,3333,105.983831,574.11992143,1515.934482,1,1.05010501,2,2,3325,100,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,250,3333,250.119098,588.11407308,1696.435978,1,1.07680768,2,2,3325,250,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,500,3333,500.069107,813.22513068,1970.481354,1,1.48544854,3,3,3329,500,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,1000,3332,1000.157151,1298.15418307,2329.524936,1,2.35804322,4,4,3316,1000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,5000,3324,5000.010986,5339.59844098,6466.608254,8,9.81377858,12,5,3313,5000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,10000,3314,10000.177376,10290.12495262,11455.139543,16,18.98672299,22,7,3303,10000,distinct_mean_effective_age
