sample_id,decision_mode,canonical_status,horizon_ms,row_count,effective_future_age_ms_min,effective_future_age_ms_mean,effective_future_age_ms_max,effective_future_row_delta_min,effective_future_row_delta_mean,effective_future_row_delta_max,distinct_future_row_delta_count,distinct_effective_age_count,mean_age_alias_group,aliasing_status
cross_exchange_public_sample_xemm_0603_quiet_a,synthetic,diagnostic_only_synthetic_decision_grid,100,3597,500,500.27800945,1000,,,,0,2,"100,250,500",aliased_with_other_nominal_horizon
cross_exchange_public_sample_xemm_0603_quiet_a,synthetic,diagnostic_only_synthetic_decision_grid,250,3597,500,500.27800945,1000,,,,0,2,"100,250,500",aliased_with_other_nominal_horizon
cross_exchange_public_sample_xemm_0603_quiet_a,synthetic,diagnostic_only_synthetic_decision_grid,500,3597,500,500.27800945,1000,,,,0,2,"100,250,500",aliased_with_other_nominal_horizon
cross_exchange_public_sample_xemm_0603_quiet_a,synthetic,diagnostic_only_synthetic_decision_grid,1000,3596,1000,1000.27808676,1500,,,,0,2,1000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a,synthetic,diagnostic_only_synthetic_decision_grid,5000,3588,5000,5000.2787068,5500,,,,0,2,5000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a,synthetic,diagnostic_only_synthetic_decision_grid,10000,3578,10000,10000.27948575,10500,,,,0,2,10000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b,synthetic,diagnostic_only_synthetic_decision_grid,100,3579,500,502.79407656,1500,,,,0,3,"100,250,500",aliased_with_other_nominal_horizon
cross_exchange_public_sample_xemm_0603_quiet_b,synthetic,diagnostic_only_synthetic_decision_grid,250,3579,500,502.79407656,1500,,,,0,3,"100,250,500",aliased_with_other_nominal_horizon
cross_exchange_public_sample_xemm_0603_quiet_b,synthetic,diagnostic_only_synthetic_decision_grid,500,3579,500,502.79407656,1500,,,,0,3,"100,250,500",aliased_with_other_nominal_horizon
cross_exchange_public_sample_xemm_0603_quiet_b,synthetic,diagnostic_only_synthetic_decision_grid,1000,3578,1000,1002.93460034,2000,,,,0,3,1000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b,synthetic,diagnostic_only_synthetic_decision_grid,5000,3570,5000,5002.66106443,6000,,,,0,3,5000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b,synthetic,diagnostic_only_synthetic_decision_grid,10000,3560,10000,10002.80898876,11000,,,,0,3,10000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c,synthetic,diagnostic_only_synthetic_decision_grid,100,3503,500,513.55980588,1000,1,1,1,1,2,"100,250,500",aliased_with_other_nominal_horizon
cross_exchange_public_sample_xemm_0603_quiet_c,synthetic,diagnostic_only_synthetic_decision_grid,250,3503,500,513.55980588,1000,1,1,1,1,2,"100,250,500",aliased_with_other_nominal_horizon
cross_exchange_public_sample_xemm_0603_quiet_c,synthetic,diagnostic_only_synthetic_decision_grid,500,3503,500,513.55980588,1000,1,1,1,1,2,"100,250,500",aliased_with_other_nominal_horizon
cross_exchange_public_sample_xemm_0603_quiet_c,synthetic,diagnostic_only_synthetic_decision_grid,1000,3502,1000,1013.5636779,1500,1,1.97287264,2,2,2,1000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c,synthetic,diagnostic_only_synthetic_decision_grid,5000,3494,5000,5011.01888952,5500,8,9.75701202,10,3,2,5000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c,synthetic,diagnostic_only_synthetic_decision_grid,10000,3485,10000,10012.05164993,10500,17,19.49440459,20,4,2,10000,distinct_mean_effective_age
