horizon_ms,hyperliquid_context_quality,hyperliquid_join_age_bucket,hyperliquid_spread_bucket,sample_count,row_count,mean_future_mid_move_ticks,sample_means,conditioning_status
100,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9357,-0.46061772,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.11750155|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.33603896|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.20111732,multi_sample_regime
100,primary_usable,fresh_0_50ms,spread_10_20_ticks,3,242,3.34710744,cross_exchange_public_sample_xemm_0603_quiet_a_event:7.94871795|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.2020202|cross_exchange_public_sample_xemm_0603_quiet_c_event:5,multi_sample_regime
100,primary_usable,fresh_0_50ms,spread_gt_20_ticks,3,394,-2.09390863,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.46551724|cross_exchange_public_sample_xemm_0603_quiet_b_event:3.1|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.36021505,multi_sample_regime
250,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9357,-0.52474084,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.0742115|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.43344156|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.25369701,multi_sample_regime
250,primary_usable,fresh_0_50ms,spread_10_20_ticks,3,242,3.09917355,cross_exchange_public_sample_xemm_0603_quiet_a_event:7.94871795|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.80808081|cross_exchange_public_sample_xemm_0603_quiet_c_event:5,multi_sample_regime
250,primary_usable,fresh_0_50ms,spread_gt_20_ticks,3,394,-1.97969543,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.46551724|cross_exchange_public_sample_xemm_0603_quiet_b_event:3.3|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.27956989,multi_sample_regime
500,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9356,-0.97851646,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.32477575|cross_exchange_public_sample_xemm_0603_quiet_b_event:-1.04220779|cross_exchange_public_sample_xemm_0603_quiet_c_event:-2.29871837,multi_sample_regime
500,primary_usable,fresh_0_50ms,spread_10_20_ticks,3,242,1.23966942,cross_exchange_public_sample_xemm_0603_quiet_a_event:11.66666667|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.3030303|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.20192308,multi_sample_regime
500,primary_usable,fresh_0_50ms,spread_gt_20_ticks,3,394,-3.60406091,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.81034483|cross_exchange_public_sample_xemm_0603_quiet_b_event:5.36666667|cross_exchange_public_sample_xemm_0603_quiet_c_event:-8.27956989,multi_sample_regime
1000,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9353,-1.83951673,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.00618812|cross_exchange_public_sample_xemm_0603_quiet_b_event:-1.96492368|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.67357002,multi_sample_regime
1000,primary_usable,fresh_0_50ms,spread_10_20_ticks,3,242,-0.92975207,cross_exchange_public_sample_xemm_0603_quiet_a_event:10.51282051|cross_exchange_public_sample_xemm_0603_quiet_b_event:-9.04040404|cross_exchange_public_sample_xemm_0603_quiet_c_event:2.5,multi_sample_regime
1000,primary_usable,fresh_0_50ms,spread_gt_20_ticks,3,394,0.05076142,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.29310345|cross_exchange_public_sample_xemm_0603_quiet_b_event:8.96666667|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.60215054,multi_sample_regime
5000,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9330,-4.87674169,cross_exchange_public_sample_xemm_0603_quiet_a_event:-0.27751938|cross_exchange_public_sample_xemm_0603_quiet_b_event:-2.92087268|cross_exchange_public_sample_xemm_0603_quiet_c_event:-11.74522083,multi_sample_regime
5000,primary_usable,fresh_0_50ms,spread_10_20_ticks,3,242,-7.7892562,cross_exchange_public_sample_xemm_0603_quiet_a_event:37.30769231|cross_exchange_public_sample_xemm_0603_quiet_b_event:-15.85858586|cross_exchange_public_sample_xemm_0603_quiet_c_event:-17.01923077,multi_sample_regime
5000,primary_usable,fresh_0_50ms,spread_gt_20_ticks,3,394,-1.71319797,cross_exchange_public_sample_xemm_0603_quiet_a_event:5.0862069|cross_exchange_public_sample_xemm_0603_quiet_b_event:-4.16666667|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.85483871,multi_sample_regime
10000,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9302,-8.27510213,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.16013682|cross_exchange_public_sample_xemm_0603_quiet_b_event:-4.51976478|cross_exchange_public_sample_xemm_0603_quiet_c_event:-21.04297521,multi_sample_regime
10000,primary_usable,fresh_0_50ms,spread_10_20_ticks,3,242,-28.42975207,cross_exchange_public_sample_xemm_0603_quiet_a_event:30.25641026|cross_exchange_public_sample_xemm_0603_quiet_b_event:-37.52525253|cross_exchange_public_sample_xemm_0603_quiet_c_event:-41.77884615,multi_sample_regime
10000,primary_usable,fresh_0_50ms,spread_gt_20_ticks,3,393,-21.09414758,cross_exchange_public_sample_xemm_0603_quiet_a_event:-5.51724138|cross_exchange_public_sample_xemm_0603_quiet_b_event:-37.73333333|cross_exchange_public_sample_xemm_0603_quiet_c_event:-12.48648649,multi_sample_regime
