event_index,event_kind,event_time_ms,current_bid_px,current_ask_px,candidate_status,candidate_reason,candidate_bounded,candidate_half_spread_ticks,fixed_half_spread_ticks,authoritative_half_spread_ticks,dynamic_overlay_changed,fixed_bid_px,fixed_ask_px,dynamic_bid_px,dynamic_ask_px,final_quote_behavior_changed,strict_gate_status,strict_gate_allowed,strict_gate_reason,order_endpoint_called,inference_scope
1,book,1784713668932,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
2,trade,1784713659066,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
3,trade,1784713660008,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
4,trade,1784713660008,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
5,trade,1784713660410,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
6,trade,1784713661279,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
7,trade,1784713661482,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
8,trade,1784713661482,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
9,trade,1784713661482,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
10,trade,1784713661482,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
11,trade,1784713663020,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
12,trade,1784713663155,65846.0,65847.0,fallback_fixed,missing_latest_market_estimator,True,0.5,0.5,0.5,False,65846.0,65847.0,65846.0,65847.0,False,fail_closed,False,"strict_seeded_dynamic_gate_failed:candidate_status_pass,fallback_to_fixed_false,dynamic_overlay_changed,final_quote_behavior_changed",False,same_sample_production_quote_mechanism_shadow_not_fill_or_economics
