view_seq,view_ts,coin,session_id,connection_attempt,mid_px,spread_ticks,top1_imbalance,top3_imbalance,top5_imbalance,top1_microprice_px,top3_microprice_px,top5_microprice_px,microprice_minus_mid_ticks,bid_depth_top5_qty,ask_depth_top5_qty,bid_depth_top5_notional,ask_depth_top5_notional,book_pressure_bucket,spread_bucket,join_age_bucket,l2book_cadence_bucket,recovery_context,trade_pressure_status,trade_pressure_qty,trade_pressure_count,trade_pressure_bucket,feature_row_quality
0,1780044677646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.63336921,-0.57668566,-0.50527592,73681.18331539,73681.21165717,73681.24736204,-2.52637959,4.61584,14.04442,340093.44444,1034830.90144,strong_ask,wide,fresh,first,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
1,1780044678146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.63336921,-0.57668566,-0.50527592,73681.18331539,73681.21165717,73681.24736204,-2.52637959,4.61584,14.04442,340093.44444,1034830.90144,strong_ask,wide,warm,fast,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
2,1780044678646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.55586389,-0.5088915,-0.46919664,73681.22206805,73681.24555425,73681.26540168,-2.34598318,5.16641,14.29997,380659.99261,1053663.0535,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
3,1780044679146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.55586389,-0.5088915,-0.46919664,73681.22206805,73681.24555425,73681.26540168,-2.34598318,5.16641,14.29997,380659.99261,1053663.0535,strong_ask,wide,stale,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
4,1780044679646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.47320751,-0.48803694,-0.45044923,73681.26339625,73681.25598153,73681.27477539,-2.25224614,6.05453,15.97994,446092.82175,1177459.25272,strong_ask,wide,fresh,slow,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
5,1780044680146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.40779766,-0.42636376,-0.41017216,73681.29610117,73681.28681812,73681.29491392,-2.05086081,5.66184,13.53644,417162.365,997409.14032,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
6,1780044680646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.33891069,-0.36054673,-0.40791492,73681.33054465,73681.31972664,73681.29604254,-2.0395746,6.22814,14.80985,458887.9153,1091241.9699,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
7,1780044681146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.42375185,-0.43974767,-0.38981949,73681.28812407,73681.28012616,73681.30509025,-1.94909747,5.9341,13.51621,437222.75367,995915.49559,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
8,1780044681646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.42375185,-0.43974767,-0.38981949,73681.28812407,73681.28012616,73681.30509025,-1.94909747,5.9341,13.51621,437222.75367,995915.49559,strong_ask,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
9,1780044682146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.79910152,-0.76443009,-0.78154413,73681.10044924,73681.11778495,73681.10922793,-3.90772067,2.57812,21.025,189954.8677,1549197.9996,strong_ask,wide,fresh,slow,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
10,1780044682646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.79910152,-0.76443009,-0.78154413,73681.10044924,73681.11778495,73681.10922793,-3.90772067,2.57812,21.025,189954.8677,1549197.9996,strong_ask,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
11,1780044683146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73681.5,10,-0.91910033,-0.84002218,-0.85003466,73681.04044984,73681.07998891,73681.07498267,-4.25017329,1.4755,18.20238,108713.80968,1341208.62511,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
12,1780044683646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73674.5,10,-0.99995703,-0.99996203,-0.99995898,73674.00002148,73674.00001898,73674.00002051,-4.99979489,0.00142,69.22965,104.61433,5100622.85366,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
13,1780044684146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.91999595,-0.96364741,-0.97893212,73661.04000203,73661.0181763,73661.01053394,-4.8946606,0.4059,38.12669,29898.88983,2808565.55714,strong_ask,wide,fresh,slow,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
14,1780044684646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.91999595,-0.96364741,-0.97893212,73661.04000203,73661.0181763,73661.01053394,-4.8946606,0.4059,38.12669,29898.88983,2808565.55714,strong_ask,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
15,1780044685146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.20720652,-0.30224479,-0.35823434,73661.39639674,73661.34887761,73661.32088283,-1.79117171,6.4631,13.67852,476071.61373,1007613.13683,strong_ask,wide,warm,slow,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
16,1780044685646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.30642041,-0.3686406,-0.4911108,73661.34678979,73661.3156797,73661.2544446,-2.45555399,5.84674,17.1317,430672.1167,1261983.69094,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
17,1780044686146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.12567512,-0.11712888,-0.41520036,73661.43716244,73661.44143556,73661.29239982,-2.07600179,6.94237,16.80036,511377.892,1237582.73421,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
18,1780044686646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.15689963,-0.1892257,-0.46549042,73661.42155018,73661.40538715,73661.26725479,-2.32745211,6.27615,17.20762,462304.1463,1267582.32033,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
19,1780044687146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.16248981,-0.19328368,-0.46878535,73661.4187551,73661.40335816,73661.26560733,-2.34392674,6.22276,17.20566,458372.06552,1267437.94281,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
20,1780044687646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.16257629,-0.21029368,-0.47710024,73661.41871185,73661.39485316,73661.26144988,-2.38550119,6.4516,18.22464,475227.73954,1342502.80214,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
21,1780044688146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.11094423,-0.14946595,-0.45687595,73661.44452788,73661.42526703,73661.27156203,-2.28437973,6.22226,16.69059,458334.55544,1229498.9628,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
22,1780044688646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.11128103,-0.18354304,-0.47082201,73661.44435949,73661.40822848,73661.26458899,-2.35411006,6.22226,17.29444,458334.55544,1273980.36155,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
23,1780044689146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.11128103,-0.18354304,-0.47082201,73661.44435949,73661.40822848,73661.26458899,-2.35411006,6.22226,17.29444,458334.55544,1273980.36155,strong_ask,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
24,1780044689646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.11128103,-0.18354304,-0.47082201,73661.44435949,73661.40822848,73661.26458899,-2.35411006,6.22226,17.29444,458334.55544,1273980.36155,strong_ask,wide,very_stale,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
25,1780044690146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.28651644,-0.33454192,-0.55793901,73661.35674178,73661.33272904,73661.2210305,-2.78969505,5.53898,19.52082,408004.82632,1437980.94441,strong_ask,wide,fresh,gap,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
26,1780044690646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.28651644,-0.33454192,-0.55793901,73661.35674178,73661.33272904,73661.2210305,-2.78969505,5.53898,19.52082,408004.82632,1437980.94441,strong_ask,wide,warm,repeat_same_book,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
27,1780044691146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.44260174,-0.43834805,-0.53708764,73661.27869913,73661.28082598,73661.23145618,-2.68543822,6.44296,21.39367,474586.23005,1575940.00597,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
28,1780044691646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.63271667,-0.65478834,-0.70484016,73661.18364167,73661.17260583,73661.14757992,-3.52420078,3.58626,20.7142,264162.61247,1525888.20737,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
29,1780044692146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.59702382,-0.63406885,-0.65529814,73661.20148809,73661.18296558,73661.17235093,-3.2764907,4.44532,21.34694,327441.10585,1572494.28997,strong_ask,wide,warm,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
30,1780044692646155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.5982418,-0.63489146,-0.65580551,73661.2008791,73661.18255427,73661.17209725,-3.27902754,4.44553,21.38597,327456.57403,1575369.31783,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
31,1780044693146155111,BTC,hl-66959ecb09e941cab61b020ac1e06419,1,73661.5,10,-0.54135448,-0.58914968,-0.62341762,73661.22932276,73661.20542516,73661.18829119,-3.11708808,5.09866,21.97993,375566.78296,1619121.60207,strong_ask,wide,fresh,regular,recovery_present,unverified_side_semantics,,,disabled_unverified_side_semantics,research_ready_without_trade_pressure
