task_id,source_task_id,venue,instrument,artifact_event_id,event_sequence_index,opaque_client_order_ref,opaque_exchange_order_ref,local_request_time,exchange_ack_time,local_response_time,private_stream_receive_time,validation_time,intent_label,post_only_semantics_label,lifecycle_state,terminal_state_marker,validation_status,overclaim_rejection_id,allowed_future_use,forbidden_current_interpretation,fill_qty,remaining_qty,reject_code,reject_reason,fail_closed_reason,account_query,api_key,cancel_order,deployment_flag,endpoint_url,live_gate,nonce,order_side,place_order,promotion_flag,quote_price,quote_size,secret,signature,signed_payload,strategy_signal,user_stream_endpoint
0616T003,0616T002,hyperliquid,BTC,accepted_post_only_ack_1,1,cloid_sha256_fixture_1,oid_sha256_fixture_1,2026-06-16T01:00:00Z,2026-06-16T01:00:01Z,2026-06-16T01:00:02Z,2026-06-16T01:00:03Z,2026-06-16T01:00:04Z,post_only_limit_intent_design_label,post_only_acceptance_observed,accepted_ack_design_label,non_terminal,accepted_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,,,,,,,,,,,,,,,,,,,,,,
0616T003,0616T002,hyperliquid,BTC,post_only_reject_2,2,cloid_sha256_fixture_2,oid_sha256_fixture_2,2026-06-16T02:00:00Z,2026-06-16T02:00:01Z,2026-06-16T02:00:02Z,2026-06-16T02:00:03Z,2026-06-16T02:00:04Z,post_only_limit_intent_design_label,post_only_reject_observed,rejected_terminal_design_label,terminal,accepted_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,,,post_only_would_cross_design_label,,,,,,,,,,,,,,,,,,,
0616T003,0616T002,hyperliquid,BTC,cancel_accepted_3,3,cloid_sha256_fixture_3,oid_sha256_fixture_3,2026-06-16T03:00:00Z,2026-06-16T03:00:01Z,2026-06-16T03:00:02Z,2026-06-16T03:00:03Z,2026-06-16T03:00:04Z,cancel_intent_design_label,post_only_acceptance_observed,canceled_terminal_design_label,terminal,accepted_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,,,,,,,,,,,,,,,,,,,,,,
0616T003,0616T002,hyperliquid,BTC,partial_fill_active_4,4,cloid_sha256_fixture_4,oid_sha256_fixture_4,2026-06-16T04:00:00Z,2026-06-16T04:00:01Z,2026-06-16T04:00:02Z,2026-06-16T04:00:03Z,2026-06-16T04:00:04Z,post_only_limit_intent_design_label,maker_fill_observed,partially_filled_active_design_label,non_terminal,accepted_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,0.001,0.002,,,,,,,,,,,,,,,,,,,,
0616T003,0616T002,hyperliquid,BTC,filled_terminal_5,5,cloid_sha256_fixture_5,oid_sha256_fixture_5,2026-06-16T05:00:00Z,2026-06-16T05:00:01Z,2026-06-16T05:00:02Z,2026-06-16T05:00:03Z,2026-06-16T05:00:04Z,post_only_limit_intent_design_label,maker_fill_observed,filled_terminal_design_label,terminal,accepted_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,0.003,0,,,,,,,,,,,,,,,,,,,,
0616T003,0616T002,hyperliquid,BTC,missing_timestamp_6,1,cloid_sha256_fixture_1,oid_sha256_fixture_1,2026-06-16T01:00:00Z,,2026-06-16T01:00:02Z,2026-06-16T01:00:03Z,2026-06-16T01:00:04Z,post_only_limit_intent_design_label,post_only_acceptance_observed,accepted_ack_design_label,non_terminal,fail_closed_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,,,,,missing_or_invalid_timestamp,,,,,,,,,,,,,,,,,
0616T003,0616T002,hyperliquid,BTC,conflicting_terminal_7,1,cloid_sha256_fixture_1,oid_sha256_fixture_1,2026-06-16T01:00:00Z,2026-06-16T01:00:01Z,2026-06-16T01:00:02Z,2026-06-16T01:00:03Z,2026-06-16T01:00:04Z,post_only_limit_intent_design_label,post_only_acceptance_observed,accepted_ack_design_label,terminal,fail_closed_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,,,,,terminal_consistency_invalid,,,,,,,,,,,,,,,,,
0616T003,0616T002,hyperliquid,BTC,forbidden_field_8,1,cloid_sha256_fixture_1,oid_sha256_fixture_1,2026-06-16T01:00:00Z,2026-06-16T01:00:01Z,2026-06-16T01:00:02Z,2026-06-16T01:00:03Z,2026-06-16T01:00:04Z,post_only_limit_intent_design_label,post_only_acceptance_observed,accepted_ack_design_label,non_terminal,fail_closed_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,,,,,forbidden_field_present,,,,,https://forbidden.invalid,,,,,,,,,,,,
0616T003,0616T002,hyperliquid,BTC,duplicate_event_9,1,cloid_sha256_fixture_1,oid_sha256_fixture_1,2026-06-16T01:00:00Z,2026-06-16T01:00:01Z,2026-06-16T01:00:02Z,2026-06-16T01:00:03Z,2026-06-16T01:00:04Z,post_only_limit_intent_design_label,post_only_acceptance_observed,accepted_ack_design_label,non_terminal,fail_closed_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,,,,,duplicate_event_identity,,,,,,,,,,,,,,,,,
0616T003,0616T002,hyperliquid,BTC,duplicate_event_9,1,cloid_sha256_fixture_1,oid_sha256_fixture_1,2026-06-16T01:00:00Z,2026-06-16T01:00:01Z,2026-06-16T01:00:02Z,2026-06-16T01:00:03Z,2026-06-16T01:00:04Z,post_only_limit_intent_design_label,post_only_acceptance_observed,accepted_ack_design_label,non_terminal,fail_closed_design_label,reject_fixture_as_real_execution_proof,local_fixture_validation_only,endpoint_order_strategy_live_metric_pnl_or_promotion_proof,,,,,duplicate_event_identity,,,,,,,,,,,,,,,,,
