surface,authority_class,current_status,future_allowed_use,current_task_permission
public_binance_lead_features,public_read_only_context,accepted_context,pricing_context_only,read_only_reference
hyperliquid_public_book,public_read_only_context,accepted_context,venue_state_context_only,read_only_reference
hyperliquid_order_submit,private_order_endpoint,future_required_not_ready,private_order_response_source_line,forbidden
hyperliquid_order_cancel,private_order_endpoint,future_required_not_ready,cancel_lifecycle_source_line,forbidden
hyperliquid_open_orders,private_or_account_info,future_required_not_ready,cancel_all_shutdown_reconciliation,forbidden
hyperliquid_order_status,private_or_order_info,future_required_not_ready,terminal_state_reconciliation,forbidden
hyperliquid_user_fills,private_user_data,future_required_not_ready,fill_and_economics_dependency,forbidden
hyperliquid_user_events,private_user_stream,future_required_not_ready,lifecycle_cross_check,forbidden
hyperliquid_account_state,private_account_data,future_required_not_ready,account_inventory_source_line,forbidden
hyperliquid_fee_funding_settlement,economics_private_or_account_data,future_required_not_ready,economics_fee_funding_source_line,forbidden
