gate_id,gate_name,required_future_task,current_task_result
G1,prerequisite_0616T001_qa_passed,none,passed
G2,no_endpoint_or_credential_use,none,passed
G3,private_order_response_schema_defined,0616T003,missing_future_task_required
G4,post_only_response_semantics_validated,0616T003,missing_future_task_required
G5,terminal_state_reconciliation_defined,0616T003_or_shutdown_task,missing_future_task_required
G6,account_inventory_authority_defined,future_account_task,missing_future_task_required
G7,economics_fee_funding_authority_defined,future_economics_task,missing_future_task_required
G8,cancel_all_shutdown_dry_run_proof,0616T004,missing_future_task_required
G9,source_chain_runner_consumption_gate,future_source_chain_task,missing_future_task_required
G10,tiny_live_protocol_with_human_approval,0616T005,missing_future_task_required
