raw_seq,line_no,channel,coin,local_ts,event_ts,bid_topn_px,bid_topn_ticks,bid_topn_qtys,bid_topn_n,ask_topn_px,ask_topn_ticks,ask_topn_qtys,ask_topn_n,session_id,connection_attempt,recovery_crossed
1,2,l2Book,BTC,1780044677646155111,1780044677425000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,2.47113|0.77177|0.00038|0.00017|1.37239,10|9|2|1|3,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,11.00908|0.021|1.04991|0.03154|1.93289,51|2|7|3|6,hl-66959ecb09e941cab61b020ac1e06419,1,false
4,5,l2Book,BTC,1780044677807985266,1780044677425000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,2.47113|0.77177|0.00038|0.00017|1.37239,10|9|2|1|3,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,11.00908|0.021|1.04991|0.03154|1.93289,51|2|7|3|6,hl-66959ecb09e941cab61b020ac1e06419,1,false
5,6,l2Book,BTC,1780044678218245962,1780044677954000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,3.0217|0.77177|0.00038|0.00017|1.37239,11|9|2|1|3,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,10.58539|0.021|1.04991|0.03154|2.61213,50|2|7|3|7,hl-66959ecb09e941cab61b020ac1e06419,1,false
6,7,l2Book,BTC,1780044679401861238,1780044678517000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,3.0217|0.76138|0.00038|0.00017|1.37239,11|7|2|1|3,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,10.4158|0.021|1.04991|0.03154|3.29139,49|2|7|3|7,hl-66959ecb09e941cab61b020ac1e06419,1,false
8,9,l2Book,BTC,1780044679402174259,1780044679056000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,3.12153|0.09341|0.00038|0.44783|2.39138,10|7|2|2|4,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,8.72955|0.021|0.59488|2.43516|4.19935,46|2|6|5|8,hl-66959ecb09e941cab61b020ac1e06419,1,false
9,10,l2Book,BTC,1780044679910814641,1780044679603000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,3.50089|0.09341|0.00038|0.69477|1.37239,12|7|2|3|3,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,8.3224|0.021|0.59488|2.43516|2.163,45|2|6|5|6,hl-66959ecb09e941cab61b020ac1e06419,1,false
10,11,l2Book,BTC,1780044680482190506,1780044680136000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,4.06719|0.09341|0.00038|0.69477|1.37239,14|7|2|3|3,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,8.23732|0.021|0.59488|2.43516|3.52149,44|2|6|5|7,hl-66959ecb09e941cab61b020ac1e06419,1,false
11,12,l2Book,BTC,1780044680977280655,1780044680687000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,3.77276|0.0938|0.00038|0.69477|1.37239,13|8|2|3|3,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,9.32146|0.021|0.59488|1.41587|2.163,48|2|6|4|6,hl-66959ecb09e941cab61b020ac1e06419,1,false
13,14,l2Book,BTC,1780044681685170600,1780044681224000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,3.77276|0.0938|0.00038|0.69477|1.37239,13|8|2|3|3,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,9.27686|1.04033|0.59488|1.41587|2.163,47|3|6|4|6,hl-66959ecb09e941cab61b020ac1e06419,1,false
14,15,l2Book,BTC,1780044682037374894,1780044681727000000,73681.0|73680.0|73679.0|73678.0|73677.0,736810|736800|736790|736780|736770,1.09653|0.09341|0.67967|0.69477|0.01374,5|7|3|3|2,73682.0|73683.0|73684.0|73685.0|73686.0,736820|736830|736840|736850|736860,9.81973|1.04033|3.14341|1.46367|5.55786,48|3|9|5|9,hl-66959ecb09e941cab61b020ac1e06419,1,false
