decision_seq,decision_ts,joined_raw_seq,joined_l2book_local_ts,joined_l2book_event_ts,join_age_ms,future_join,missing_join,reconnect_recovery_crossed,best_bid_px,best_ask_px
0,1737918843893903000,0,1737918843893903000,1737918843542000000,0.000000,false,false,false,105055.0,105056.0
1,1737918844393903000,1,1737918843907660000,1737918843542000000,486.243000,false,false,false,105055.0,105056.0
2,1737918844893903000,3,1737918844508675000,1737918844035000000,385.228000,false,false,false,105055.0,105056.0
3,1737918845393903000,4,1737918845045647000,1737918844579000000,348.256000,false,false,false,105055.0,105056.0
4,1737918845893903000,5,1737918845532675000,1737918845118000000,361.228000,false,false,false,105055.0,105056.0
5,1737918846393903000,6,1737918846031217000,1737918845645000000,362.686000,false,false,false,105055.0,105056.0
6,1737918846893903000,7,1737918846845870000,1737918846191000000,48.033000,false,false,false,105055.0,105056.0
7,1737918847393903000,8,1737918847247253000,1737918846798000000,146.650000,false,false,false,105055.0,105056.0
8,1737918847893903000,10,1737918847814799000,1737918847412000000,79.104000,false,false,false,105055.0,105056.0
9,1737918848393903000,10,1737918847814799000,1737918847412000000,579.104000,false,false,false,105055.0,105056.0
10,1737918848893903000,11,1737918848414759000,1737918848015000000,479.144000,false,false,false,105055.0,105056.0
11,1737918849393903000,12,1737918849031644000,1737918848619000000,362.259000,false,false,false,105055.0,105056.0
12,1737918849893903000,13,1737918849732767000,1737918849222000000,161.136000,false,false,false,105055.0,105056.0
13,1737918850393903000,14,1737918850346993000,1737918849824000000,46.910000,false,false,false,105055.0,105056.0
14,1737918850893903000,15,1737918850838067000,1737918850460000000,55.836000,false,false,false,105055.0,105056.0
15,1737918851393903000,15,1737918850838067000,1737918850460000000,555.836000,false,false,false,105055.0,105056.0
16,1737918851893903000,16,1737918851449700000,1737918850979000000,444.203000,false,false,false,105055.0,105056.0
17,1737918852393903000,17,1737918852194486000,1737918851586000000,199.417000,false,false,false,105055.0,105056.0
18,1737918852893903000,18,1737918852707518000,1737918852192000000,186.385000,false,false,false,105055.0,105056.0
19,1737918853393903000,19,1737918853261030000,1737918852872000000,132.873000,false,false,false,105055.0,105056.0
20,1737918853893903000,19,1737918853261030000,1737918852872000000,632.873000,false,false,false,105055.0,105056.0
21,1737918854393903000,21,1737918853946562000,1737918853474000000,447.341000,false,false,false,105055.0,105056.0
22,1737918854893903000,22,1737918854491974000,1737918854014000000,401.929000,false,false,false,105055.0,105056.0
23,1737918855393903000,23,1737918855095282000,1737918854622000000,298.621000,false,false,false,105055.0,105056.0
24,1737918855893903000,24,1737918855774275000,1737918855224000000,119.628000,false,false,false,105055.0,105056.0
25,1737918856393903000,25,1737918856282130000,1737918855827000000,111.773000,false,false,false,105055.0,105056.0
26,1737918856893903000,25,1737918856282130000,1737918855827000000,611.773000,false,false,false,105055.0,105056.0
27,1737918857393903000,26,1737918857024654000,1737918856304000000,369.249000,false,false,false,105055.0,105056.0
28,1737918857893903000,27,1737918857413724000,1737918856834000000,480.179000,false,false,false,105055.0,105056.0
29,1737918858393903000,29,1737918857926317000,1737918857436000000,467.586000,false,false,false,105055.0,105056.0
30,1737918858893903000,30,1737918858641970000,1737918858039000000,251.933000,false,false,false,105055.0,105056.0
31,1737918859393903000,31,1737918859122732000,1737918858642000000,271.171000,false,false,false,105055.0,105056.0
32,1737918859893903000,32,1737918859871126000,1737918859245000000,22.777000,false,false,false,105055.0,105056.0
33,1737918860393903000,33,1737918860309410000,1737918859848000000,84.493000,false,false,false,105055.0,105056.0
34,1737918860893903000,33,1737918860309410000,1737918859848000000,584.493000,false,false,false,105055.0,105056.0
35,1737918861393903000,36,1737918861379861000,1737918860947000000,14.042000,false,false,false,105055.0,105056.0
36,1737918861893903000,36,1737918861379861000,1737918860947000000,514.042000,false,false,false,105055.0,105056.0
37,1737918862393903000,37,1737918862124581000,1737918861457000000,269.322000,false,false,false,105055.0,105056.0
38,1737918862893903000,38,1737918862540898000,1737918862059000000,353.005000,false,false,false,105055.0,105056.0
39,1737918863393903000,39,1737918863057725000,1737918862556000000,336.178000,false,false,false,105055.0,105056.0
40,1737918863893903000,40,1737918863606141000,1737918863063000000,287.762000,false,false,false,105055.0,105056.0
41,1737918864393903000,41,1737918864172705000,1737918863561000000,221.198000,false,false,false,105055.0,105056.0
42,1737918864893903000,43,1737918864617619000,1737918864165000000,276.284000,false,false,false,105055.0,105056.0
43,1737918865393903000,44,1737918865149728000,1737918864675000000,244.175000,false,false,false,105055.0,105056.0
44,1737918865893903000,45,1737918865701131000,1737918865292000000,192.772000,false,false,false,105055.0,105056.0
45,1737918866393903000,47,1737918866279797000,1737918865847000000,114.106000,false,false,false,105051.0,105056.0
46,1737918866893903000,47,1737918866279797000,1737918865847000000,614.106000,false,false,false,105051.0,105056.0
47,1737918867393903000,48,1737918867126346000,1737918866352000000,267.557000,false,false,false,105051.0,105052.0
48,1737918867893903000,49,1737918867448167000,1737918867060000000,445.736000,false,false,false,105050.0,105051.0
49,1737918868393903000,50,1737918868164640000,1737918867669000000,229.263000,false,false,false,105050.0,105051.0
50,1737918868893903000,53,1737918868779322000,1737918868269000000,114.581000,false,false,false,105050.0,105051.0
