family,event_sequence,source_channel,source_event_exchange_time_ms,latest_l2_age_ms_by_exchange_time,next_l2_delta_ms_by_exchange_time,skip_reason,freshness_source,fresh_touch_evidence_status,touch_stability_ms,top_reset_status,top_reset_reason,public_depletion_status,rolling_trade_count_last_3s,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,dynamic_size_btc,allowed,interpretation
depleted_top_plus_order_proxy,31,trades,1782197086450,69,5339,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,block,,missing,insufficient_real_bbo_history,depleted_top_plus_order_proxy,42,0.03975,1.1438,0.005,False,candidate family example
depleted_visible_top_proxy_only,386,trades,1782197248530,704,4666,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,block,,missing,insufficient_real_bbo_history,depleted_visible_top_proxy_only,24,0.0004,0.00057,0.00014,False,candidate family example
fresh_touch_evidence_pass,7,l2Book,1782197075541,2697,5462,missing_same_side_strict_through_support,real_bbo_history_touch_stability,pass,2697,reset_supported,same_touch_top_qty_or_order_count_reduced,touched_quote_without_depletion,7,0,0.03848,0.005,False,candidate family example
missing_recent_same_side_at_or_through_throughput,1,l2Book,1782197072844,,2697,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,insufficient_real_bbo_history,not_depleted,0,0,0,0.0,False,dynamic size could not be supported by recent at-or-through throughput
missing_same_side_strict_through_support,1,l2Book,1782197072844,,2697,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,insufficient_real_bbo_history,not_depleted,0,0,0,0.0,False,rolling same-side strict-through flow was not sufficient for this row
missing_touch_freshness_or_queue_reset_evidence,1,l2Book,1782197072844,,2697,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,insufficient_real_bbo_history,not_depleted,0,0,0,0.0,False,"fresh-touch gate blocked before Binance freshness, fair-mid source, and edge gate"
not_depleted,1,l2Book,1782197072844,,2697,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,insufficient_real_bbo_history,not_depleted,0,0,0,0.0,False,candidate family example
queue_reset_supported,7,l2Book,1782197075541,2697,5462,missing_same_side_strict_through_support,real_bbo_history_touch_stability,pass,2697,reset_supported,same_touch_top_qty_or_order_count_reduced,touched_quote_without_depletion,7,0,0.03848,0.005,False,candidate family example
strict_trade_through_seen_but_visible_top_not_depleted,2,trades,1782197070536,-2308,5005,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,block,,missing,insufficient_real_bbo_history,strict_trade_through_seen_but_visible_top_not_depleted,30,0.01994,0.03114,0.005,False,"trade-through existed, but visible top plus order depletion was not proven"
synthetic_current_event_only,1,l2Book,1782197072844,,2697,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,block,,missing,insufficient_real_bbo_history,not_depleted,0,0,0,0.0,False,candidate lacked accepted real BBO history at decision time
touched_quote_without_depletion,3,trades,1782197073176,332,2365,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,block,,missing,insufficient_real_bbo_history,touched_quote_without_depletion,4,0,0.01244,0.00311,False,candidate family example
