field,count,min,p50,p90,p99,max
candidate_age_seconds_at_eval,1259,0.151898,0.271224,0.402579,0.643105,2.636878
top_depth_multiple_of_order,1259,0.028,1087.532,5987.858,9029.288,9029.288
rolling_trade_count_last_3s,1259,0.0,14.0,43.0,141.0,275.0
touch_trade_qty_btc,1259,0.0,0.01319,0.57948,8.02758,9.19726
strict_trade_through_qty_btc,1259,0.0,0.0,0.08299,2.14411,8.96869
at_or_through_trade_qty_btc,1259,0.0,0.0259,1.02562,8.22686,9.20616
required_depletion_qty_btc,1259,0.00514,5.44266,29.94429,45.15144,45.15144
queue_depletion_multiple,1259,0.0,0.005651833441149433,1.0256833621347066,19.169327434763094,287.9485559566787
dynamic_size_btc,1259,0.0,0.005,0.005,0.005,0.005
touch_stability_ms,2,2697.0,2697.0,4326.0,4326.0,4326.0
