reason_type,reason,count,share_of_public_events
skip_reason_combo,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,753,0.59809373
skip_reason_combo,missing_touch_freshness_or_queue_reset_evidence,299,0.23749007
skip_reason_combo,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,205,0.16282764
skip_reason_combo,missing_same_side_strict_through_support,2,0.00158856
skip_reason_atom,missing_touch_freshness_or_queue_reset_evidence,1257,0.99841144
skip_reason_atom,missing_same_side_strict_through_support,960,0.76250993
skip_reason_atom,missing_recent_same_side_at_or_through_throughput,205,0.16282764
freshness_source,synthetic_current_event_only,1257,0.99841144
freshness_source,real_bbo_history_touch_stability,2,0.00158856
fresh_touch_evidence_status,block,1257,0.99841144
fresh_touch_evidence_status,pass,2,0.00158856
public_depletion_status,touched_quote_without_depletion,720,0.57188245
public_depletion_status,not_depleted,205,0.16282764
public_depletion_status,strict_trade_through_seen_but_visible_top_not_depleted,195,0.15488483
public_depletion_status,depleted_top_plus_order_proxy,129,0.10246227
public_depletion_status,depleted_visible_top_proxy_only,10,0.00794281
quality_bucket,<empty>,1259,1.0
top_reset_status,missing,1257,0.99841144
top_reset_status,reset_supported,2,0.00158856
source_channel,trades,1147,0.91104051
source_channel,l2Book,112,0.08895949
shadow_reason,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,753,0.59809373
shadow_reason,missing_touch_freshness_or_queue_reset_evidence,299,0.23749007
shadow_reason,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,205,0.16282764
shadow_reason,missing_same_side_strict_through_support,2,0.00158856
