event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,freshness_source,touch_stability_ms,last_touch_change_ms,top_reset_status,top_reset_reason,fresh_touch_evidence_status,inference_scope,shadow_action,shadow_reason,fair_mid_source_status,fair_mid_source_reason,edge_gate_status,edge_gate_reason,fair_mid_px,edge_ticks,binance_source_age_ms,order_endpoint_called,private_endpoint_called,credential_read
1,l2Book,1782197072844,1782197073171781791,0.32784,buy,62911,62911,62912,1,0.005,6.72462,34,1344.924,0,0,0,0,6.72962,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
2,trades,1782197070536,1782197073172778283,2.636878,buy,62911,62911,62912,1,0.005,6.72462,34,1344.924,30,0.0112,0.01994,0.03114,6.72962,0.00462730436488241535183264434,strict_trade_through_seen_but_visible_top_not_depleted,,0.005,False,missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
3,trades,1782197073176,1782197073398179048,0.222219,buy,62911,62911,62912,1,0.005,6.72462,34,1344.924,4,0.01244,0,0.01244,6.72962,0.001848544197146347044855430173,touched_quote_without_depletion,,0.00311,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
4,trades,1782197074317,1782197074527007579,0.210036,buy,62911,62911,62912,1,0.005,6.72462,34,1344.924,4,0.03848,0,0.03848,6.72962,0.005718004879918925585694288831,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
5,trades,1782197075200,1782197075396766736,0.196805,buy,62911,62911,62912,1,0.005,6.72462,34,1344.924,5,0.03848,0,0.03848,6.72962,0.005718004879918925585694288831,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
6,trades,1782197075405,1782197075620948983,0.215973,buy,62911,62911,62912,1,0.005,6.72462,34,1344.924,7,0.03848,0,0.03848,6.72962,0.005718004879918925585694288831,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
7,l2Book,1782197075541,1782197075898118887,0.357169,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,7,0.03848,0,0.03848,3.32499,0.01157296713674326840080722047,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,real_bbo_history_touch_stability,2697,1782197072844,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
8,trades,1782197077170,1782197077495910948,0.325967,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,5,0.07317,0,0.07317,3.32499,0.02200608122129690615610874018,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,real_bbo_history_touch_stability,4326,1782197072844,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
9,trades,1782197078040,1782197078340210063,0.300254,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,6,0.04006,0,0.04006,3.32499,0.01204815653580913025302331736,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
10,trades,1782197078310,1782197078542963814,0.232986,buy,62911,62911,62912,1,0.005,3.31999,19,663.998,6,0.04006,0,0.04006,3.32499,0.01204815653580913025302331736,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,synthetic_current_event_only,,,missing,insufficient_real_bbo_history,block,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
