event_sequence,source_channel,source_event_exchange_time_ms,current_bid,current_ask,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,opposite_trade_qty_btc,rolling_window_seconds
1,l2Book,1782197072844,62911,62912,0,0,0,0,0,3.0
2,trades,1782197070536,62911,62912,30,0.0112,0.01994,0.03114,4.77489,3.0
3,trades,1782197073176,62911,62912,4,0.01244,0,0.01244,0.00068,3.0
4,trades,1782197074317,62911,62912,4,0.03848,0,0.03848,0.00068,3.0
5,trades,1782197075200,62911,62912,5,0.03848,0,0.03848,0.03131,3.0
6,trades,1782197075405,62911,62912,7,0.03848,0,0.03848,0.06855,3.0
7,l2Book,1782197075541,62911,62912,7,0.03848,0,0.03848,0.06855,3.0
8,trades,1782197077170,62911,62912,5,0.07317,0,0.07317,0.06787,3.0
9,trades,1782197078040,62911,62912,6,0.04006,0,0.04006,0.06787,3.0
10,trades,1782197078310,62911,62912,6,0.04006,0,0.04006,0.07317,3.0
11,trades,1782197078793,62911,62912,7,0.08006,0,0.08006,0.03593,3.0
12,trades,1782197078917,62911,62912,10,0.08006,0,0.08006,0.254,3.0
13,trades,1782197079424,62911,62912,11,0.08006,0,0.08006,0.27085,3.0
14,trades,1782197079903,62911,62912,12,0.11472,0,0.11472,0.27085,3.0
15,trades,1782197080037,62911,62912,14,0.12831,0,0.12831,0.40025,3.0
16,trades,1782197080457,62911,62912,14,0.09248,0,0.09248,0.40025,3.0
17,trades,1782197081003,62911,62912,16,0.09248,0,0.09248,0.4352,3.0
18,l2Book,1782197081003,62911,62912,16,0.09248,0,0.09248,0.4352,3.0
19,trades,1782197082017,62911,62912,8,0.05759,0,0.05759,0.1812,3.0
20,trades,1782197082152,62911,62912,9,0.05759,0,0.05759,0.18199,3.0
21,trades,1782197082558,62911,62912,9,0.09101,0,0.09101,0.16514,3.0
22,trades,1782197083562,62911,62912,6,0.04266,0,0.04266,0.06916,3.0
23,trades,1782197084092,62911,62912,5,0.04266,0,0.04266,0.03752,3.0
24,trades,1782197084567,62911,62912,6,0.04266,0,0.04266,0.03792,3.0
